trace_id,run_id,workload_class,time_step,event_type,object_id,object_class,size_units,tier,parent_object_id,trajectory_node_id,branch_id,provenance_id,reuse_distance,reuse_probability_hint,correctness_sensitive,recompute_cost_hint,loss_cost_hint,durability_horizon,verifier_id,merge_state,source_version,invalidation_signal,evidence_label
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,0,run_start,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,1,object_create,single-turn_chat_control:weights:1,weights,908,HBM/GPU memory,,,,,,0.72,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,2,object_place,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,2,object_create,single-turn_chat_control:prefix_cache:1,prefix cache,44,CPU DRAM,,,,,,0.72,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,3,object_place,single-turn_chat_control:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,3,object_create,single-turn_chat_control:KV_cache:1,KV cache,22,HBM/GPU memory,,,,,,0.25,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,4,object_place,single-turn_chat_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,4,object_create,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,32,CPU DRAM,,,,,,0.25,false,8,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,5,object_place,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,25,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,8,object_access,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,6,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,8,object_access,single-turn_chat_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,4,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,10,object_update,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,30,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,13,object_access,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,18,object_access,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,18,object_access,single-turn_chat_control:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,18,object_access,single-turn_chat_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,23,object_access,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,24,object_evict,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,24,object_evict,single-turn_chat_control:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,24,object_evict,single-turn_chat_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,24,object_evict,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,25,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,26,run_end,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,0,run_start,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,1,object_create,batch_summarization_offline_inference_control:weights:1,weights,908,HBM/GPU memory,,,,,,0.72,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,2,object_place,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,3,object_create,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31,HBM/GPU memory,,,,,,0.25,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,4,object_place,batch_summarization_offline_inference_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,4,object_create,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,27,CPU DRAM,,,,,,0.25,false,8,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,5,object_place,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,25,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,8,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,6,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,8,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,4,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,10,object_update,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,30,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,13,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,18,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,18,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,23,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,28,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,28,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,33,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_access,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_evict,batch_summarization_offline_inference_control:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_evict,batch_summarization_offline_inference_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_evict,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,25,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-batch_summarization_offline_inference_control,batch_summarization_offline_inference_control,batch summarization/offline inference control,40,run_end,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-rag,rag,RAG,0,run_start,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-rag,rag,RAG,1,object_create,rag:weights:1,weights,906,HBM/GPU memory,,,,,,0.72,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,2,object_place,rag:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,2,object_create,rag:prefix_cache:1,prefix cache,45,CPU DRAM,,,,,,0.72,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,3,object_place,rag:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,3,object_create,rag:KV_cache:1,KV cache,29,HBM/GPU memory,,,,,,0.25,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,4,object_place,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,8,object_create,rag:semantic_cache_entry:1,semantic cache entry,50,remote object store,,,,prov:corpus:v1,,0.72,true,15,45,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,8,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,6,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,8,object_access,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,4,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
