source_quality,claim_type,row_count
arxiv_systems_experiment,sourced_range,1
benchmark_specification,sourced_range,2
deferred_public_evidence_missing,deferred_public_evidence_missing,2
peer_reviewed_or_project_documentation,sourced_range,1
peer_reviewed_systems_paper,sourced_range,1
project_documentation,sourced_range,1
standards_body_capability,sourced_range,3
vendor_architecture_guide,derived_from_source,1
vendor_product_spec,sourced_range,3
vendor_solution_brief,sourced_range,1
vendor_system_spec,derived_from_source,4
vendor_system_spec,sourced_range,2
