case_id,case_type,source_uncertainty_case_id,architecture_option,control_policy,treatment_policy,statistical_threshold_status,robust_statistical_effect,causal_status,blocked_field,blocked_reason,expected_causal_status,expected_blocked_reason,expected_reason_matched,causal_support_eligible,readiness_update_allowed,production_calibrated,production_ready,claim_credit_allowed,causal_precondition_only
valid-causally-admissible-fixture,valid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_admissible,,,causally_admissible,,true,false,false,false,false,false,true
valid-causally-admissible-robust-fail-fixture,valid_fixture,valid-confidence-qualified-fail-fixture,Option C,Option A,Option C,robust_fail,false,causally_admissible,,,causally_admissible,,true,false,false,false,false,false,true
invalid-missing-option-a-control,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_unidentified,control_arm_present,missing_option_a_control,causally_unidentified,missing_option_a_control,true,false,false,false,false,false,true
invalid-workload-mix-mismatch,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,workload_mix_smd,workload_mix_mismatch,causally_confounded,workload_mix_mismatch,true,false,false,false,false,false,true
invalid-model-version-mismatch,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,model_version_match,model_version_mismatch,causally_confounded,model_version_mismatch,true,false,false,false,false,false,true
invalid-topology-mismatch,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,topology_match,topology_mismatch,causally_confounded,topology_mismatch,true,false,false,false,false,false,true
invalid-tenant-concurrency-imbalance,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,tenant_concurrency_smd,tenant_concurrency_imbalance,causally_confounded,tenant_concurrency_imbalance,true,false,false,false,false,false,true
invalid-object-size-distribution-shift,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,object_size_smd,object_size_distribution_shift,causally_confounded,object_size_distribution_shift,true,false,false,false,false,false,true
invalid-cache-warmness-imbalance,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,cache_warmness_smd,cache_warmness_imbalance,causally_confounded,cache_warmness_imbalance,true,false,false,false,false,false,true
invalid-security-deny-rate-shift,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,security_deny_rate_delta,security_deny_rate_shift,causally_confounded,security_deny_rate_shift,true,false,false,false,false,false,true
invalid-time-window-drift,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,time_window_drift_fraction,time_window_drift,causally_confounded,time_window_drift,true,false,false,false,false,false,true
invalid-post-treatment-covariate-leakage,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_unidentified,post_treatment_covariate_used,post_treatment_covariate_leakage,causally_unidentified,post_treatment_covariate_leakage,true,false,false,false,false,false,true
invalid-insufficient-overlap-positivity,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_unidentified,positivity_overlap_fraction,insufficient_overlap_positivity,causally_unidentified,insufficient_overlap_positivity,true,false,false,false,false,false,true
invalid-missing-covariate-contract,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_unidentified,pre_treatment_covariates_declared,missing_pre_treatment_covariate_contract,causally_unidentified,missing_pre_treatment_covariate_contract,true,false,false,false,false,false,true
invalid-scheduler-load-imbalance,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_confounded,scheduler_load_smd,scheduler_load_imbalance,causally_confounded,scheduler_load_imbalance,true,false,false,false,false,false,true
invalid-fixture-attempted-production-calibration,invalid_fixture,valid-confidence-qualified-fixture,Option C,Option A,Option C,robust_pass,true,causally_unidentified,evidence_label,fixture_attempted_production_calibration,causally_unidentified,fixture_attempted_production_calibration,true,false,false,false,false,false,true
