workload_class,object_class,best_strategy,net_compression_value,capacity_pressure,reuse_pressure,provenance_need,correctness_sensitive_share,architecture_option,evidence_label
RAG,KV cache,lossless_compress,-0.009474,0.724589,0.85,0.2,0.0,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,lossless_compress,-0.001648,0.731,0.816667,0.2,0.0,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,summary_plus_pointer,-0.007371,0.716678,0.816667,0.82,1.0,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,summary_plus_pointer,-0.002137,0.717222,0.816667,0.82,1.0,B_memory_object_aware_runtime,synthetic
RAG,tool output,summary_plus_pointer,0.23803,0.721133,0.0,1.0,1.0,B_memory_object_aware_runtime,synthetic
RAG,weights,lossless_compress,0.515702,0.948967,0.7,0.2,0.0,B_memory_object_aware_runtime,synthetic
batch summarization/offline inference control,KV cache,keep_hot,-0.0222,0.455078,0.85,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,keep_hot,-0.0222,0.4516,0.0,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,lossless_compress,0.276178,0.674456,0.7,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
code-agent loop,KV cache,lossless_compress,-0.011821,0.935133,0.85,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,summary_plus_pointer,0.098723,0.930172,0.816667,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,summary_plus_pointer,0.221764,0.900078,0.572222,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,lossless_compress,0.003749,0.940022,1.0,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,summary_plus_pointer,0.18246,0.913778,0.694444,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,summary_plus_pointer,0.049196,0.917028,0.816667,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,summary_plus_pointer,0.089231,0.888083,0.725,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,lossless_compress,0.597057,1.152689,0.7,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,lossless_compress,-0.00811,0.9366,0.85,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,summary_plus_pointer,0.208092,0.963228,0.908333,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,durable workspace,summary_plus_pointer,0.294769,0.933544,0.725,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,prefix cache,lossless_compress,0.006974,0.941244,1.0,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,tool output,summary_plus_pointer,0.187098,0.942933,0.877778,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,trajectory log,summary_plus_pointer,0.104992,0.936883,0.908333,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,verifier state,summary_plus_pointer,0.123361,0.911067,0.816667,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,weights,lossless_compress,0.597836,1.152933,0.7,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
single-turn chat control,KV cache,keep_hot,-0.0222,0.417878,0.483333,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,intermediate scratch,keep_hot,-0.0222,0.417822,0.0,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,prefix cache,keep_hot,-0.0222,0.425756,0.0,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,weights,lossless_compress,0.26276,0.639456,0.7,0.2,0.0,A_conventional_request_model_kv_serving,synthetic
verification-heavy,KV cache,lossless_compress,-0.008866,0.923856,0.85,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,branch state,summary_plus_pointer,0.156165,0.921822,0.755556,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,tool output,summary_plus_pointer,0.192859,0.917544,0.694444,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,trajectory log,summary_plus_pointer,0.085604,0.902322,0.755556,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,verifier state,summary_plus_pointer,0.178146,0.872528,0.5875,0.92,1.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,weights,lossless_compress,0.59454,1.1497,0.7,0.2,0.0,C_trajectory_dag_memory_fabric,synthetic
