workload_class,object_class,strategy,trace_architecture_option,high_object_overhead_winner,high_dag_overhead_winner,queue_relief_proxy,added_reconstruction_metadata_proxy,net_queue_effect_proxy,object_threshold_relevant,dag_threshold_relevant,selected_positive_for_queue_help,interaction,evidence_label
RAG,KV cache,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.128707,0.291,-0.162293,true,false,false,local_tradeoff_only,synthetic
RAG,KV cache,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.094385,0.7398,-0.645415,false,false,false,local_tradeoff_only,synthetic
RAG,KV cache,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.077224,0.9528,-0.875576,false,false,false,local_tradeoff_only,synthetic
RAG,KV cache,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.145868,0.6984,-0.552532,true,false,false,can_worsen_or_cause_reversal,synthetic
RAG,prefix cache,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.1302,0.286,-0.1558,true,false,false,local_tradeoff_only,synthetic
RAG,prefix cache,lossy_summarize,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.18228,0.410933,-0.228653,false,false,false,local_tradeoff_only,synthetic
RAG,prefix cache,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.09548,0.7248,-0.62932,false,false,false,local_tradeoff_only,synthetic
RAG,prefix cache,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.07812,0.9288,-0.85068,false,false,false,local_tradeoff_only,synthetic
RAG,prefix cache,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.14756,0.689067,-0.541507,true,false,false,can_worsen_or_cause_reversal,synthetic
RAG,retrieved context,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.131413,0.3726,-0.241187,true,false,false,local_tradeoff_only,synthetic
RAG,retrieved context,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.09637,0.94368,-0.84731,false,false,false,local_tradeoff_only,synthetic
RAG,retrieved context,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.078848,1.20808,-1.129232,false,false,false,local_tradeoff_only,synthetic
RAG,retrieved context,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.148935,0.868907,-0.719972,true,false,false,can_worsen_or_cause_reversal,synthetic
RAG,semantic cache entry,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.130667,0.3726,-0.241933,true,false,false,local_tradeoff_only,synthetic
RAG,semantic cache entry,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.095822,0.94368,-0.847858,false,false,false,local_tradeoff_only,synthetic
RAG,semantic cache entry,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.0784,1.20808,-1.12968,false,false,false,local_tradeoff_only,synthetic
RAG,semantic cache entry,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.148089,0.868907,-0.720818,true,false,false,can_worsen_or_cause_reversal,synthetic
RAG,tool output,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.14616,0.26,-0.11384,true,false,false,local_tradeoff_only,synthetic
RAG,tool output,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.107184,0.594,-0.486816,false,false,false,local_tradeoff_only,synthetic
RAG,tool output,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.087696,0.628,-0.540304,false,false,false,local_tradeoff_only,synthetic
RAG,tool output,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.165648,0.664,-0.498352,true,false,false,can_worsen_or_cause_reversal,synthetic
RAG,weights,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.21056,0.2685,-0.05794,true,false,false,local_tradeoff_only,synthetic
RAG,weights,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.154411,0.6723,-0.517889,false,false,false,local_tradeoff_only,synthetic
RAG,weights,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.126336,0.8448,-0.718464,false,false,false,local_tradeoff_only,synthetic
RAG,weights,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.238635,0.6564,-0.417765,true,false,false,can_worsen_or_cause_reversal,synthetic
batch summarization/offline inference control,KV cache,lossless_compress,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.046033,0.291,-0.244967,false,false,false,local_tradeoff_only,synthetic
batch summarization/offline inference control,KV cache,offload_full,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.033758,0.7398,-0.706042,false,false,false,local_tradeoff_only,synthetic
batch summarization/offline inference control,KV cache,recompute_on_demand,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.02762,0.9528,-0.92518,false,false,false,local_tradeoff_only,synthetic
batch summarization/offline inference control,KV cache,summary_plus_pointer,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.052171,0.6984,-0.646229,false,false,false,local_tradeoff_only,synthetic
batch summarization/offline inference control,intermediate scratch,lossless_compress,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.0459,0.1635,-0.1176,false,false,false,local_tradeoff_only,synthetic
batch summarization/offline inference control,intermediate scratch,lossy_summarize,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.06426,0.2476,-0.18334,false,false,false,local_tradeoff_only,synthetic
batch summarization/offline inference control,intermediate scratch,offload_full,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,0.03366,0.3573,-0.32364,false,false,false,local_tradeoff_only,synthetic
