workload_class,strategy,trace_architecture_option,high_object_overhead_winner,high_dag_overhead_winner,queue_relief_proxy_sum,added_reconstruction_metadata_proxy_sum,net_queue_effect_proxy,positive_object_count,positive_object_evidence,raw_strategy_queue_relief_proxy_sum,raw_strategy_added_overhead_proxy_sum,raw_strategy_net_queue_effect_proxy,interaction,evidence_label
RAG,lossless_compress,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.877707,1.8507,-0.972993,0,,0.877707,1.8507,-0.972993,can_worsen_or_cause_reversal,synthetic
RAG,lossy_summarize,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.18228,0.410933,-0.228653,0,,0.18228,0.410933,-0.228653,local_tradeoff_only,synthetic
RAG,offload_full,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.643652,4.61826,-3.974608,0,,0.643652,4.61826,-3.974608,can_worsen_or_cause_reversal,synthetic
RAG,recompute_on_demand,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.526624,5.77056,-5.243936,0,,0.526624,5.77056,-5.243936,can_worsen_or_cause_reversal,synthetic
RAG,summary_plus_pointer,B_memory_object_aware_runtime,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.994735,4.445681,-3.450946,0,,0.994735,4.445681,-3.450946,can_worsen_or_cause_reversal,synthetic
code-agent loop,lossless_compress,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,1.17628,2.69475,-1.51847,0,,1.17628,2.69475,-1.51847,can_worsen_or_cause_reversal,synthetic
code-agent loop,lossy_summarize,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.181757,0.4476,-0.265843,0,,0.181757,0.4476,-0.265843,local_tradeoff_only,synthetic
code-agent loop,offload_full,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.862605,6.78105,-5.918445,0,,0.862605,6.78105,-5.918445,can_worsen_or_cause_reversal,synthetic
code-agent loop,recompute_on_demand,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.705768,8.5908,-7.885032,0,,0.705768,8.5908,-7.885032,can_worsen_or_cause_reversal,synthetic
code-agent loop,summary_plus_pointer,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,1.333117,6.3774,-5.044283,0,,1.333117,6.3774,-5.044283,can_worsen_or_cause_reversal,synthetic
multi-agent branch/merge,lossless_compress,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,1.210719,2.786417,-1.575698,0,,1.210719,2.786417,-1.575698,can_worsen_or_cause_reversal,synthetic
multi-agent branch/merge,lossy_summarize,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.182411,0.4476,-0.265189,0,,0.182411,0.4476,-0.265189,local_tradeoff_only,synthetic
multi-agent branch/merge,offload_full,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.88786,7.05605,-6.16819,0,,0.88786,7.05605,-6.16819,can_worsen_or_cause_reversal,synthetic
multi-agent branch/merge,recompute_on_demand,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.726432,9.0308,-8.304368,0,,0.726432,9.0308,-8.304368,can_worsen_or_cause_reversal,synthetic
multi-agent branch/merge,summary_plus_pointer,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,1.372149,6.548511,-5.176362,0,,1.372149,6.548511,-5.176362,can_worsen_or_cause_reversal,synthetic
verification-heavy,lossless_compress,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.916627,2.000858,-1.084231,0,,0.916627,2.000858,-1.084231,can_worsen_or_cause_reversal,synthetic
verification-heavy,offload_full,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.672193,5.013295,-4.341102,0,,0.672193,5.013295,-4.341102,can_worsen_or_cause_reversal,synthetic
verification-heavy,recompute_on_demand,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,0.549976,6.30652,-5.756544,0,,0.549976,6.30652,-5.756544,can_worsen_or_cause_reversal,synthetic
verification-heavy,summary_plus_pointer,C_trajectory_dag_memory_fabric,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,1.038843,4.750616,-3.711773,0,,1.038843,4.750616,-3.711773,can_worsen_or_cause_reversal,synthetic
