workload_class,object_class,strategy,valid,invalid_reason,object_count,total_size,capacity_pressure,reuse_pressure,correctness_sensitive_share,provenance_need,provenance_coverage,bytes_saved_proxy,transfer_avoided_proxy,queue_relief_proxy,representation_preservation_benefit_proxy,reconstruction_cost_proxy,metadata_cost_proxy,provenance_risk_proxy,correctness_loss_risk_proxy,net_compression_value,architecture_option,evidence_label
RAG,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.0232,0.211123,0.180189,0.0,0.24,0.1776,0.09,0.0,-999.0,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,lossy_summarize,false,lossy_without_replay_safe_pointer,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.0464,0.208054,0.183979,0.0,0.303333,0.23216,0.246,0.8206,-999.0,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,lossy_summarize,false,lossy_without_replay_safe_pointer,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.04,0.206617,0.182933,0.0,0.303333,0.23216,0.1845,0.8206,-999.0,B_memory_object_aware_runtime,synthetic
RAG,tool output,lossy_summarize,false,lossy_without_replay_safe_pointer,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.1728,0.0,0.204624,0.0,0.14,0.248,0.0,0.88,-999.0,B_memory_object_aware_runtime,synthetic
RAG,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.7248,0.308924,0.294784,0.0,0.21,0.1776,0.09,0.0,-999.0,B_memory_object_aware_runtime,synthetic
batch summarization/offline inference control,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.0248,0.211497,0.064447,0.0,0.24,0.1776,0.09,0.0,-999.0,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.7264,0.309232,0.105373,0.0,0.21,0.1776,0.09,0.0,-999.0,A_conventional_request_model_kv_serving,synthetic
code-agent loop,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.0168,0.209627,0.179144,0.0,0.24,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,lossy_summarize,false,lossy_without_replay_safe_pointer,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.1192,0.224404,0.195869,0.0,0.303333,0.24096,0.295714,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,lossy_summarize,false,lossy_without_replay_safe_pointer,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.2048,0.170705,0.209851,0.0,0.254444,0.24096,0.138,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
