workload_class,object_class,strategy,valid,invalid_reason,object_count,total_size,capacity_pressure,reuse_pressure,correctness_sensitive_share,provenance_need,provenance_coverage,bytes_saved_proxy,transfer_avoided_proxy,queue_relief_proxy,representation_preservation_benefit_proxy,reconstruction_cost_proxy,metadata_cost_proxy,provenance_risk_proxy,correctness_loss_risk_proxy,net_compression_value,architecture_option,evidence_label
RAG,KV cache,keep_hot,true,,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,B_memory_object_aware_runtime,synthetic
RAG,KV cache,lossless_compress,true,,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.012244,0.143948,0.128707,0.0,0.18,0.111,0.0,0.0,-0.009474,B_memory_object_aware_runtime,synthetic
RAG,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.0232,0.211123,0.180189,0.0,0.24,0.1776,0.09,0.0,-999.0,B_memory_object_aware_runtime,synthetic
RAG,KV cache,summary_plus_pointer,true,,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.018689,0.172737,0.145868,0.0,0.336,0.3624,0.016,0.0,-0.382254,B_memory_object_aware_runtime,synthetic
RAG,KV cache,offload_full,true,,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.026422,0.105562,0.094385,0.0,0.54,0.1998,0.006,0.0,-0.526708,B_memory_object_aware_runtime,synthetic
RAG,KV cache,recompute_on_demand,true,,1,29.0,0.724589,0.85,0.0,0.2,0.0,0.028356,0.057579,0.077224,0.0,0.864,0.0888,0.032,0.0,-0.829451,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,keep_hot,true,,1,45.0,0.731,0.816667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,lossless_compress,true,,1,45.0,0.731,0.816667,0.0,0.2,0.0,0.019,0.140263,0.1302,0.0,0.175,0.111,0.0,0.0,-0.001648,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,lossy_summarize,true,,1,45.0,0.731,0.816667,0.0,0.2,0.0,0.036,0.205718,0.18228,0.0,0.233333,0.1776,0.09,0.0,-0.086619,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,summary_plus_pointer,true,,1,45.0,0.731,0.816667,0.0,0.2,0.0,0.029,0.168315,0.14756,0.0,0.326667,0.3624,0.016,0.0,-0.367993,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,offload_full,true,,1,45.0,0.731,0.816667,0.0,0.2,0.0,0.041,0.102859,0.09548,0.0,0.525,0.1998,0.006,0.0,-0.50249,B_memory_object_aware_runtime,synthetic
RAG,prefix cache,recompute_on_demand,true,,1,45.0,0.731,0.816667,0.0,0.2,0.0,0.044,0.056105,0.07812,0.0,0.84,0.0888,0.032,0.0,-0.794411,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,keep_hot,true,,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.0,0.0,0.0,0.0,0.0,0.02902,0.0,0.0,-0.02902,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,lossless_compress,true,,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.024489,0.141855,0.131413,0.0,0.2275,0.1451,0.0,0.0,-0.081781,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,lossy_summarize,false,lossy_without_replay_safe_pointer,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.0464,0.208054,0.183979,0.0,0.303333,0.23216,0.246,0.8206,-999.0,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,summary_plus_pointer,true,,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.037378,0.170226,0.148935,0.619,0.424667,0.44424,0.043733,0.05968,-0.007371,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,offload_full,true,,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.052844,0.104027,0.09637,0.0,0.6825,0.26118,0.0164,0.0,-0.721811,B_memory_object_aware_runtime,synthetic
RAG,retrieved context,recompute_on_demand,true,,1,58.0,0.716678,0.816667,1.0,0.82,0.333333,0.056711,0.056742,0.078848,0.0,1.092,0.11608,0.087467,0.17904,-1.298353,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,keep_hot,true,,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.0,0.0,0.0,0.0,0.0,0.02902,0.0,0.0,-0.02902,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,lossless_compress,true,,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.021111,0.140875,0.130667,0.0,0.2275,0.1451,0.0,0.0,-0.085917,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,lossy_summarize,false,lossy_without_replay_safe_pointer,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.04,0.206617,0.182933,0.0,0.303333,0.23216,0.1845,0.8206,-999.0,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,summary_plus_pointer,true,,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.032222,0.16905,0.148089,0.619,0.424667,0.44424,0.0328,0.05968,-0.002137,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,offload_full,true,,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.045556,0.103308,0.095822,0.0,0.6825,0.26118,0.0123,0.0,-0.724176,B_memory_object_aware_runtime,synthetic
RAG,semantic cache entry,recompute_on_demand,true,,1,50.0,0.717222,0.816667,1.0,0.82,0.5,0.048889,0.05635,0.0784,0.0,1.092,0.11608,0.0656,0.17904,-1.282906,B_memory_object_aware_runtime,synthetic
RAG,tool output,keep_hot,true,,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,-0.031,B_memory_object_aware_runtime,synthetic
RAG,tool output,lossless_compress,true,,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.0912,0.0,0.14616,0.0,0.105,0.155,0.0,0.0,-0.048073,B_memory_object_aware_runtime,synthetic
RAG,tool output,lossy_summarize,false,lossy_without_replay_safe_pointer,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.1728,0.0,0.204624,0.0,0.14,0.248,0.0,0.88,-999.0,B_memory_object_aware_runtime,synthetic
