"reuse_probability","transfer_cost_ratio","recompute_cost_ratio","branch_fanout","verifier_delay","durability_horizon","correctness_loss_multiplier","net_memory_centric_benefit","dominant_benefit_driver"
"0.","0.","0.","1","0","0","0.","-1.","no_material_benefit"
"0.","0.","0.","1","0","0","1.","-1.","no_material_benefit"
"0.","0.","0.","1","0","0","3.","-1.","no_material_benefit"
"0.","0.","0.","1","0","8","0.","-4.","no_material_benefit"
"0.","0.","0.","1","0","8","1.","4.","correctness_sensitive_retention"
"0.","0.","0.","1","0","8","3.","20.000000000000004","correctness_sensitive_retention"
"0.","0.","0.","1","4","0","0.","-2.","no_material_benefit"
"0.","0.","0.","1","4","0","1.","6.","correctness_sensitive_retention"
"0.","0.","0.","1","4","0","3.","22.000000000000004","correctness_sensitive_retention"
"0.","0.","0.","1","4","8","0.","-6.","no_material_benefit"
"0.","0.","0.","1","4","8","1.","2.","correctness_sensitive_retention"
"0.","0.","0.","1","4","8","3.","18.000000000000004","correctness_sensitive_retention"
"0.","0.","0.","4","0","0","0.","-4.","no_material_benefit"
"0.","0.","0.","4","0","0","1.","-4.","no_material_benefit"
"0.","0.","0.","4","0","0","3.","-4.","no_material_benefit"
"0.","0.","0.","4","0","8","0.","-16.","no_material_benefit"
"0.","0.","0.","4","0","8","1.","-8.","no_material_benefit"
"0.","0.","0.","4","0","8","3.","8.000000000000004","correctness_sensitive_retention"
"0.","0.","0.","4","4","0","0.","-8.","no_material_benefit"
"0.","0.","0.","4","4","0","1.","0.","no_material_benefit"
"0.","0.","0.","4","4","0","3.","16.000000000000004","correctness_sensitive_retention"
"0.","0.","0.","4","4","8","0.","-24.","no_material_benefit"
"0.","0.","0.","4","4","8","1.","-16.","no_material_benefit"
"0.","0.","0.","4","4","8","3.","3.552713678800501*^-15","no_material_benefit"
"0.","0.","10.","1","0","0","0.","-1.","no_material_benefit"
"0.","0.","10.","1","0","0","1.","-1.","no_material_benefit"
"0.","0.","10.","1","0","0","3.","-1.","no_material_benefit"
"0.","0.","10.","1","0","8","0.","-4.","no_material_benefit"
"0.","0.","10.","1","0","8","1.","4.","correctness_sensitive_retention"
"0.","0.","10.","1","0","8","3.","20.000000000000004","correctness_sensitive_retention"
"0.","0.","10.","1","4","0","0.","-2.","no_material_benefit"
"0.","0.","10.","1","4","0","1.","6.","correctness_sensitive_retention"
"0.","0.","10.","1","4","0","3.","22.000000000000004","correctness_sensitive_retention"
"0.","0.","10.","1","4","8","0.","-6.","no_material_benefit"
"0.","0.","10.","1","4","8","1.","2.","correctness_sensitive_retention"
"0.","0.","10.","1","4","8","3.","18.000000000000004","correctness_sensitive_retention"
"0.","0.","10.","4","0","0","0.","-4.","no_material_benefit"
