scenario_id,workload_class,architecture_option,bytes_moved_proxy,bytes_retained_proxy,recompute_proxy,energy_per_byte_setting,dollar_per_byte_setting,cxl_latency_setting,net_energy_proxy,net_dollar_proxy,decision,evidence_label
RAG|A|DC001_zero_energy|DC002_local_like_p50,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,0.0,0.0,keep_option_A,synthetic_sensitivity
RAG|A|DC001_zero_energy|DC002_moderate_p95,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_moderate_p95,0.0,0.0,keep_option_A,synthetic_sensitivity
RAG|A|DC001_zero_energy|DC002_tail_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_tail_p99,0.0,0.0,keep_option_A,synthetic_sensitivity
RAG|A|DC001_zero_energy|DC002_pathological_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_pathological_p99,0.0,0.0,keep_option_A,synthetic_sensitivity
RAG|A|DC001_equal_tier_low|DC002_local_like_p50,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_local_like_p50,0.0,0.6188,keep_option_A,synthetic_sensitivity
RAG|A|DC001_equal_tier_low|DC002_moderate_p95,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_moderate_p95,0.0,0.6188,keep_option_A,synthetic_sensitivity
RAG|A|DC001_equal_tier_low|DC002_tail_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_tail_p99,0.0,0.6188,keep_option_A,synthetic_sensitivity
RAG|A|DC001_equal_tier_low|DC002_pathological_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_pathological_p99,0.0,0.6188,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_medium|DC002_local_like_p50,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_local_like_p50,0.0,1.65,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_medium|DC002_moderate_p95,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_moderate_p95,0.0,1.65,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_medium|DC002_tail_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_tail_p99,0.0,1.65,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_medium|DC002_pathological_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_pathological_p99,0.0,1.65,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_high|DC002_local_like_p50,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_local_like_p50,0.0,3.7125,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_high|DC002_moderate_p95,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_moderate_p95,0.0,3.7125,keep_option_A,synthetic_sensitivity
