transition_order,from_state,to_state,required_previous_state,required_identifier_continuity,required_evidence_label,dominates_threshold,blocked_reason_if_missing
1,,raw_bundle_seen,,,any,false,
2,raw_bundle_seen,attestation_mechanically_valid,raw_bundle_seen,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
3,attestation_mechanically_valid,trust_policy_admissible,attestation_mechanically_valid,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
4,trust_policy_admissible,intake_structurally_admissible,trust_policy_admissible,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
5,intake_structurally_admissible,adapter_conformant,intake_structurally_admissible,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
6,adapter_conformant,adapter_normalized,adapter_conformant,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
7,adapter_normalized,production_ingestion_accepted,adapter_normalized,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,production_target,false,missing_required_state
8,production_ingestion_accepted,security_provenance_passed,production_ingestion_accepted,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,true,missing_required_state
9,security_provenance_passed,noise_floor_passed,security_provenance_passed,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,true,missing_required_state
10,noise_floor_passed,threshold_replay_passed,noise_floor_passed,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
11,threshold_replay_passed,planner_update_eligible,threshold_replay_passed,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
12,planner_update_eligible,final_readiness_update_eligible,planner_update_eligible,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
13,final_readiness_update_eligible,handoff_traceable,final_readiness_update_eligible,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,any,false,missing_required_state
14,handoff_traceable,production_claim_credit_allowed,handoff_traceable,bundle_id;measurement_run_id;operator_id;collector_id;schema_version,production_target,false,missing_required_state
