scenario_id,workload_class,representative_object,trend_family,hbm_capacity_multiplier,hbm_bandwidth_multiplier,cxl_p99_latency_multiplier,nvme_remote_latency_multiplier,energy_per_byte_multiplier,recompute_cost_multiplier,validation_security_overhead_multiplier,reuse_probability,branch_fanout,durable_state_lifetime,verification_loop_count,retained_state_value,movement_cost,contention_penalty,recompute_alternative,validation_security_overhead,memory_centric_advantage,option_preferred,conclusion_label,reason,planner_net_value_context,security_safe_hit_rate_context,cxl_p99_collapse_threshold_context,energy_sensitivity_collapse_rate_context,pilot_options_context,evidence_boundary,production_ready
control_zero_reuse_branch,single-turn chat control,KV cache,control,1,1,1,1,1,1,1,0,0,0,0,0.0,7.7491,0.7,1.457,1.1875,-11.0936,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
large_hbm_fast_bandwidth,single-turn chat control,KV cache,hardware_A_sufficient,8,4,0.5,0.8,0.35,0.45,1,0.1,0,1,0,0.1317,0.3484,0.526,3.2378,1.1875,-5.1681,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
cheap_recompute,single-turn chat control,KV cache,hardware_A_sufficient,2,2,0.8,1,0.5,0.25,1,0.2,1,2,1,0.2354,1.3991,1.2,5.828,1.7219,-9.9136,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
low_cxl_zero_reuse,single-turn chat control,KV cache,control,1,1,0.01,1,1,1,1,0,4,8,3,0.0,7.7491,1.777,1.457,2.7906,-13.7738,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
pathological_cxl_tail,single-turn chat control,KV cache,hardware_A_sufficient,1,1,60,2,1,1,1,0.6,3,6,2,2.4718,7.7491,89.64,1.457,2.2563,-98.6305,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_validation_security,single-turn chat control,KV cache,control,1,1,0.5,1,1,2,12,0.8,5,10,4,8.1711,7.7491,3.175,0.7285,39.9,-43.3815,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_prefix_tool_reuse,single-turn chat control,KV cache,workload_B_compelling,1,1,0.7,1,1,2,1,0.85,1,4,1,3.0148,7.7491,1.545,0.7285,1.7219,-8.7297,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
branch_durable_verifier_growth,single-turn chat control,KV cache,workload_C_compelling,1,1,0.6,0.7,1,2.5,1,0.78,5,14,5,10.79,7.7491,3.326,0.5828,3.8594,-4.7273,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
long_lived_workspace,single-turn chat control,KV cache,workload_B_compelling,1.5,1,0.8,0.5,1,1.5,1.2,0.65,2,20,1,3.5133,6.3141,3.16,0.9713,2.0663,-8.9984,A,measurement_required,zero_or_negative_memory_centric_advantage,-5.1716,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
control_zero_reuse_branch,batch summarization/offline inference control,weights,control,1,1,1,1,1,1,1,0,0,0,0,0.0,22.7025,0.7,4.2686,1.1875,-28.8586,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
large_hbm_fast_bandwidth,batch summarization/offline inference control,weights,hardware_A_sufficient,8,4,0.5,0.8,0.35,0.45,1,0.1,0,1,0,0.1289,1.0208,0.526,9.4857,1.1875,-12.0911,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
cheap_recompute,batch summarization/offline inference control,weights,hardware_A_sufficient,2,2,0.8,1,0.5,0.25,1,0.2,1,2,1,0.2305,4.0991,1.2,17.0743,1.7219,-23.8647,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
low_cxl_zero_reuse,batch summarization/offline inference control,weights,control,1,1,0.01,1,1,1,1,0,4,8,3,0.0,22.7025,1.777,4.2686,2.7906,-31.5387,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
pathological_cxl_tail,batch summarization/offline inference control,weights,hardware_A_sufficient,1,1,60,2,1,1,1,0.6,3,6,2,2.4201,22.7025,89.64,4.2686,2.2563,-116.4472,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_validation_security,batch summarization/offline inference control,weights,control,1,1,0.5,1,1,2,12,0.8,5,10,4,8.0001,22.7025,3.175,2.1343,39.9,-59.9117,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_prefix_tool_reuse,batch summarization/offline inference control,weights,workload_B_compelling,1,1,0.7,1,1,2,1,0.85,1,4,1,2.9517,22.7025,1.545,2.1343,1.7219,-25.1519,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
branch_durable_verifier_growth,batch summarization/offline inference control,weights,workload_C_compelling,1,1,0.6,0.7,1,2.5,1,0.78,5,14,5,10.5641,22.7025,3.326,1.7074,3.8594,-21.0312,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
long_lived_workspace,batch summarization/offline inference control,weights,workload_B_compelling,1.5,1,0.8,0.5,1,1.5,1.2,0.65,2,20,1,3.4398,18.4983,3.16,2.8457,2.0663,-23.1305,A,measurement_required,zero_or_negative_memory_centric_advantage,-7.1563,0.0,8.0,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
control_zero_reuse_branch,RAG with retrieved-context reuse,retrieved context,control,1,1,1,1,1,1,1,0,0,0,0,0.0,4.7297,0.6871,0.9857,1.0023,-7.4048,A,measurement_required,zero_or_negative_memory_centric_advantage,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
large_hbm_fast_bandwidth,RAG with retrieved-context reuse,retrieved context,hardware_A_sufficient,8,4,0.5,0.8,0.35,0.45,1,0.1,0,1,0,2.0586,0.2127,0.5196,2.1905,1.0023,-1.8664,A,measurement_required,zero_or_negative_memory_centric_advantage,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
cheap_recompute,RAG with retrieved-context reuse,retrieved context,hardware_A_sufficient,2,2,0.8,1,0.5,0.25,1,0.2,1,2,1,3.6803,0.854,1.186,3.9429,1.4534,-3.7559,A,measurement_required,zero_or_negative_memory_centric_advantage,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
low_cxl_zero_reuse,RAG with retrieved-context reuse,retrieved context,control,1,1,0.01,1,1,1,1,0,4,8,3,0.0,4.7297,1.7767,0.9857,2.3554,-9.8475,A,measurement_required,zero_or_negative_memory_centric_advantage,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
pathological_cxl_tail,RAG with retrieved-context reuse,retrieved context,hardware_A_sufficient,1,1,60,2,1,1,1,0.6,3,6,2,38.6443,4.7297,88.0388,0.9857,1.9044,-57.0143,A,measurement_required,zero_or_negative_memory_centric_advantage,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_validation_security,RAG with retrieved-context reuse,retrieved context,control,1,1,0.5,1,1,2,12,0.8,5,10,4,127.7459,4.7297,3.1571,0.4929,33.6778,85.6885,B,synthetic_supported,validation_security_overhead_downgrade,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_prefix_tool_reuse,RAG with retrieved-context reuse,retrieved context,workload_B_compelling,1,1,0.7,1,1,2,1,0.85,1,4,1,47.1338,4.7297,1.5328,0.4929,1.4534,38.9251,B,synthetic_supported,object_reuse_value_exceeds_costs,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
branch_durable_verifier_growth,RAG with retrieved-context reuse,retrieved context,workload_C_compelling,1,1,0.6,0.7,1,2.5,1,0.78,5,14,5,168.6893,4.7297,3.3045,0.3943,3.2575,157.0034,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
long_lived_workspace,RAG with retrieved-context reuse,retrieved context,workload_B_compelling,1.5,1,0.8,0.5,1,1.5,1.2,0.65,2,20,1,54.9267,3.8538,3.1423,0.6571,1.744,45.5294,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,30.8122,0.7407,8.15,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
control_zero_reuse_branch,code-agent loop with tool outputs and durable workspace,tool output,control,1,1,1,1,1,1,1,0,0,0,0,0.0,9.8378,0.2221,6.6857,1.0547,-17.8003,A,measurement_required,zero_or_negative_memory_centric_advantage,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
large_hbm_fast_bandwidth,code-agent loop with tool outputs and durable workspace,tool output,hardware_A_sufficient,8,4,0.5,0.8,0.35,0.45,1,0.1,0,1,0,4.8528,0.4424,0.2871,14.8571,1.0547,-11.7885,A,measurement_required,zero_or_negative_memory_centric_advantage,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
cheap_recompute,code-agent loop with tool outputs and durable workspace,tool output,hardware_A_sufficient,2,2,0.8,1,0.5,0.25,1,0.2,1,2,1,8.6753,1.7763,0.6812,26.7429,1.5293,-22.0542,A,measurement_required,zero_or_negative_memory_centric_advantage,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
low_cxl_zero_reuse,code-agent loop with tool outputs and durable workspace,tool output,control,1,1,0.01,1,1,1,1,0,4,8,3,0.0,9.8378,1.7654,6.6857,2.4785,-20.7674,A,measurement_required,zero_or_negative_memory_centric_advantage,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
pathological_cxl_tail,code-agent loop with tool outputs and durable workspace,tool output,hardware_A_sufficient,1,1,60,2,1,1,1,0.6,3,6,2,91.0949,9.8378,30.2454,6.6857,2.0039,42.3222,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_validation_security,code-agent loop with tool outputs and durable workspace,tool output,control,1,1,0.5,1,1,2,12,0.8,5,10,4,301.1313,9.8378,2.5094,3.3429,35.4375,250.0038,B,synthetic_supported,validation_security_overhead_downgrade,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_prefix_tool_reuse,code-agent loop with tool outputs and durable workspace,tool output,workload_B_compelling,1,1,0.7,1,1,2,1,0.85,1,4,1,111.107,9.8378,1.091,3.3429,1.5293,95.3061,B,synthetic_supported,object_reuse_value_exceeds_costs,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
branch_durable_verifier_growth,code-agent loop with tool outputs and durable workspace,tool output,workload_C_compelling,1,1,0.6,0.7,1,2.5,1,0.78,5,14,5,397.646,9.8378,2.5272,2.6743,3.4277,379.179,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
long_lived_workspace,code-agent loop with tool outputs and durable workspace,tool output,workload_B_compelling,1.5,1,0.8,0.5,1,1.5,1.2,0.65,2,20,1,129.477,8.0159,2.5046,4.4571,1.8352,112.6642,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,21.9095,0.5312,25.2125,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
control_zero_reuse_branch,verification-heavy agent,verifier state,control,1,1,1,1,1,1,1,0,0,0,0,0.0,6.8108,0.2165,5.4926,1.0667,-13.5865,A,measurement_required,zero_or_negative_memory_centric_advantage,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
large_hbm_fast_bandwidth,verification-heavy agent,verifier state,hardware_A_sufficient,8,4,0.5,0.8,0.35,0.45,1,0.1,0,1,0,6.5109,0.3062,0.2843,12.2057,1.0667,-7.352,A,measurement_required,zero_or_negative_memory_centric_advantage,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
cheap_recompute,verification-heavy agent,verifier state,hardware_A_sufficient,2,2,0.8,1,0.5,0.25,1,0.2,1,2,1,11.6396,1.2297,0.6751,21.9703,1.5467,-13.7822,A,measurement_required,zero_or_negative_memory_centric_advantage,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
