bundle_id,manifest_path,evidence_label,evidence_artifact_complete,first_failed_gate,blocked_reason,ready_for_production_target_replay,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed
probe-manifest_only_gate_boolean,defect_probe/manifest_only_gate_boolean/manifest.json,production_target,false,root_enrollment,missing_evidence_path,false,false,false,false,false,false
probe-missing_evidence_path,defect_probe/missing_evidence_path/manifest.json,production_target,false,root_enrollment,missing_evidence_path,false,false,false,false,false,false
probe-nonexistent_evidence_file,defect_probe/nonexistent_evidence_file/manifest.json,production_target,false,root_enrollment,nonexistent_evidence_file,false,false,false,false,false,false
probe-digest_mismatch,defect_probe/digest_mismatch/manifest.json,production_target,false,root_enrollment,digest_mismatch,false,false,false,false,false,false
probe-missing_required_payload_field,defect_probe/missing_required_payload_field/manifest.json,production_target,false,root_enrollment,missing_required_payload_field,false,false,false,false,false,false
probe-evidence_window_outside_measurement_window,defect_probe/evidence_window_outside_measurement_window/manifest.json,production_target,false,timebase_integrity,evidence_window_outside_measurement_window,false,false,false,false,false,false
probe-root_identity_mismatch,defect_probe/root_identity_mismatch/manifest.json,production_target,false,root_enrollment,root_identity_mismatch,false,false,false,false,false,false
probe-collector_identity_mismatch,defect_probe/collector_identity_mismatch/manifest.json,production_target,false,timebase_integrity,collector_identity_mismatch,false,false,false,false,false,false
probe-topology_model_workload_mismatch,defect_probe/topology_model_workload_mismatch/manifest.json,production_target,false,causal_attribution,topology_model_workload_mismatch,false,false,false,false,false,false
probe-downstream_artifact_without_upstream_dependency,defect_probe/downstream_artifact_without_upstream_dependency/manifest.json,production_target,false,attestation_envelope,downstream_artifact_without_upstream_dependency,false,false,false,false,false,false
probe-artifact_with_non_production_evidence_label_attempting_promotion,defect_probe/artifact_with_non_production_evidence_label_attempting_promotion/manifest.json,synthetic_production_fixture,false,root_enrollment,non_production_evidence_label,false,false,false,false,false,false
probe-complete_linked_artifacts,defect_probe/complete_linked_artifacts/manifest.json,production_target,true,,,true,false,false,false,false,false
