case_id,mode,expected_state,observed_state,return_code,missing_checks,self_attestation_detected,artifact_count,evidence_label,production_artifact_emission_allowed,blocked_reason
no_production_root_marker,preflight,not_running_in_production_root,not_running_in_production_root,1,production_root_marker,false,0,,false,not_running_in_production_root
missing_deployment_root_identity,preflight,operator_material_missing,operator_material_missing,1,"deployment_root_identity_file,source_material:deployment_root_identity_file",false,0,,false,operator_material_missing
missing_collector_identity,preflight,collector_capability_missing,collector_capability_missing,1,collector_identity_file,false,0,,false,collector_capability_missing
missing_operator_trust_policy_file,preflight,operator_material_missing,operator_material_missing,1,"operator_trust_policy_file,source_material:operator_trust_policy_file",false,0,,false,operator_material_missing
missing_external_attestation_file,preflight,operator_material_missing,operator_material_missing,1,"external_attestation_file,source_material:external_attestation_file",false,0,,false,operator_material_missing
missing_telemetry_counter_source,preflight,collector_capability_missing,collector_capability_missing,1,telemetry_counter_source_file,false,0,,false,collector_capability_missing
missing_gate_source_material,preflight,collector_capability_missing,collector_capability_missing,1,source_material:bundle_manifest_file,false,0,,false,collector_capability_missing
stale_time_source,preflight,collector_capability_missing,collector_capability_missing,1,time_source_file,false,0,,false,collector_capability_missing
unwritable_artifact_output_root,preflight,collector_capability_missing,collector_capability_missing,1,,false,0,,false,collector_capability_missing
dry_run_fixture_attempting_production_target,dry-run,candidate_artifacts_emitted,candidate_artifacts_emitted,0,,false,13,collector_dry_run_fixture,false,
internally_generated_self_attestation,preflight,operator_material_missing,operator_material_missing,1,self_attestation_guard,true,0,,false,operator_material_missing
complete_nonproduction_fixture_inputs,dry-run,candidate_artifacts_emitted,candidate_artifacts_emitted,0,,false,13,collector_dry_run_fixture,false,
