case_id,contract_state,planner_boundary,placement_allowed,reuse_allowed,compression_allowed,retention_allowed,planner_action,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed
valid_weights,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
valid_kv_cache,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
valid_prompt_prefix,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
valid_retrieved_context,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
valid_tool_output,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
valid_branch_state,complete_safe_contract,accepted,true,true,true,true,admit_for_option_c_dag_planning,false,false,false,false,false
valid_verifier_state,complete_safe_contract,accepted,true,true,true,true,admit_for_option_c_dag_planning,false,false,false,false,false
valid_trajectory_log,complete_safe_contract,accepted,true,true,true,true,admit_for_option_c_dag_planning,false,false,false,false,false
valid_durable_workspace_artifact,complete_safe_contract,accepted,true,true,true,true,admit_for_option_c_dag_planning,false,false,false,false,false
valid_semantic_cache_entry,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
missing_object_class,missing_object_class,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
missing_producer_id,missing_mandatory_field_producer_id,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
missing_lineage_provenance,missing_lineage_or_provenance,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
missing_tenant_id,missing_mandatory_field_tenant_id,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
missing_reuse_scope,missing_mandatory_field_reuse_scope,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
missing_security_label,missing_mandatory_field_security_label,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
tenant_reuse_scope_mismatch,tenant_reuse_scope_mismatch,rejected,false,false,false,false,reject_before_reuse,false,false,false,false,false
impossible_lifetime_interval,impossible_lifetime_interval,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
dangling_branch_parent,dangling_branch_parent,rejected,false,false,false,false,reject_before_dag_scheduling,false,false,false,false,false
verifier_without_checked_target,verifier_state_without_checked_target,rejected,false,false,false,false,reject_before_dag_scheduling,false,false,false,false,false
tool_output_without_freshness_source,tool_output_without_freshness_source,rejected,false,false,false,false,reject_before_reuse,false,false,false,false,false
missing_compression_policy,missing_mandatory_field_compression_policy,rejected,false,false,false,false,reject_before_compression,false,false,false,false,false
invalid_compression_policy,invalid_compression_policy,rejected,false,false,false,false,reject_before_compression,false,false,false,false,false
lossy_compression_correctness_critical,lossy_compression_for_correctness_critical_object,rejected,false,false,false,false,reject_before_compression,false,false,false,false,false
residency_hint_exceeds_allowed_tier,residency_hint_exceeds_allowed_tier,rejected,false,false,false,false,reject_before_placement,false,false,false,false,false
missing_advisory_residency_hint,complete_safe_contract,accepted,true,true,true,true,admit_for_option_b_object_planning,false,false,false,false,false
durable_retention_without_policy,durable_retention_without_policy,rejected,false,false,false,false,reject_before_retention,false,false,false,false,false
missing_evidence_label,missing_mandatory_field_evidence_label,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
production_evidence_label_in_runtime_abi,production_evidence_label_not_runtime_abi,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
planner_required_field_marked_advisory,planner_required_field_absent_but_marked_advisory,rejected,false,false,false,false,reject_before_planning,false,false,false,false,false
