case_id,object_id,object_class,selected_option,action_type,action,tier,emitted,evidence_label
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,placement,place:CPU DRAM,CPU DRAM,true,synthetic_integration
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,reuse,authorize_scope:tenant,CPU DRAM,true,synthetic_integration
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,compression,compression_policy:summary_pointer,CPU DRAM,true,synthetic_integration
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,retention,retain_until:128,CPU DRAM,true,synthetic_integration
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,placement,place:CPU DRAM,CPU DRAM,true,synthetic_integration
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,migration,resolve_branch_dependencies,CPU DRAM,true,synthetic_integration
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,reuse,authorize_scope:tenant,CPU DRAM,true,synthetic_integration
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,compression,compression_policy:lossless,CPU DRAM,true,synthetic_integration
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,retention,retain_until:128,CPU DRAM,true,synthetic_integration
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,placement,place:CPU DRAM:default_no_residency_hint,CPU DRAM,true,synthetic_integration
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,reuse,authorize_scope:tenant,CPU DRAM,true,synthetic_integration
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,compression,compression_policy:lossless,CPU DRAM,true,synthetic_integration
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,retention,retain_until:128,CPU DRAM,true,synthetic_integration
option_a_opaque_baseline,opaque_request,opaque request/model/KV serving state,A_conventional_request_model_kv_serving,opaque_execute,serve_without_memory_object_abi,baseline_serving_path,true,synthetic_integration
