workload_class,object_id,object_class,selected_option,baseline_option,action,tier,compression_strategy,validation_required,security_decision,constraint_binding,net_plan_value,safe_reuse_credit,raw_reuse_credit,validation_overhead,queue_overhead,contention_penalty,compression_risk,evidence_label
single-turn chat control,single-turn_chat_control:weights:1,weights,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,keep_hot,HBM/GPU memory,none,true,not_reuse_candidate,control_or_zero_reuse,-2.82,0.0,0.0,0.0,0.9,0.0,1.6,synthetic_planning
single-turn chat control,single-turn_chat_control:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,keep_hot,HBM/GPU memory,none,true,not_reuse_candidate,control_or_zero_reuse,-1.4544,0.0,0.0,0.0,0.45,0.0,0.8444,synthetic_planning
single-turn chat control,single-turn_chat_control:prefix_cache:1,prefix cache,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,recompute_or_drop,not_retained,none,true,not_reuse_candidate,control_or_zero_reuse,-0.8972,0.0,0.0,0.0,0.225,0.65,0.0222,synthetic_planning
batch summarization/offline inference control,batch_summarization_offline_inference_control:weights:1,weights,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,keep_hot,HBM/GPU memory,none,true,not_reuse_candidate,control_or_zero_reuse,-4.4975,0.0,0.0,0.0,1.1375,0.0,2.8,synthetic_planning
batch summarization/offline inference control,batch_summarization_offline_inference_control:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,keep_hot,HBM/GPU memory,none,true,not_reuse_candidate,control_or_zero_reuse,-2.6588,0.0,0.0,0.0,0.65,0.0,1.6888,synthetic_planning
RAG,rag:weights:1,weights,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,compress_or_pointer_preserve,CPU DRAM,lossless_compress,true,safe_reuse,capacity,20.2805,33.324,34.68,1.356,4.2075,0.0,4.4,synthetic_planning
RAG,rag:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,recompute_or_drop,not_retained,none,true,overhead_dominated_reuse,validation_overhead,-0.938374,0.0,0.186667,0.1464,0.3825,0.0,0.409474,synthetic_planning
RAG,rag:prefix_cache:1,prefix cache,B_memory_object_aware_runtime,B_memory_object_aware_runtime,keep_hot,CPU DRAM,lossless_compress,true,safe_reuse,value_positive,13.942088,15.908932,16.333332,0.4244,1.1475,0.15,0.004944,synthetic_planning
RAG,rag:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,recompute_or_drop,not_retained,none,true,safe_reuse,queueing_overhead,-3.410535,0.0,1.833335,0.642,1.9125,0.0,2.04737,synthetic_planning
RAG,rag:semantic_cache_entry:1,semantic cache entry,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,15.12,0.5287,1.1475,0.15,1.206411,synthetic_planning
RAG,rag:retrieved_context:1,retrieved context,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,15.773333,0.5853,1.1475,0.15,1.222113,synthetic_planning
RAG,rag:tool_output:3,tool output,B_memory_object_aware_runtime,B_memory_object_aware_runtime,compress_or_pointer_preserve,CPU DRAM,summary_plus_pointer,true,safe_reuse,compression_unsafe,0.938478,2.254378,2.457778,0.2034,0.3825,0.05,0.4,synthetic_planning
