workload_class,object_id,object_class,selected_option,action,constraint_binding,security_decision,net_plan_value,evidence_label
single-turn chat control,single-turn_chat_control:weights:1,weights,A_conventional_request_model_kv_serving,keep_hot,control_or_zero_reuse,not_reuse_candidate,-2.82,synthetic_planning
single-turn chat control,single-turn_chat_control:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,keep_hot,control_or_zero_reuse,not_reuse_candidate,-1.4544,synthetic_planning
single-turn chat control,single-turn_chat_control:prefix_cache:1,prefix cache,A_conventional_request_model_kv_serving,recompute_or_drop,control_or_zero_reuse,not_reuse_candidate,-0.8972,synthetic_planning
batch summarization/offline inference control,batch_summarization_offline_inference_control:weights:1,weights,A_conventional_request_model_kv_serving,keep_hot,control_or_zero_reuse,not_reuse_candidate,-4.4975,synthetic_planning
batch summarization/offline inference control,batch_summarization_offline_inference_control:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,keep_hot,control_or_zero_reuse,not_reuse_candidate,-2.6588,synthetic_planning
RAG,rag:weights:1,weights,A_conventional_request_model_kv_serving,compress_or_pointer_preserve,capacity,safe_reuse,20.2805,synthetic_planning
RAG,rag:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,recompute_or_drop,validation_overhead,overhead_dominated_reuse,-0.938374,synthetic_planning
RAG,rag:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,recompute_or_drop,queueing_overhead,safe_reuse,-3.410535,synthetic_planning
RAG,rag:semantic_cache_entry:1,semantic cache entry,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
RAG,rag:retrieved_context:1,retrieved context,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
RAG,rag:tool_output:3,tool output,B_memory_object_aware_runtime,compress_or_pointer_preserve,compression_unsafe,safe_reuse,0.938478,synthetic_planning
code-agent loop,code-agent_loop:weights:1,weights,B_memory_object_aware_runtime,compress_or_pointer_preserve,capacity,safe_reuse,26.078,synthetic_planning
code-agent loop,code-agent_loop:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,recompute_or_drop,validation_overhead,overhead_dominated_reuse,-1.110721,synthetic_planning
code-agent loop,code-agent_loop:KV_cache:1,KV cache,B_memory_object_aware_runtime,recompute_or_drop,queueing_overhead,safe_reuse,-6.313178,synthetic_planning
code-agent loop,code-agent_loop:branch_state:1,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-5.0294,synthetic_planning
code-agent loop,code-agent_loop:trajectory_log:1,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:branch_state:2,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-4.9494,synthetic_planning
code-agent loop,code-agent_loop:trajectory_log:2,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:tool_output:1,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:1,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-5.3725,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:tool_output:2,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:tool_output:3,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:2,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-3.535,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:3,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:3,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:weights:1,weights,B_memory_object_aware_runtime,compress_or_pointer_preserve,capacity,safe_reuse,26.4,synthetic_planning
verification-heavy,verification-heavy:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,recompute_or_drop,validation_overhead,overhead_dominated_reuse,-1.025266,synthetic_planning
verification-heavy,verification-heavy:KV_cache:1,KV cache,B_memory_object_aware_runtime,recompute_or_drop,queueing_overhead,safe_reuse,-5.104993,synthetic_planning
verification-heavy,verification-heavy:branch_state:1,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-4.6719,synthetic_planning
verification-heavy,verification-heavy:trajectory_log:1,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:branch_state:2,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-4.6619,synthetic_planning
verification-heavy,verification-heavy:trajectory_log:2,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:tool_output:1,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:verifier_state:1,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-4.965,synthetic_planning
verification-heavy,verification-heavy:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:tool_output:3,tool output,C_trajectory_dag_memory_fabric,compress_or_pointer_preserve,compression_unsafe,safe_reuse,0.900978,synthetic_planning
verification-heavy,verification-heavy:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:branch_state:3,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-3.1346,synthetic_planning
verification-heavy,verification-heavy:trajectory_log:3,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:tool_output:2,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:tool_output:3,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:verifier_state:3,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:verifier_state:4,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
verification-heavy,verification-heavy:verifier_state:2,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-1.665,synthetic_planning
verification-heavy,verification-heavy:verifier_state:3,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-1.675,synthetic_planning
verification-heavy,verification-heavy:verifier_state:4,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-1.685,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:weights:1,weights,B_memory_object_aware_runtime,compress_or_pointer_preserve,capacity,safe_reuse,29.549,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,recompute_or_drop,validation_overhead,overhead_dominated_reuse,-1.11701,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:KV_cache:1,KV cache,B_memory_object_aware_runtime,recompute_or_drop,queueing_overhead,safe_reuse,-6.853944,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:1,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-6.6992,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:1,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:2,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-6.7092,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:2,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:tool_output:1,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-5.2825,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:3,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-4.9594,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:3,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:4,branch state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-5.0194,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:4,trajectory log,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:tool_output:2,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:tool_output:3,tool output,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:2,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-5.2825,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:3,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:3,durable workspace,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-1.7385,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:4,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,contention_tail,safe_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:3,verifier state,B_memory_object_aware_runtime,offload_cold,security_gate,downgraded_reuse,-3.545,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:3,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:4,durable workspace,A_conventional_request_model_kv_serving,recompute_or_drop,security_gate,denied_reuse,0.0,synthetic_planning
