profile_id,policy_scope,evidence_label,trust_root_type,trust_root_supported,fixture_hmac_presented_as_production_root,key_non_exportable,access_control_defined,rotation_interval_days,revocation_path_defined,collector_registered,collector_software_identity_bound,collector_firmware_identity_bound,topology_binding_defined,manifest_digest_binding,payload_digest_set_binding,adapter_conformance_digest_binding,schema_version_binding,bundle_id_registry_defined,nonce_or_monotonic_sequence_defined,tenant_isolation_defined,security_context_source_defined,retention_authorization_defined,append_only_audit_log,verifier_identity_defined,incident_response_owner,mechanically_valid_signature,attempted_attestation_source_trusted,attempted_production_trust_established,expected_blocked_reason
invalid-fixture-hmac-production-root,operator signing replacement design,operator_trust_policy_fixture,fixture_hmac,true,true,true,true,90,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,fixture_hmac_not_production_root
invalid-missing-revocation-path,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,missing_revocation_path
invalid-exportable-production-key,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,false,true,90,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,exportable_production_key
invalid-unbound-collector-identity,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,unbound_collector_identity
invalid-missing-firmware-identity,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,unbound_collector_identity
invalid-missing-replay-protection,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,operator-secops-fixture,true,false,false,missing_replay_protection
invalid-missing-audit-log,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,operator-secops-fixture,true,false,false,missing_audit_log
invalid-missing-tenant-security-binding,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,operator-secops-fixture,true,false,false,missing_tenant_security_binding
invalid-unsupported-trust-root,operator signing replacement design,operator_trust_policy_fixture,unsupported_placeholder,false,false,true,true,90,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,unsupported_trust_root
invalid-policy-attempts-production-trust,operator signing replacement design,operator_trust_policy_fixture,KMS,true,false,true,true,90,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,true,true,policy_attempted_production_trust
invalid-mechanical-signature-only,operator signing replacement design,operator_trust_policy_fixture,unsupported_placeholder,false,false,true,true,90,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,operator-secops-fixture,true,false,false,unsupported_trust_root
