profile_id,trust_root_type,mechanically_valid_signature,trust_policy_admissible,attestation_source_trusted,production_trust_established,production_target_granted,production_calibrated,production_ready,claim_credit_allowed,key_lifecycle_valid,collector_identity_bound,telemetry_binding_defined,replay_protection_defined,tenant_security_binding_defined,auditability_defined,evidence_label,expected_blocked_reason,blocked_reason
complete-kms-policy-fixture,KMS,true,true,false,false,false,false,false,false,true,true,true,true,true,true,operator_trust_policy_fixture,,
invalid-fixture-hmac-production-root,fixture_hmac,true,false,false,false,false,false,false,false,true,true,true,true,true,true,operator_trust_policy_fixture,fixture_hmac_not_production_root,fixture_hmac_not_production_root
invalid-missing-revocation-path,KMS,true,false,false,false,false,false,false,false,false,true,true,true,true,true,operator_trust_policy_fixture,missing_revocation_path,missing_revocation_path
invalid-exportable-production-key,KMS,true,false,false,false,false,false,false,false,false,true,true,true,true,true,operator_trust_policy_fixture,exportable_production_key,exportable_production_key
invalid-unbound-collector-identity,KMS,true,false,false,false,false,false,false,false,true,false,true,true,true,true,operator_trust_policy_fixture,unbound_collector_identity,unbound_collector_identity
invalid-missing-firmware-identity,KMS,true,false,false,false,false,false,false,false,true,false,true,true,true,true,operator_trust_policy_fixture,unbound_collector_identity,unbound_collector_identity
invalid-missing-replay-protection,KMS,true,false,false,false,false,false,false,false,true,true,true,false,true,true,operator_trust_policy_fixture,missing_replay_protection,missing_replay_protection
invalid-missing-audit-log,KMS,true,false,false,false,false,false,false,false,true,true,true,true,true,false,operator_trust_policy_fixture,missing_audit_log,missing_audit_log
invalid-missing-tenant-security-binding,KMS,true,false,false,false,false,false,false,false,true,true,true,true,false,true,operator_trust_policy_fixture,missing_tenant_security_binding,missing_tenant_security_binding
invalid-unsupported-trust-root,unsupported_placeholder,true,false,false,false,false,false,false,false,true,true,true,true,true,true,operator_trust_policy_fixture,unsupported_trust_root,unsupported_trust_root
invalid-policy-attempts-production-trust,KMS,true,false,false,false,false,false,false,false,true,true,true,true,true,true,operator_trust_policy_fixture,policy_attempted_production_trust,policy_attempted_production_trust
invalid-mechanical-signature-only,unsupported_placeholder,true,false,false,false,false,false,false,false,true,true,true,true,true,true,operator_trust_policy_fixture,unsupported_trust_root,unsupported_trust_root
