fixture_id,constant_id,threshold_id,workload_class,object_class,architecture_option,measured_value,threshold_value,threshold_basis,threshold_crossed,evidence_label
valid-dc001-rag-b,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
valid-dc002-rag-c,DC-002,DC002-RAG-C-p99,RAG,branch state; verifier state; trajectory log; durable workspace,C_trajectory_dag_memory_fabric,9.2,5.5,p99,true,synthetic_production_fixture
valid-dc002-code-b,DC-002,DC002-code-agent loop-B-p95,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,3.0,31.8,p95,false,synthetic_production_fixture
valid-control-a,DC-002,DC002-single-turn chat control-B-p95,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,A_conventional_request_model_kv_serving,2.0,0.0,p95,false,synthetic_production_fixture
invalid-missing-power-interval,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
invalid-missing-tier-bytes,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,140.0,5.0,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
invalid-missing-label,DC-001,DC001-BYTE-ENERGY-001,,,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
invalid-missing-topology-tenant,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
invalid-unaligned-interval,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
invalid-below-noise,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,3e-09,5e-09,measured_joules_per_byte_above_noise,false,synthetic_production_fixture
invalid-security-positive-credit,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,synthetic_production_fixture
invalid-host-proxy-mislabeled,DC-001,DC001-BYTE-ENERGY-001,RAG,retrieved context; prefix cache; semantic cache entry; tool output,B_memory_object_aware_runtime,1.3e-07,5e-09,measured_joules_per_byte_above_noise,true,host_local_proxy
