bundle_id,admission_status,payload_rows_seen,required_sections_present,required_streams_present,checksum_validation_attempted,checksum_valid,schema_version_checked,schema_version_valid,join_alias_resolution_attempted,join_alias_valid,unit_normalization_attempted,unit_valid,noise_metadata_present,security_provenance_complete,redaction_policy_unambiguous,evidence_label,production_target_requested,production_target_granted,production_calibrated,production_ready,claim_credit_allowed,expected_blocked_reason,blocked_reason
valid-intake-bundle,structurally_admissible,5,true,true,true,true,true,true,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,,
invalid-missing-checksum,blocked,1,true,false,true,false,true,true,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,missing_checksum,missing_checksum
invalid-checksum-mismatch,blocked,1,true,false,true,false,true,true,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,checksum_mismatch,checksum_mismatch
invalid-schema-version,blocked,1,true,false,true,true,true,false,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,schema_version_mismatch,schema_version_mismatch
invalid-missing-conformance-pointer,blocked,1,true,false,true,true,true,true,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,missing_adapter_conformance_pointer,missing_adapter_conformance_pointer
invalid-unresolved-join-alias,blocked,1,true,false,true,true,true,true,true,false,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,unresolved_join_alias,unresolved_join_alias
invalid-missing-noise-floor,blocked,1,true,false,true,true,true,true,true,true,true,true,false,true,true,production_intake_fixture,true,false,false,false,false,missing_noise_floor,missing_noise_floor
invalid-incomplete-security-stream,blocked,1,true,false,true,true,true,true,true,true,true,true,true,false,true,production_intake_fixture,true,false,false,false,false,incomplete_security_provenance_stream,incomplete_security_provenance_stream
invalid-stale-collection-window,blocked,1,true,false,true,true,true,true,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,stale_collection_window,stale_collection_window
invalid-ambiguous-redaction,blocked,1,true,false,true,true,true,true,true,true,true,true,true,true,false,production_intake_fixture,true,false,false,false,false,ambiguous_redaction_policy,ambiguous_redaction_policy
invalid-unit-declaration,blocked,1,true,false,true,true,true,true,true,true,true,false,true,true,true,production_intake_fixture,true,false,false,false,false,invalid_unit,invalid_unit
invalid-production-target-fixture,blocked,1,true,false,true,true,true,true,true,true,true,true,true,true,true,production_intake_fixture,true,false,false,false,false,fixture_attempted_production_target,fixture_attempted_production_target
