adapter_conformance_report_path,admission_status,bundle_id,calibration_method,canonical_schema_target,checksum_sha256,clock_domain,collection_environment,collection_window_fresh,collector_identity,counter_resolution,created_at,evidence_label,expected_blocked_reason,file_path,interval_end_ms,interval_start_ms,join_alias_resolution_status,latency_bucket_width_us,measurement_run_id,missingness_declaration,noise_floor_j,operator_id,production_target_requested,redaction_policy,redaction_policy_unambiguous,retention_authorization,row_count,sampling_cadence_ms,schema_version,security_context_source,security_provenance_stream_complete,signing_attestation_placeholder,stream_class,tenant_label_handling,timezone,trusted_source_declaration,unit_declaration,unit_normalization_attempted,unit_valid_input
data/adapter_conformance_results.csv,pending,invalid-missing-checksum,fixture_declared_method_not_production_calibration,adapter_conformance_contract,,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,missing_checksum,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-checksum-mismatch,fixture_declared_method_not_production_calibration,adapter_conformance_contract,0000000000000000000000000000000000000000000000000000000000000000,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,checksum_mismatch,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-schema-version,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,schema_version_mismatch,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v0,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
,pending,invalid-missing-conformance-pointer,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,missing_adapter_conformance_pointer,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-unresolved-join-alias,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,unresolved_join_alias,data/adapter_conformance_results.csv,2000,1000,unresolved:operator_run_id,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-missing-noise-floor,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,missing_noise_floor,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-incomplete-security-stream,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,incomplete_security_provenance_stream,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,,false,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-stale-collection-window,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,false,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,stale_collection_window,data/adapter_conformance_results.csv,900,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-ambiguous-redaction,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,ambiguous_redaction_policy,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,operator-defined,false,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; J; B; us; ms,true,true
data/adapter_conformance_results.csv,pending,invalid-unit-declaration,fixture_declared_method_not_production_calibration,adapter_conformance_contract,85401f255959d02dfebfcf14bc6de89b478f2a3e098cbdec20736722ccb28f89,monotonic_ns,fixture_target_shape_only,true,intake-fixture-collector-v1,0.01J; 1us; 1B,2026-05-12T06:00:00Z,production_intake_fixture,invalid_unit,data/adapter_conformance_results.csv,2000,1000,resolved,1.0,prod-intake-run-001,none_in_fixture,0.2,operator-fixture-a,true,deterministic fixture redaction; no raw tenant secrets,true,fixture retention authorized for protocol validation,12,1000,production_dc12_v1,security/provenance/retention/verifier gates,true,fixture-attestation-placeholder,adapter conformance admission report,tenant labels retained in fixture namespace,UTC,fixture_not_trusted_real_source,W; kWh; bytes; ns,true,false
