case_id,enrollment_admissible,existing_gatechain_allowed,evidence_label,production_target_granted,production_calibrated,production_ready,claim_credit_allowed,boundary_reason,option_bc_contract_ready_only
valid-complete-fixture-enrollment,true,false,deployment_root_enrollment_fixture,false,false,false,false,enrollment_precondition_only,true
invalid-unknown-root,false,false,deployment_root_enrollment_fixture,false,false,false,false,unknown_deployment_root,true
invalid-unknown-key,false,false,deployment_root_enrollment_fixture,false,false,false,false,unknown_key_id,true
invalid-missing-firmware-identity,false,false,deployment_root_enrollment_fixture,false,false,false,false,missing_collector_firmware_identity,true
invalid-stale-firmware-attestation,false,false,deployment_root_enrollment_fixture,false,false,false,false,stale_firmware_attestation,true
invalid-duplicate-collector-different-operator,false,false,deployment_root_enrollment_fixture,false,false,false,false,duplicate_collector_id_different_operator,true
invalid-key-rotation-gap,false,false,deployment_root_enrollment_fixture,false,false,false,false,key_rotation_gap,true
invalid-stale-enrollment-window,false,false,deployment_root_enrollment_fixture,false,false,false,false,stale_enrollment_window,true
invalid-topology-id-mismatch,false,false,deployment_root_enrollment_fixture,false,false,false,false,topology_id_mismatch,true
invalid-topology-drift,false,false,deployment_root_enrollment_fixture,false,false,false,false,topology_drift,true
invalid-schema-version-mismatch,false,false,deployment_root_enrollment_fixture,false,false,false,false,schema_version_mismatch,true
invalid-measurement-run-id-mismatch,false,false,deployment_root_enrollment_fixture,false,false,false,false,measurement_run_id_mismatch,true
invalid-bundle-id-mismatch,false,false,deployment_root_enrollment_fixture,false,false,false,false,bundle_id_mismatch,true
invalid-missing-counter-source-binding,false,false,deployment_root_enrollment_fixture,false,false,false,false,missing_counter_source_binding,true
invalid-missing-tenant-security-binding,false,false,deployment_root_enrollment_fixture,false,false,false,false,missing_tenant_security_binding,true
invalid-replayed-enrollment-id,false,false,deployment_root_enrollment_fixture,false,false,false,false,replayed_enrollment_id,true
invalid-fixture-attempted-production-root,false,false,production_target,false,false,false,false,fixture_attempted_production_root,true
