bundle_id,candidate_source,evidence_label,replay_state,first_failed_gate,blocked_reason,threshold_replay_attempted,readiness_update_allowed,production_calibrated,production_ready,claim_credit_allowed,claim_support_candidate,source_id
no-real-production-target-bundle,data/production_target_bundle,,no_real_telemetry_available,input_discovery,no_production_target_bundle_found,false,false,false,false,false,false,
negative-control-synthetic_production_fixture,data/production_dc12_threshold_replay.csv,synthetic_production_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-dc001-rag-b
negative-control-host_local_proxy,data/production_dc12_threshold_replay.csv,host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,invalid-host-proxy-mislabeled
negative-control-production_intake_fixture,data/evidence_gatechain_replay_results.csv,production_intake_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,invalid-fixture-evidence-production-ingestion
negative-control-host_local_proxy,data/evidence_gatechain_replay_results.csv,host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,invalid-proxy-evidence-threshold-credit
negative-control-operator_trust_policy_fixture,data/evidence_gatechain_replay_results.csv,operator_trust_policy_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-current-fixture-quarantined
negative-control-synthetic_production_fixture,data/evidence_gatechain_replay_results.csv,synthetic_production_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-synthetic-production-shaped-quarantined
negative-control-uncertainty_fixture,data/uncertainty_valid_fixture.csv,uncertainty_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-confidence-qualified-fixture
negative-control-uncertainty_fixture,data/uncertainty_invalid_fixtures.csv,uncertainty_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,invalid-missing-variance-noise-model
negative-control-causal_fixture,data/causal_valid_fixture.csv,causal_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-causally-admissible-fixture
negative-control-causal_fixture,data/causal_invalid_fixtures.csv,causal_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,invalid-missing-option-a-control
negative-control-production_intake_fixture,data/production_intake_admission_results.csv,production_intake_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-intake-bundle
negative-control-test_attestation_fixture,data/production_attestation_results.csv,test_attestation_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-test-attestation
negative-control-operator_trust_policy_fixture,data/operator_trust_policy_results.csv,operator_trust_policy_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,complete-kms-policy-fixture
negative-control-adapter_conformance_fixture,data/adapter_conformance_results.csv,adapter_conformance_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,valid-conformance-profile
negative-control-host_local_proxy,data/dc12_claim_update_matrix.csv,host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,CL-012
negative-control-synthetic_enforcement_plus_host_local_proxy,data/dc12_claim_update_matrix.csv,synthetic_enforcement_plus_host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false,false,SECURITY-GATE-ENERGY-001
