case_id,redaction_admissible,join_survival_fraction,redaction_status,blocked_reason,over_redaction_is_threshold_miss,dc001_dc002_replay_allowed
valid-minimal-redaction-fixture,true,1.000,redaction_admissible,,false,true
invalid-unknown-source-fixture,false,1.000,replay_nonidentifiable,unknown_source_fixture_id,false,false
invalid-missing-source-fixture,false,1.000,replay_nonidentifiable,missing_source_fixture_id,false,false
invalid-unsupported-evidence-label,false,1.000,replay_nonidentifiable,unsupported_evidence_label,false,false
invalid-missing-evidence-label,false,1.000,replay_nonidentifiable,unsupported_evidence_label,false,false
invalid-empty-redaction-policy,false,0.636,replay_nonidentifiable,missing_tenant_pseudonym,false,false
invalid-all-fields-raw,false,1.000,privacy_leakage,raw_tenant_identifier_leaked,false,false
invalid-all-fields-suppressed,false,0.273,replay_nonidentifiable,missing_tenant_pseudonym,false,false
invalid-missing-tenant-pseudonym,false,0.909,replay_nonidentifiable,missing_tenant_pseudonym,false,false
invalid-unstable-object-pseudonym,false,0.909,replay_nonidentifiable,unstable_object_pseudonym_across_intervals,false,false
invalid-removed-workload-label,false,0.909,replay_nonidentifiable,removed_workload_label,false,false
invalid-topology-overcoarsened,false,1.000,replay_nonidentifiable,topology_coarsened_past_threshold_replay,false,false
invalid-suppressed-security-context,false,0.909,replay_nonidentifiable,suppressed_security_context,false,false
invalid-removed-noise-metadata,false,0.909,replay_nonidentifiable,removed_measurement_noise_metadata,false,false
invalid-redacted-clock-domain,false,0.909,replay_nonidentifiable,redacted_clock_domain,false,false
invalid-raw-tenant-identifier,false,1.000,privacy_leakage,raw_tenant_identifier_leaked,false,false
invalid-raw-tool-output-uri,false,1.000,privacy_leakage,raw_tool_output_uri_leaked,false,false
invalid-join-key-collision,false,0.727,replay_nonidentifiable,irreversible_join_key_collision,false,false
invalid-negative-join-key-collision,false,0.818,replay_nonidentifiable,negative_join_key_collision_count,false,false
invalid-nonnumeric-join-key-collision,false,0.818,replay_nonidentifiable,invalid_join_key_collision_count,false,false
invalid-fixture-attempted-production-calibration,false,1.000,replay_nonidentifiable,fixture_attempted_production_calibration,false,false
