workload_class,ablation,runtime_architecture_option,baseline_architecture_option,changed_from_baseline,object_runtime_value,trajectory_fabric_value,option_b_net_value,option_c_net_value,interpretation,evidence_label
RAG,baseline,B_memory_object_aware_runtime,B_memory_object_aware_runtime,false,12.8,3.6,10.8,-0.4,unaltered_registry_signals,synthetic
RAG,hide_provenance_reuse,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,true,0.0,3.6,-2.0,-0.4,hidden_fields_collapse_B_memory_object_aware_runtime_to_A_conventional_request_model_kv_serving,synthetic
RAG,hide_branch_verifier_durable,B_memory_object_aware_runtime,B_memory_object_aware_runtime,false,12.8,0.0,10.8,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
RAG,hide_all_memory_causal_fields,A_conventional_request_model_kv_serving,B_memory_object_aware_runtime,true,0.0,0.0,-2.0,-4.0,hidden_fields_collapse_B_memory_object_aware_runtime_to_A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,baseline,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,unaltered_registry_signals,synthetic
batch summarization/offline inference control,hide_provenance_reuse,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
batch summarization/offline inference control,hide_branch_verifier_durable,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
batch summarization/offline inference control,hide_all_memory_causal_fields,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
code-agent loop,baseline,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,false,33.8,33.0,31.8,29.0,unaltered_registry_signals,synthetic
code-agent loop,hide_provenance_reuse,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,false,0.0,33.0,-2.0,29.0,hidden_fields_not_causal_for_this_boundary,synthetic
code-agent loop,hide_branch_verifier_durable,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,true,33.8,0.0,31.8,-4.0,hidden_fields_collapse_C_trajectory_dag_memory_fabric_to_B_memory_object_aware_runtime,synthetic
code-agent loop,hide_all_memory_causal_fields,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,true,0.0,0.0,-2.0,-4.0,hidden_fields_collapse_C_trajectory_dag_memory_fabric_to_A_conventional_request_model_kv_serving,synthetic
multi-agent branch/merge,baseline,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,false,52.0,52.8,50.0,48.8,unaltered_registry_signals,synthetic
multi-agent branch/merge,hide_provenance_reuse,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,false,0.0,52.8,-2.0,48.8,hidden_fields_not_causal_for_this_boundary,synthetic
multi-agent branch/merge,hide_branch_verifier_durable,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,true,52.0,0.0,50.0,-4.0,hidden_fields_collapse_C_trajectory_dag_memory_fabric_to_B_memory_object_aware_runtime,synthetic
multi-agent branch/merge,hide_all_memory_causal_fields,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,true,0.0,0.0,-2.0,-4.0,hidden_fields_collapse_C_trajectory_dag_memory_fabric_to_A_conventional_request_model_kv_serving,synthetic
single-turn chat control,baseline,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,unaltered_registry_signals,synthetic
single-turn chat control,hide_provenance_reuse,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
single-turn chat control,hide_branch_verifier_durable,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
single-turn chat control,hide_all_memory_causal_fields,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,false,0.0,0.0,-2.0,-4.0,hidden_fields_not_causal_for_this_boundary,synthetic
verification-heavy,baseline,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,false,32.6,37.8,30.6,33.8,unaltered_registry_signals,synthetic
verification-heavy,hide_provenance_reuse,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,false,0.0,37.8,-2.0,33.8,hidden_fields_not_causal_for_this_boundary,synthetic
verification-heavy,hide_branch_verifier_durable,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,true,32.6,0.0,30.6,-4.0,hidden_fields_collapse_C_trajectory_dag_memory_fabric_to_B_memory_object_aware_runtime,synthetic
verification-heavy,hide_all_memory_causal_fields,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,true,0.0,0.0,-2.0,-4.0,hidden_fields_collapse_C_trajectory_dag_memory_fabric_to_A_conventional_request_model_kv_serving,synthetic
