run_id,workload_class,time_step,event_type,object_class,object_id,size_units,reuse_probability,branch_fanout,branch_survival,verifier_delay,durability_horizon,correctness_sensitive,recompute_cost,loss_cost
run-2026-05-11T121649Z,single-turn chat control,0,materialize,weights,sin-wei-0,11520.0,0.1,1,0.0,0,0,0,1.5,0
run-2026-05-11T121649Z,single-turn chat control,1,materialize,KV cache,sin-kv_-0,3932.16,0.05,1,0.0,0,0,0,1.0,0
run-2026-05-11T121649Z,single-turn chat control,2,materialize,prefix cache,sin-pre-0,768.0,0.1,1,0.0,0,0,0,1.2,0
run-2026-05-11T121649Z,single-turn chat control,3,materialize,weights,sin-wei-1,12000.0,0.12,1,0.0,0,0,0,1.5,0
run-2026-05-11T121649Z,single-turn chat control,4,materialize,KV cache,sin-kv_-1,4096.0,0.07,1,0.0,0,0,0,1.0,0
run-2026-05-11T121649Z,single-turn chat control,5,materialize,prefix cache,sin-pre-1,800.0,0.12,1,0.0,0,0,0,1.2,0
run-2026-05-11T121649Z,single-turn chat control,6,materialize,weights,sin-wei-2,12480.0,0.1,1,0.0,0,0,0,1.5,0
run-2026-05-11T121649Z,single-turn chat control,7,materialize,KV cache,sin-kv_-2,4259.84,0.05,1,0.0,0,0,0,1.0,0
run-2026-05-11T121649Z,single-turn chat control,8,materialize,prefix cache,sin-pre-2,832.0,0.1,1,0.0,0,0,0,1.2,0
run-2026-05-11T121649Z,single-turn chat control,9,materialize,weights,sin-wei-3,11520.0,0.12,1,0.0,0,0,0,1.5,0
run-2026-05-11T121649Z,single-turn chat control,10,materialize,KV cache,sin-kv_-3,3932.16,0.07,1,0.0,0,0,0,1.0,0
run-2026-05-11T121649Z,single-turn chat control,11,materialize,prefix cache,sin-pre-3,768.0,0.12,1,0.0,0,0,0,1.2,0
run-2026-05-11T121649Z,single-turn chat control,12,materialize,weights,sin-wei-4,12000.0,0.1,1,0.0,0,0,0,1.5,0
run-2026-05-11T121649Z,single-turn chat control,13,materialize,KV cache,sin-kv_-4,4096.0,0.05,1,0.0,0,0,0,1.0,0
run-2026-05-11T121649Z,single-turn chat control,14,materialize,prefix cache,sin-pre-4,800.0,0.1,1,0.0,0,0,0,1.2,0
run-2026-05-11T121649Z,single-turn chat control,15,materialize,weights,sin-wei-5,12480.0,0.12,1,0.0,0,0,0,1.5,0
run-2026-05-11T121649Z,single-turn chat control,16,materialize,KV cache,sin-kv_-5,4259.84,0.07,1,0.0,0,0,0,1.0,0
run-2026-05-11T121649Z,single-turn chat control,17,materialize,prefix cache,sin-pre-5,832.0,0.12,1,0.0,0,0,0,1.2,0
run-2026-05-11T121649Z,batch summarization/offline inference control,18,materialize,weights,bat-wei-0,11520.0,0.1,1,0.0,0,0,0,1.0,0
