case_id,timing_admissible,existing_gatechain_allowed,measurement_quality_precondition_only,production_calibrated,production_ready,claim_credit_allowed,boundary_reason
valid-timebase-complete-fixture,true,false,true,false,false,false,timing_quality_precondition_only
invalid-unknown-source-fixture,false,false,true,false,false,false,unknown_source_fixture_id
invalid-measurement-run-id-mismatch,false,false,true,false,false,false,measurement_run_id_mismatch
invalid-bundle-id-mismatch,false,false,true,false,false,false,bundle_id_mismatch
invalid-collector-id-mismatch,false,false,true,false,false,false,collector_id_mismatch
invalid-schema-version-mismatch,false,false,true,false,false,false,schema_version_mismatch
invalid-missing-clock-domain,false,false,true,false,false,false,missing_clock_domain
invalid-cross-source-skew,false,false,true,false,false,false,cross_source_skew_above_tolerance
invalid-negative-skew,false,false,true,false,false,false,negative_cross_source_skew
invalid-interval-overlap-mismatch,false,false,true,false,false,false,interval_overlap_mismatch
invalid-interval-gap,false,false,true,false,false,false,interval_gap
invalid-inconsistent-sampling-period,false,false,true,false,false,false,inconsistent_sampling_period
invalid-zero-sampling-period,false,false,true,false,false,false,non_positive_sampling_period
invalid-negative-jitter,false,false,true,false,false,false,negative_sampling_jitter
invalid-stale-workload-label,false,false,true,false,false,false,stale_workload_label
invalid-missing-overhead-estimate,false,false,true,false,false,false,missing_collector_overhead_estimate
invalid-overhead-above-budget,false,false,true,false,false,false,observer_overhead_above_budget
invalid-negative-overhead,false,false,true,false,false,false,negative_collector_overhead
invalid-counter-reset-inside-interval,false,false,true,false,false,false,counter_reset_inside_interval
invalid-clock-drift-across-bundle,false,false,true,false,false,false,clock_drift_across_bundle
invalid-negative-clock-drift,false,false,true,false,false,false,negative_clock_drift
invalid-fixture-attempted-production-calibration,false,false,true,false,false,false,fixture_attempted_production_calibration
