case_id,timing_admissible,threshold_crossed_if_valid,threshold_replay_status,blocked_reason,invalid_timing_is_threshold_miss,dc001_dc002_replay_allowed
valid-timebase-complete-fixture,true,true,threshold_passed,,false,true
invalid-unknown-source-fixture,false,false,measurement_invalid,unknown_source_fixture_id,false,false
invalid-measurement-run-id-mismatch,false,true,measurement_invalid,measurement_run_id_mismatch,false,false
invalid-bundle-id-mismatch,false,true,measurement_invalid,bundle_id_mismatch,false,false
invalid-collector-id-mismatch,false,true,measurement_invalid,collector_id_mismatch,false,false
invalid-schema-version-mismatch,false,true,measurement_invalid,schema_version_mismatch,false,false
invalid-missing-clock-domain,false,true,measurement_invalid,missing_clock_domain,false,false
invalid-cross-source-skew,false,true,measurement_invalid,cross_source_skew_above_tolerance,false,false
invalid-negative-skew,false,true,measurement_invalid,negative_cross_source_skew,false,false
invalid-interval-overlap-mismatch,false,true,measurement_invalid,interval_overlap_mismatch,false,false
invalid-interval-gap,false,true,measurement_invalid,interval_gap,false,false
invalid-inconsistent-sampling-period,false,true,measurement_invalid,inconsistent_sampling_period,false,false
invalid-zero-sampling-period,false,true,measurement_invalid,non_positive_sampling_period,false,false
invalid-negative-jitter,false,true,measurement_invalid,negative_sampling_jitter,false,false
invalid-stale-workload-label,false,true,measurement_invalid,stale_workload_label,false,false
invalid-missing-overhead-estimate,false,true,measurement_invalid,missing_collector_overhead_estimate,false,false
invalid-overhead-above-budget,false,true,measurement_invalid,observer_overhead_above_budget,false,false
invalid-negative-overhead,false,true,measurement_invalid,negative_collector_overhead,false,false
invalid-counter-reset-inside-interval,false,true,measurement_invalid,counter_reset_inside_interval,false,false
invalid-clock-drift-across-bundle,false,true,measurement_invalid,clock_drift_across_bundle,false,false
invalid-negative-clock-drift,false,true,measurement_invalid,negative_clock_drift,false,false
invalid-fixture-attempted-production-calibration,false,true,measurement_invalid,fixture_attempted_production_calibration,false,false
