object_id,run_id,workload_class,object_class,access_time,previous_access_time,reuse_distance,evidence_label
single-turn_chat_control:weights:1,single-turn_chat_control,single-turn chat control,weights,13,8,5,synthetic
single-turn_chat_control:weights:1,single-turn_chat_control,single-turn chat control,weights,18,13,5,synthetic
single-turn_chat_control:weights:1,single-turn_chat_control,single-turn chat control,weights,23,18,5,synthetic
single-turn_chat_control:KV_cache:1,single-turn_chat_control,single-turn chat control,KV cache,18,8,10,synthetic
batch_summarization_offline_inference_control:weights:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,weights,13,8,5,synthetic
batch_summarization_offline_inference_control:weights:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,weights,18,13,5,synthetic
batch_summarization_offline_inference_control:weights:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,weights,23,18,5,synthetic
batch_summarization_offline_inference_control:weights:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,weights,28,23,5,synthetic
batch_summarization_offline_inference_control:weights:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,weights,33,28,5,synthetic
batch_summarization_offline_inference_control:weights:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,weights,38,33,5,synthetic
batch_summarization_offline_inference_control:KV_cache:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,KV cache,18,8,10,synthetic
batch_summarization_offline_inference_control:KV_cache:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,KV cache,28,18,10,synthetic
batch_summarization_offline_inference_control:KV_cache:1,batch_summarization_offline_inference_control,batch summarization/offline inference control,KV cache,38,28,10,synthetic
rag:weights:1,rag,RAG,weights,13,8,5,synthetic
rag:weights:1,rag,RAG,weights,18,13,5,synthetic
rag:weights:1,rag,RAG,weights,23,18,5,synthetic
rag:weights:1,rag,RAG,weights,28,23,5,synthetic
rag:weights:1,rag,RAG,weights,33,28,5,synthetic
rag:weights:1,rag,RAG,weights,38,33,5,synthetic
rag:weights:1,rag,RAG,weights,43,38,5,synthetic
rag:weights:1,rag,RAG,weights,48,43,5,synthetic
rag:weights:1,rag,RAG,weights,53,48,5,synthetic
rag:weights:1,rag,RAG,weights,58,53,5,synthetic
rag:KV_cache:1,rag,RAG,KV cache,18,8,10,synthetic
rag:KV_cache:1,rag,RAG,KV cache,28,18,10,synthetic
rag:KV_cache:1,rag,RAG,KV cache,38,28,10,synthetic
rag:KV_cache:1,rag,RAG,KV cache,48,38,10,synthetic
rag:KV_cache:1,rag,RAG,KV cache,58,48,10,synthetic
rag:prefix_cache:1,rag,RAG,prefix cache,33,18,15,synthetic
rag:prefix_cache:1,rag,RAG,prefix cache,48,33,15,synthetic
rag:semantic_cache_entry:1,rag,RAG,semantic cache entry,33,18,15,synthetic
rag:semantic_cache_entry:1,rag,RAG,semantic cache entry,48,33,15,synthetic
rag:retrieved_context:1,rag,RAG,retrieved context,33,18,15,synthetic
rag:retrieved_context:1,rag,RAG,retrieved context,48,33,15,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,13,8,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,18,13,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,23,18,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,28,23,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,33,28,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,38,33,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,43,38,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,48,43,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,53,48,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,58,53,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,63,58,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,68,63,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,73,68,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,78,73,5,synthetic
code-agent_loop:weights:1,code-agent_loop,code-agent loop,weights,83,78,5,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,18,8,10,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,28,18,10,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,38,28,10,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,48,38,10,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,58,48,10,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,68,58,10,synthetic
code-agent_loop:KV_cache:1,code-agent_loop,code-agent loop,KV cache,78,68,10,synthetic
code-agent_loop:prefix_cache:1,code-agent_loop,code-agent loop,prefix cache,33,18,15,synthetic
code-agent_loop:prefix_cache:1,code-agent_loop,code-agent loop,prefix cache,48,33,15,synthetic
code-agent_loop:prefix_cache:1,code-agent_loop,code-agent loop,prefix cache,63,48,15,synthetic
code-agent_loop:prefix_cache:1,code-agent_loop,code-agent loop,prefix cache,78,63,15,synthetic
code-agent_loop:branch_state:1,code-agent_loop,code-agent loop,branch state,48,28,20,synthetic
code-agent_loop:branch_state:1,code-agent_loop,code-agent loop,branch state,68,48,20,synthetic
code-agent_loop:trajectory_log:1,code-agent_loop,code-agent loop,trajectory log,48,28,20,synthetic
