case_id,case_type,source_fixture_id,metric_name,point_estimate,threshold_value,ci_lower,ci_upper,point_estimate_passed,threshold_status,blocked_field,blocked_reason,expected_threshold_status,expected_blocked_reason,expected_reason_matched,readiness_update_allowed,production_calibrated,production_ready,claim_credit_allowed,confidence_precondition_only
valid-confidence-qualified-fixture,valid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,robust_pass,,,robust_pass,,true,false,false,false,false,true
valid-confidence-qualified-fail-fixture,valid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,3.9,5.5,3.1,4.7,false,robust_fail,,,robust_fail,,true,false,false,false,false,true
invalid-missing-variance-noise-model,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,variance,missing_variance,statistical_invalid,missing_variance,true,false,false,false,false,true
invalid-insufficient-sample-count,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistically_indeterminate,sample_count,insufficient_sample_count,statistically_indeterminate,insufficient_sample_count,true,false,false,false,false,true
invalid-ci-crosses-threshold,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,6.1,5.5,4.9,7.3,true,statistically_indeterminate,confidence_interval,confidence_interval_crosses_threshold,statistically_indeterminate,confidence_interval_crosses_threshold,true,false,false,false,false,true
invalid-ci-touches-threshold,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,6.0,5.5,5.5,6.5,true,statistically_indeterminate,confidence_interval,confidence_interval_touches_threshold,statistically_indeterminate,confidence_interval_touches_threshold,true,false,false,false,false,true
invalid-unbounded-p99-latency-ci,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,inf,true,statistical_invalid,ci_upper,unbounded_p99_latency_ci,statistical_invalid,unbounded_p99_latency_ci,true,false,false,false,false,true
invalid-drift-between-windows,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistically_indeterminate,drift_fraction,control_treatment_drift_exceeds_budget,statistically_indeterminate,control_treatment_drift_exceeds_budget,true,false,false,false,false,true
invalid-missing-control-arm,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,control_window_id,missing_control_arm,statistical_invalid,missing_control_arm,true,false,false,false,false,true
invalid-non-independent-repeated-samples,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistically_indeterminate,independent_samples,non_independent_repeated_samples,statistically_indeterminate,non_independent_repeated_samples,true,false,false,false,false,true
invalid-negative-variance,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,variance,negative_variance,statistical_invalid,negative_variance,true,false,false,false,false,true
invalid-nan-metric,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,nan,5.5,6.2,8.6,false,statistical_invalid,point_estimate,nan_metric,statistical_invalid,nan_metric,true,false,false,false,false,true
invalid-missing-noise-model,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,noise_model_id,missing_noise_model,statistical_invalid,missing_noise_model,true,false,false,false,false,true
invalid-zero-samples,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,sample_count,nonpositive_sample_count,statistical_invalid,nonpositive_sample_count,true,false,false,false,false,true
invalid-unknown-source-fixture,invalid_fixture,not-a-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,source_fixture_id,unknown_source_fixture_id,statistical_invalid,unknown_source_fixture_id,true,false,false,false,false,true
invalid-fixture-attempted-production-calibration,invalid_fixture,valid-minimal-redaction-fixture,cxl_p99_latency_delta_ms,7.4,5.5,6.2,8.6,true,statistical_invalid,evidence_label,fixture_attempted_production_calibration,statistical_invalid,fixture_attempted_production_calibration,true,false,false,false,false,true
