grid_id,metric_direction,effect_size,threshold_value,sigma,sample_count,drift_fraction,ci_lower,ci_upper,threshold_status
effect-3.5-sigma-0.2-n-4-drift-0.02,higher_is_better,3.5,5.5,0.2,4,0.02,3.304,3.696,statistically_indeterminate
effect-3.5-sigma-0.2-n-4-drift-0.12,higher_is_better,3.5,5.5,0.2,4,0.12,3.304,3.696,statistically_indeterminate
effect-3.5-sigma-0.2-n-16-drift-0.02,higher_is_better,3.5,5.5,0.2,16,0.02,3.402,3.598,robust_fail
effect-3.5-sigma-0.2-n-16-drift-0.12,higher_is_better,3.5,5.5,0.2,16,0.12,3.402,3.598,statistically_indeterminate
effect-3.5-sigma-0.2-n-64-drift-0.02,higher_is_better,3.5,5.5,0.2,64,0.02,3.451,3.549,robust_fail
effect-3.5-sigma-0.2-n-64-drift-0.12,higher_is_better,3.5,5.5,0.2,64,0.12,3.451,3.549,statistically_indeterminate
effect-3.5-sigma-0.8-n-4-drift-0.02,higher_is_better,3.5,5.5,0.8,4,0.02,2.716,4.284,statistically_indeterminate
effect-3.5-sigma-0.8-n-4-drift-0.12,higher_is_better,3.5,5.5,0.8,4,0.12,2.716,4.284,statistically_indeterminate
effect-3.5-sigma-0.8-n-16-drift-0.02,higher_is_better,3.5,5.5,0.8,16,0.02,3.108,3.892,robust_fail
effect-3.5-sigma-0.8-n-16-drift-0.12,higher_is_better,3.5,5.5,0.8,16,0.12,3.108,3.892,statistically_indeterminate
effect-3.5-sigma-0.8-n-64-drift-0.02,higher_is_better,3.5,5.5,0.8,64,0.02,3.304,3.696,robust_fail
effect-3.5-sigma-0.8-n-64-drift-0.12,higher_is_better,3.5,5.5,0.8,64,0.12,3.304,3.696,statistically_indeterminate
effect-3.5-sigma-1.6-n-4-drift-0.02,higher_is_better,3.5,5.5,1.6,4,0.02,1.932,5.068,statistically_indeterminate
effect-3.5-sigma-1.6-n-4-drift-0.12,higher_is_better,3.5,5.5,1.6,4,0.12,1.932,5.068,statistically_indeterminate
effect-3.5-sigma-1.6-n-16-drift-0.02,higher_is_better,3.5,5.5,1.6,16,0.02,2.716,4.284,robust_fail
effect-3.5-sigma-1.6-n-16-drift-0.12,higher_is_better,3.5,5.5,1.6,16,0.12,2.716,4.284,statistically_indeterminate
effect-3.5-sigma-1.6-n-64-drift-0.02,higher_is_better,3.5,5.5,1.6,64,0.02,3.108,3.892,robust_fail
effect-3.5-sigma-1.6-n-64-drift-0.12,higher_is_better,3.5,5.5,1.6,64,0.12,3.108,3.892,statistically_indeterminate
effect-5.5-sigma-0.2-n-4-drift-0.02,higher_is_better,5.5,5.5,0.2,4,0.02,5.304,5.696,statistically_indeterminate
effect-5.5-sigma-0.2-n-4-drift-0.12,higher_is_better,5.5,5.5,0.2,4,0.12,5.304,5.696,statistically_indeterminate
effect-5.5-sigma-0.2-n-16-drift-0.02,higher_is_better,5.5,5.5,0.2,16,0.02,5.402,5.598,statistically_indeterminate
effect-5.5-sigma-0.2-n-16-drift-0.12,higher_is_better,5.5,5.5,0.2,16,0.12,5.402,5.598,statistically_indeterminate
effect-5.5-sigma-0.2-n-64-drift-0.02,higher_is_better,5.5,5.5,0.2,64,0.02,5.451,5.549,statistically_indeterminate
effect-5.5-sigma-0.2-n-64-drift-0.12,higher_is_better,5.5,5.5,0.2,64,0.12,5.451,5.549,statistically_indeterminate
effect-5.5-sigma-0.8-n-4-drift-0.02,higher_is_better,5.5,5.5,0.8,4,0.02,4.716,6.284,statistically_indeterminate
effect-5.5-sigma-0.8-n-4-drift-0.12,higher_is_better,5.5,5.5,0.8,4,0.12,4.716,6.284,statistically_indeterminate
effect-5.5-sigma-0.8-n-16-drift-0.02,higher_is_better,5.5,5.5,0.8,16,0.02,5.108,5.892,statistically_indeterminate
effect-5.5-sigma-0.8-n-16-drift-0.12,higher_is_better,5.5,5.5,0.8,16,0.12,5.108,5.892,statistically_indeterminate
effect-5.5-sigma-0.8-n-64-drift-0.02,higher_is_better,5.5,5.5,0.8,64,0.02,5.304,5.696,statistically_indeterminate
effect-5.5-sigma-0.8-n-64-drift-0.12,higher_is_better,5.5,5.5,0.8,64,0.12,5.304,5.696,statistically_indeterminate
effect-5.5-sigma-1.6-n-4-drift-0.02,higher_is_better,5.5,5.5,1.6,4,0.02,3.932,7.068,statistically_indeterminate
effect-5.5-sigma-1.6-n-4-drift-0.12,higher_is_better,5.5,5.5,1.6,4,0.12,3.932,7.068,statistically_indeterminate
effect-5.5-sigma-1.6-n-16-drift-0.02,higher_is_better,5.5,5.5,1.6,16,0.02,4.716,6.284,statistically_indeterminate
effect-5.5-sigma-1.6-n-16-drift-0.12,higher_is_better,5.5,5.5,1.6,16,0.12,4.716,6.284,statistically_indeterminate
