strategy,requests_per_day,update_interval_days,software_memory_savings,fallback_frequency,audit_control_scale,utilization,requests_per_update,per_request_pj_equivalent,amortized_fixed_pj_equivalent,total_pj_equivalent,winner,conclusion
software_optimized,0.0,1.0,0.0,0.0,low,0.35,0.0,74632.68942857142,0.0,74632.68942857142,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,low,0.35,0.0,10625.211838928572,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,low,0.35,0.0,9512.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,low,0.35,0.0,162704.72770714285,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,low,0.35,0.0,24810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,low,0.6,0.0,43535.7355,0.0,43535.7355,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,low,0.6,0.0,9141.243705,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,low,0.6,0.0,9512.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,low,0.6,0.0,153842.81443333332,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,low,0.6,0.0,24810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,low,0.85,0.0,30731.107411764704,0.0,30731.107411764704,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,low,0.85,0.0,8530.198002794117,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,low,0.85,0.0,9512.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,low,0.85,0.0,150193.79132058824,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,low,0.85,0.0,24810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,mid,0.35,0.0,77489.83228571428,0.0,77489.83228571428,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,mid,0.35,0.0,12159.497553214285,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,mid,0.35,0.0,10712.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,mid,0.35,0.0,162923.29913571427,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,mid,0.35,0.0,25810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,mid,0.6,0.0,45202.40216666667,0.0,45202.40216666667,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,mid,0.6,0.0,10461.243705,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,mid,0.6,0.0,10712.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,mid,0.6,0.0,154049.4811,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,mid,0.6,0.0,25810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,mid,0.85,0.0,31907.577999999998,0.0,31907.577999999998,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,mid,0.85,0.0,9761.96270867647,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,mid,0.85,0.0,10712.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,mid,0.85,0.0,150395.5560264706,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,mid,0.85,0.0,25810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,high,0.35,0.0,84632.68942857142,0.0,84632.68942857142,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,high,0.35,0.0,16059.140410357142,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,high,0.35,0.0,13762.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,high,0.35,0.0,163524.37056428572,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,high,0.35,0.0,28310.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,high,0.6,0.0,49369.06883333333,0.0,49369.06883333333,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,high,0.6,0.0,13816.243705,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,high,0.6,0.0,13762.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,high,0.6,0.0,154617.81443333332,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,high,0.6,0.0,28310.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.0,high,0.85,0.0,34848.75447058823,0.0,34848.75447058823,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.0,high,0.85,0.0,12892.698002794117,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.0,high,0.85,0.0,13762.343,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.0,high,0.85,0.0,150950.40896764706,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.0,high,0.85,0.0,28310.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.1,low,0.35,0.0,74632.68942857142,0.0,74632.68942857142,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.1,low,0.35,0.0,10625.211838928572,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.1,low,0.35,0.0,16034.632537857142,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.1,low,0.35,0.0,162704.72770714285,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.1,low,0.35,0.0,24810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.1,low,0.6,0.0,43535.7355,0.0,43535.7355,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.1,low,0.6,0.0,9141.243705,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.1,low,0.6,0.0,12924.937145,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.1,low,0.6,0.0,153842.81443333332,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.1,low,0.6,0.0,24810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.1,low,0.85,0.0,30731.107411764704,0.0,30731.107411764704,True,baseline_or_antitarget_preferred
programmable_accelerator,0.0,1.0,0.0,0.1,low,0.85,0.0,8530.198002794117,inf,inf,False,baseline_or_antitarget_preferred
hybrid_safety_filter,0.0,1.0,0.0,0.1,low,0.85,0.0,11644.47433617647,inf,inf,False,baseline_or_antitarget_preferred
fixed_full_dense_antitarget,0.0,1.0,0.0,0.1,low,0.85,0.0,150193.79132058824,inf,inf,False,baseline_or_antitarget_preferred
analog_in_memory_antitarget,0.0,1.0,0.0,0.1,low,0.85,0.0,24810.143,inf,inf,False,baseline_or_antitarget_preferred
software_optimized,0.0,1.0,0.0,0.1,mid,0.35,0.0,77489.83228571428,0.0,77489.83228571428,True,baseline_or_antitarget_preferred
