case_id,features,score,decision,margin,confidence,route,action,reason,physicalized_output_valid,fallback_used,fail_safe,classifier_available,fallback_available,audit_logging_available,observed_policy_version,required_policy_version,classifier_health,drift_status,enforce_mode,audit_request_id
all_zero_bias_allow,0 0 0 0 0 0 0 0,-10,allow,74,74,physicalized_fast_path,use_physicalized_allow,accepted,True,False,False,True,True,True,7,7,healthy,normal,True,proto-all_zero_bias_allow
nominal_block_high_margin,8 -4 5 6 -3 2 4 -1,261,block,197,197,physicalized_fast_path,use_physicalized_block,accepted,True,False,False,True,True,True,7,7,healthy,normal,True,proto-nominal_block_high_margin
nominal_allow_high_margin,-4 6 -3 0 8 -2 -5 3,-250,allow,314,314,physicalized_fast_path,use_physicalized_allow,accepted,True,False,False,True,True,True,7,7,healthy,normal,True,proto-nominal_allow_high_margin
max_signed_features,127 127 127 127 127 127 127 127,1895,block,1831,1831,physicalized_fast_path,use_physicalized_block,accepted,True,False,False,True,True,True,7,7,healthy,normal,True,proto-max_signed_features
min_signed_features,-128 -128 -128 -128 -128 -128 -128 -128,-1930,allow,1994,1994,physicalized_fast_path,use_physicalized_allow,accepted,True,False,False,True,True,True,7,7,healthy,normal,True,proto-min_signed_features
threshold_equal,6 0 1 0 0 0 0 1,64,block,0,0,programmable_fallback,use_fallback_decision,low_confidence,False,True,False,True,True,True,7,7,healthy,normal,True,proto-threshold_equal
near_threshold_allow,6 0 0 0 0 1 0 1,63,allow,1,1,programmable_fallback,use_fallback_decision,low_confidence,False,True,False,True,True,True,7,7,healthy,normal,True,proto-near_threshold_allow
near_threshold_block,6 0 0 0 0 0 1 1,65,block,1,1,programmable_fallback,use_fallback_decision,low_confidence,False,True,False,True,True,True,7,7,healthy,normal,True,proto-near_threshold_block
stale_version_high_confidence,8 -4 5 6 -3 2 4 -1,261,block,197,197,programmable_fallback,use_fallback_decision,stale_policy_version,False,True,False,True,True,True,6,7,healthy,normal,True,proto-stale_version_high_confidence
failed_health_high_confidence,8 -4 5 6 -3 2 4 -1,261,block,197,197,programmable_fallback,use_fallback_decision,health_check_failed,False,True,False,True,True,True,7,7,failed,normal,True,proto-failed_health_high_confidence
drift_alarm_high_confidence,8 -4 5 6 -3 2 4 -1,261,block,197,197,programmable_fallback,use_fallback_decision,drift_alarm,False,True,False,True,True,True,7,7,healthy,alarm,True,proto-drift_alarm_high_confidence
host_forced_fallback,8 -4 5 6 -3 2 4 -1,261,block,197,197,programmable_fallback,use_fallback_decision,host_forced_fallback,False,True,False,True,True,True,7,7,healthy,normal,True,proto-host_forced_fallback
audit_logging_failure,8 -4 5 6 -3 2 4 -1,261,block,197,197,programmable_fallback,use_fallback_decision,audit_logging_failure,False,True,False,True,True,False,7,7,healthy,normal,True,proto-audit_logging_failure
fallback_unavailable_valid_fast_path,8 -4 5 6 -3 2 4 -1,261,block,197,197,physicalized_fast_path,use_physicalized_block,accepted,True,False,False,True,False,True,7,7,healthy,normal,True,proto-fallback_unavailable_valid_fast_path
classifier_and_fallback_unavailable,0 0 0 0 0 0 0 0,-10,allow,74,74,fail_safe,fail_closed_block,classifier_unavailable,False,False,True,False,False,True,7,7,failed,normal,True,proto-classifier_and_fallback_unavailable
monitor_mode_unavailable,0 0 0 0 0 0 0 0,-10,allow,74,74,fail_safe,fail_safe_escalate,classifier_unavailable,False,False,True,False,False,True,7,7,failed,normal,False,proto-monitor_mode_unavailable
