scenario_id,current_winner,current_best_baseline,hybrid_daily_cost_pj_equivalent,best_baseline_daily_cost_pj_equivalent,hybrid_margin_to_best_baseline_pj_equivalent_per_day,required_hybrid_daily_reduction_to_tie_pj_equivalent_per_day,required_hybrid_percent_reduction_to_tie,required_best_baseline_daily_degradation_to_tie_pj_equivalent_per_day,required_accepted_fast_path_multiplier_to_tie,maximum_fallback_frequency_for_reopen,maximum_audit_control_multiplier_for_reopen,minimum_utilization_for_reopen,reopen_class,evidence_status,threshold_unit,trace_contract_requirement
high_volume_stable_moderation,programmable_accelerator,programmable_accelerator,9650260720.03919,8178811874.414918,1471448845.624272,1471448845.624272,0.152478,1471448845.624272,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
bursty_consumer_traffic,programmable_accelerator,programmable_accelerator,9923060962.428623,7437975610.401221,2485085352.027402,2485085352.027402,0.250435,2485085352.027402,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
low_volume_enterprise_deployment,programmable_accelerator,programmable_accelerator,1447716.84824,1127078.146667,320638.701573,320638.701573,0.221479,320638.701573,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
high_near_threshold_adversarial,programmable_accelerator,programmable_accelerator,1763649399.296861,966196801.474286,797452597.822575,797452597.822575,0.452161,797452597.822575,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
frequent_policy_update_regime,programmable_accelerator,programmable_accelerator,1203681257.347464,878299881.81871,325381375.528754,325381375.528754,0.270322,325381375.528754,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
audit_heavy_regulated_deployment,programmable_accelerator,programmable_accelerator,2288617823.822966,1782995196.355511,505622627.467455,505622627.467455,0.220929,505622627.467455,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
fallback_degraded_outage_regime,programmable_accelerator,programmable_accelerator,3565653365.075765,2156170043.074286,1409483322.001479,1409483322.001479,0.395295,1409483322.001479,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
multi_tenant_underutilized_deployment,programmable_accelerator,programmable_accelerator,1040398265.846712,789895007.47768,250503258.369032,250503258.369032,0.240776,250503258.369032,not_finite_exceeds_fallback_pool,not_finite_requires_negative_fallback,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,finite_threshold,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
zero_invocation_control,optimized_software_runtime,optimized_software_runtime,42000000001333.336,50.0,42000000001283.336,42000000001283.336,1.0,42000000001283.336,not_finite_no_accepted_fast_path_volume,not_finite_no_volume,not_derivable_no_hybrid_audit_excess,not_derivable_no_fixed_utilization_term,unreopenable_zero_volume,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
fallback_all_control,programmable_accelerator,programmable_accelerator,1797445822.673849,849408642.869992,948037179.803857,948037179.803857,0.527436,948037179.803857,not_finite_no_accepted_fast_path_volume,not_finite_no_volume,not_derivable_no_hybrid_audit_excess,not_finite_fixed_cost_elimination_insufficient,unreopenable_all_fallback,modeled_proxy_not_measured_production,pJ_equivalent/day for daily costs; fraction for percent/fallback/utilization; multiplier for multiplier fields,"valid_reopen_candidate from M-TRACE-1 with measured hybrid and accelerator energy, measured baselines, nonzero accepted fast-path volume, audit logging, health/drift gates, and production or shadow-production environment"
