case_id,scenario_id,source_actuality,delta_mean,sigma_delta,ucb_alpha,confidence_level,z_alpha,point_crossing,statistically_durable,package_gates_pass,measured_terms,admissible_ingestion_path,actual_reopen_candidate,classification,expected_classification,status_matches_expected,blocking_reasons
point_crossing_wide_uncertainty,high_volume_stable_moderation,actual_measured_candidate,-20.000000,52.392748,66.186070,0.95,1.645,True,False,True,True,True,False,point_crossing_not_statistically_durable,point_crossing_not_statistically_durable,True,ucb_alpha_not_below_zero
synthetic_large_margin_low_uncertainty,high_volume_stable_moderation,synthetic_control,-240.000000,14.764823,-215.711866,0.95,1.645,True,True,True,True,True,False,statistically_durable_nonactual_control,statistically_durable_nonactual_control,True,source_actuality=synthetic_control
baseline_favored_positive_delta,bursty_consumer_traffic,actual_measured_candidate,60.000000,26.608269,103.770603,0.95,1.645,False,False,True,True,True,False,baseline_favored,baseline_favored,True,delta_mean_nonnegative
inconclusive_near_tie,audit_heavy_regulated_deployment,actual_measured_candidate,4.000000,15.572412,29.616617,0.95,1.645,False,False,True,True,True,False,inconclusive_overlap,inconclusive_overlap,True,delta_mean_nonnegative
missing_baseline_uncertainty,low_volume_enterprise_deployment,actual_measured_candidate,,,,0.95,1.645,False,False,true,true,true,False,blocked_missing_uncertainty_terms,blocked_missing_uncertainty_terms,True,missing:sigma_baseline
template_non_actual_source,high_volume_stable_moderation,template_dryrun,-150.000000,25.690465,-107.739185,0.95,1.645,True,True,False,False,False,False,blocked_non_actual_source,blocked_non_actual_source,True,source_actuality=template_dryrun|package_gates_pass=false|measured_terms=false|admissible_ingestion_path=false
zero_volume_control,zero_invocation_control,actual_measured_candidate,,,,0.95,1.645,False,False,true,true,true,False,blocked_zero_volume,blocked_zero_volume,True,zero_request_volume
all_fallback_control,fallback_all_control,actual_measured_candidate,,,,0.95,1.645,False,False,true,true,true,False,blocked_all_fallback,blocked_all_fallback,True,no_accepted_fast_path_volume
correlated_shared_overhead_cancels_partially,audit_heavy_regulated_deployment,synthetic_control,-100.000000,16.852300,-72.277967,0.95,1.645,True,True,True,True,True,False,statistically_durable_nonactual_control,statistically_durable_nonactual_control,True,source_actuality=synthetic_control
high_correlation_without_shared_instrumentation,high_volume_stable_moderation,actual_measured_candidate,,,,0.95,1.645,False,False,true,true,true,False,blocked_missing_uncertainty_terms,blocked_missing_uncertainty_terms,True,missing:shared_instrumentation_attestation_for_high_rho
negative_margin_but_guardrail_missing,frequent_policy_update_regime,actual_measured_candidate,,,,0.95,1.645,False,False,true,true,true,False,blocked_missing_uncertainty_terms,blocked_missing_uncertainty_terms,True,missing:guardrail_telemetry_status
