case_id,target_class,regime,best_winning_strategy,current_measured_evidence,current_superiority_claim,label,request_volume_per_day,update_interval_days,utilization,fallback_rate,software_runtime_savings,programmable_accelerator_efficiency,physicalized_per_request_savings,optimized_software_total,programmable_accelerator_total,physicalized_total,best_programmable_baseline_total,margin_vs_best_programmable,minimum_physicalized_savings_to_tie,maximum_allowable_update_frequency_per_day,minimum_utilization_needed,blocker_class,status_matches_expected
safety_filter__calibrated,safety_filter,calibrated,programmable_accelerator,False,False,best_programmable_baseline,8000000.0,90.0,0.62,0.14,0.42,0.34,0.06,4640001.666667,2729681.863799,2924234.379928,2729681.863799,194552.516129,0.143171,no_finite_tie,no_finite_tie,fixed_update_integration_cost,True
safety_filter__favorable_plausible,safety_filter,favorable_plausible,physicalized_target,False,False,physicalized_plausible_win,24000000.0,180.0,0.84,0.05,0.28,0.4,0.55,17280000.833333,9607145.079365,5007422.222222,9607145.079365,-4599722.857143,0.045644,1149.936270,0.006343,assumption_sensitive,True
safety_filter__extreme_counterfactual,safety_filter,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,90000000.0,720.0,0.96,0.0,0.1,0.6,0.82,81000000.208333,54006250.555556,9730355.555556,54006250.555556,-44275895.0,0.000076,11068.975139,0.000190,counterfactual_label_required,True
embedding_lookup_or_static_table__calibrated,embedding_lookup_or_static_table,calibrated,programmable_accelerator,False,False,best_programmable_baseline,8000000.0,120.0,0.62,0.14,0.42,0.34,0.04,6264001.25,3681680.752688,4019625.7,3681680.752688,337944.947312,0.147015,no_finite_tie,no_finite_tie,fixed_update_integration_cost,True
embedding_lookup_or_static_table__favorable_plausible,embedding_lookup_or_static_table,favorable_plausible,physicalized_target,False,False,physicalized_plausible_win,24000000.0,240.0,0.84,0.05,0.28,0.4,0.5,23328000.625,12967144.52381,7380147.916667,12967144.52381,-5586996.607143,0.046215,744.937048,0.007697,assumption_sensitive,True
embedding_lookup_or_static_table__extreme_counterfactual,embedding_lookup_or_static_table,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,90000000.0,960.0,0.96,0.0,0.1,0.6,0.84,109350000.15625,72906250.416667,11679124.479167,72906250.416667,-61227125.9375,0.000122,8163.617833,0.000202,counterfactual_label_required,True
fixed_feature_extractor__calibrated,fixed_feature_extractor,calibrated,programmable_accelerator,False,False,best_programmable_baseline,8000000.0,90.0,0.62,0.14,0.42,0.34,0.05,5336001.666667,3137681.863799,3401397.899642,3137681.863799,263716.035842,0.148033,no_finite_tie,no_finite_tie,fixed_update_integration_cost,True
fixed_feature_extractor__favorable_plausible,fixed_feature_extractor,favorable_plausible,physicalized_target,False,False,physicalized_plausible_win,24000000.0,180.0,0.84,0.05,0.28,0.4,0.52,19872000.833333,11047145.079365,6079209.444444,11047145.079365,-4967935.634921,0.046322,764.303346,0.007679,assumption_sensitive,True
fixed_feature_extractor__extreme_counterfactual,fixed_feature_extractor,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,90000000.0,720.0,0.96,0.0,0.1,0.6,0.86,93150000.208333,62106250.555556,8707467.361111,62106250.555556,-53398783.194444,0.000116,8215.198803,0.000206,counterfactual_label_required,True
small_keyword_or_policy_classifier__calibrated,small_keyword_or_policy_classifier,calibrated,programmable_accelerator,False,False,best_programmable_baseline,8000000.0,180.0,0.62,0.14,0.42,0.34,0.08,3619200.833333,2131279.641577,2236475.876989,2131279.641577,105196.235412,0.137655,no_finite_tie,no_finite_tie,fixed_update_integration_cost,True
small_keyword_or_policy_classifier__favorable_plausible,small_keyword_or_policy_classifier,favorable_plausible,physicalized_target,False,False,physicalized_plausible_win,24000000.0,360.0,0.84,0.05,0.28,0.4,0.58,13478400.416667,7495143.968254,3688273.666667,7495143.968254,-3806870.301587,0.044846,1268.959545,0.005117,assumption_sensitive,True
