family,L,template_count,weight_l1,coefficient_order,aggregate_coefficient,per_template_bound_proxy,aggregate_bound_proxy,notes
single_template_path,2,1,1,1,-2,4,4,one tame path profile; direct per-template control
polynomial_count_path,2,4,4,1,-8,4,16,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,2,4,4,1,-8,4,16,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,2,2,2,1,0,4,8,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,2,4,1,1,-2,4,4,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,2,4,1,1,-2,4,4,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,3,1,1,1,-3,9,9,one tame path profile; direct per-template control
polynomial_count_path,3,9,9,1,-27,9,81,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,3,8,8,1,-24,9,72,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,3,2,2,1,0,9,18,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,3,8,1,1,-3,9,9,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,3,8,8/9,1,-8/3,9,8,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,4,1,1,1,-4,16,16,one tame path profile; direct per-template control
polynomial_count_path,4,16,16,1,-64,16,256,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,4,16,16,1,-64,16,256,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,4,2,2,1,0,16,32,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,4,16,1,1,-4,16,16,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,4,16,1,1,-4,16,16,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,5,1,1,1,-5,25,25,one tame path profile; direct per-template control
polynomial_count_path,5,25,25,1,-125,25,625,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,5,32,32,1,-160,25,800,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,5,2,2,1,0,25,50,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,5,32,1,1,-5,25,25,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,5,32,32/25,1,-32/5,25,32,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,6,1,1,1,-6,36,36,one tame path profile; direct per-template control
polynomial_count_path,6,36,36,1,-216,36,1296,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,6,64,64,1,-384,36,2304,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,6,2,2,1,0,36,72,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,6,64,1,1,-6,36,36,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,6,64,16/9,1,-32/3,36,64,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,7,1,1,1,-7,49,49,one tame path profile; direct per-template control
polynomial_count_path,7,49,49,1,-343,49,2401,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,7,128,128,1,-896,49,6272,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,7,2,2,1,0,49,98,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,7,128,1,1,-7,49,49,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,7,128,128/49,1,-128/7,49,128,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,8,1,1,1,-8,64,64,one tame path profile; direct per-template control
polynomial_count_path,8,64,64,1,-512,64,4096,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,8,256,256,1,-2048,64,16384,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,8,2,2,1,0,64,128,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,8,256,1,1,-8,64,64,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,8,256,4,1,-32,64,256,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,9,1,1,1,-9,81,81,one tame path profile; direct per-template control
polynomial_count_path,9,81,81,1,-729,81,6561,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,9,512,512,1,-4608,81,41472,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,9,2,2,1,0,81,162,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,9,512,1,1,-9,81,81,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,9,512,512/81,1,-512/9,81,512,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
single_template_path,10,1,1,1,-10,100,100,one tame path profile; direct per-template control
polynomial_count_path,10,100,100,1,-1000,100,10000,L^2 positive copies; polynomial count shifts degree by 2
exponential_count_path,10,1024,1024,1,-10240,100,102400,2^L positive copies; per-template bound survives but aggregate grows exponentially
signed_cancelled_pair,10,2,2,1,0,100,200,two identical profiles with weights +1 and -1; cancellation is extra information
rank_decay_toy,10,1024,1,1,-10,100,100,2^L copies with weight 2^-L each; decay offsets family growth
polynomial_decay_toy_s2,10,1024,256/25,1,-512/5,100,1024,2^L copies with only L^-2 decay; polynomial decay does not offset exponential count
