L,variant,weight_scheme,n_power,coefficient_order,num_terms,num_profiles,signed_coefficient_sum,coefficient_absolute_variation,weight_l1,m12_tv_bound_proxy,absolute_variation_bound_proxy,signed_bound_proxy,cancellation_ratio,theorem_bound_ratio,absolute_variation_bound_ratio,zero_av,notes
1,all_conflict_free,weight_exp_decay_theta_0_5,0,1,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,0,3,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,0,4,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,1,1,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,1,2,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,1,3,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_exp_decay_theta_0_5,1,4,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,0,1,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,0,2,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,0,3,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,0,4,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_length_inverse,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,0,1,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,0,2,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,0,3,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,0,4,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,all_conflict_free,weight_unweighted,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,1,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,3,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,4,2,2,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_length_inverse,0,1,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_length_inverse,0,2,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_length_inverse,0,3,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_length_inverse,0,4,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_unweighted,0,1,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_unweighted,0,2,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_unweighted,0,3,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,diagonal_cyclic_only,weight_unweighted,0,4,2,2,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,1,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,3,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,4,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_length_inverse,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_length_inverse,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_length_inverse,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_length_inverse,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_unweighted,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_unweighted,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_unweighted,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,primitive_non_diagonal,weight_unweighted,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,3,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
