kappa,alpha_W,Delta_exponent_d,eta,target_type,target_label,effective_A,sigma,omega,support_valid,endpoint_beating,required_beta,candidate_beta,variance_exponent_candidate,variance_exponent_baseline,mean_square_threshold_exponent,local_window_success,failure_reason
3.0,0.004,0.0,0.0,markov_baseline,baseline A=2k,6.0,0.0,0.0,True,False,-1.0,0.0,1.0,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,coefficient_variation,CV A=2k-2,4.0,0.0,0.0,True,False,-1.0,0.0,1.0,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,coefficient_variation,CV A=2k-4,2.0,0.0,0.0,True,False,-1.0,0.0,1.0,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,direct_small_x,direct sigma=0.25,6.0,0.25,0.0,True,False,-1.0,0.25,0.75,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,direct_small_x,direct sigma=0.75,6.0,0.75,0.0,True,False,-1.0,0.75,0.25,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,direct_small_x,direct A=2k-2 sigma=0.25,4.0,0.25,0.0,True,False,-1.0,0.25,0.75,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,stratified_weighted,stratified A=2k-4 W=q,3.0,0.0,1.0,True,False,-1.0,0.0,1.0,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.0,stratified_weighted,stratified A=2k-4 W=q^-1,1.0,0.0,-1.0,True,False,-1.0,0.0,1.0,1.0,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,markov_baseline,baseline A=2k,6.0,0.0,0.0,True,False,-0.988,0.0,1.012,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,coefficient_variation,CV A=2k-2,4.0,0.0,0.0,True,False,-0.988,0.004,1.008,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,coefficient_variation,CV A=2k-4,2.0,0.0,0.0,True,False,-0.988,0.008,1.004,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,direct_small_x,direct sigma=0.25,6.0,0.25,0.0,True,False,-0.988,0.25,0.762,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,direct_small_x,direct sigma=0.75,6.0,0.75,0.0,True,False,-0.988,0.75,0.262,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,direct_small_x,direct A=2k-2 sigma=0.25,4.0,0.25,0.0,True,False,-0.988,0.254,0.758,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,stratified_weighted,stratified A=2k-4 W=q,3.0,0.0,1.0,True,False,-0.988,0.006,1.006,1.012,2.0,False,not_endpoint_beating
3.0,0.004,0.0,0.002,stratified_weighted,stratified A=2k-4 W=q^-1,1.0,0.0,-1.0,True,False,-0.988,0.01,1.002,1.012,2.0,False,not_endpoint_beating
