kappa,alpha_W,target_type,target_label,rows,endpoint_support_rows,local_window_success_rows,min_required_beta_endpoint_support,median_required_beta_endpoint_support,max_required_beta_endpoint_support,support_invalid_rows,not_endpoint_beating_rows,conditional_success_rows,needs_more_numerator_saving_rows
3.0,0.004,coefficient_variation,CV A=2k-2,144,45,36,-0.952,-0.3799999999999999,1.0,66,33,36,9
3.0,0.004,coefficient_variation,CV A=2k-4,144,45,44,-0.952,-0.3799999999999999,1.0,66,33,44,1
3.0,0.004,direct_small_x,direct A=2k-2 sigma=0.25,144,45,43,-0.952,-0.3799999999999999,1.0,66,33,43,2
3.0,0.004,direct_small_x,direct sigma=0.25,144,45,36,-0.952,-0.3799999999999999,1.0,66,33,36,9
3.0,0.004,direct_small_x,direct sigma=0.75,144,45,43,-0.952,-0.3799999999999999,1.0,66,33,43,2
3.0,0.004,markov_baseline,baseline A=2k,144,45,33,-0.952,-0.3799999999999999,1.0,66,33,33,12
3.0,0.004,stratified_weighted,stratified A=2k-4 W=q,144,45,43,-0.952,-0.3799999999999999,1.0,66,33,43,2
3.0,0.004,stratified_weighted,stratified A=2k-4 W=q^-1,144,45,45,-0.952,-0.3799999999999999,1.0,66,33,45,0
3.0,0.006,coefficient_variation,CV A=2k-2,144,36,28,-0.9359999999999999,-0.3299999999999999,1.0,66,42,28,8
3.0,0.006,coefficient_variation,CV A=2k-4,144,36,35,-0.9359999999999999,-0.3299999999999999,1.0,66,42,35,1
3.0,0.006,direct_small_x,direct A=2k-2 sigma=0.25,144,36,34,-0.9359999999999999,-0.3299999999999999,1.0,66,42,34,2
3.0,0.006,direct_small_x,direct sigma=0.25,144,36,28,-0.9359999999999999,-0.3299999999999999,1.0,66,42,28,8
3.0,0.006,direct_small_x,direct sigma=0.75,144,36,34,-0.9359999999999999,-0.3299999999999999,1.0,66,42,34,2
3.0,0.006,markov_baseline,baseline A=2k,144,36,25,-0.9359999999999999,-0.3299999999999999,1.0,66,42,25,11
3.0,0.006,stratified_weighted,stratified A=2k-4 W=q,144,36,34,-0.9359999999999999,-0.3299999999999999,1.0,66,42,34,2
3.0,0.006,stratified_weighted,stratified A=2k-4 W=q^-1,144,36,36,-0.9359999999999999,-0.3299999999999999,1.0,66,42,36,0
3.0,0.01,coefficient_variation,CV A=2k-2,144,21,15,-0.84,-0.06000000000000005,1.0,66,57,15,6
3.0,0.01,coefficient_variation,CV A=2k-4,144,21,20,-0.84,-0.06000000000000005,1.0,66,57,20,1
3.0,0.01,direct_small_x,direct A=2k-2 sigma=0.25,144,21,19,-0.84,-0.06000000000000005,1.0,66,57,19,2
3.0,0.01,direct_small_x,direct sigma=0.25,144,21,15,-0.84,-0.06000000000000005,1.0,66,57,15,6
3.0,0.01,direct_small_x,direct sigma=0.75,144,21,19,-0.84,-0.06000000000000005,1.0,66,57,19,2
3.0,0.01,markov_baseline,baseline A=2k,144,21,12,-0.84,-0.06000000000000005,1.0,66,57,12,9
3.0,0.01,stratified_weighted,stratified A=2k-4 W=q,144,21,19,-0.84,-0.06000000000000005,1.0,66,57,19,2
3.0,0.01,stratified_weighted,stratified A=2k-4 W=q^-1,144,21,21,-0.84,-0.06000000000000005,1.0,66,57,21,0
5.0,0.004,coefficient_variation,CV A=2k-2,144,45,28,-0.928,0.016000000000000014,2.0,66,33,28,17
