family,L,V,constraint_counts,constraint_total,coefficient_l1_norm_order_leq_8,max_abs_coefficient_order_leq_8,max_abs_derivative_order_leq_8,nearest_singularity_scale,normalized_expression_n,description
single_label_cycle_profile,1,1,1,1,1,1,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,1,2,1,1,2,1,1,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,1,1,1;1,2,1,1,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank4_delocalization_toy_s3,1,1,1;1;1;1,4,1,1,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
single_label_cycle_profile,2,2,2,2,1,1,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,2,3,2,2,3,2,2,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,2,3,2;2,4,9,1,40320,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_deficit_k2,2,2,2;2,4,9,1,40320,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,2,1,2;2,4,45,9,362880,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,8,129,55,2217600,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,2,4,2;2;2;2,8,83,33,1330560,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,3,3,3,3,1,1,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,3,4,3,3,4,3,3,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,3,5,3;3,6,475,250,10080000,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_deficit_k2,3,4,3;3,6,495,254,10241280,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,3,3,3;3,6,1013,511,20603520,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,12,20737,9084,106767360,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,3,8,3;3;3;3,12,16793,12680,511257600,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,4,4,4,4,1,1,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,4,5,4,4,5,4,4,1/4,n^(-1)*(n)_5/((n)_4),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,4,7,4;4,8,4459,3519,141886080,1/6,n^(1)*(n)_7/((n)_4*(n)_4),two length-L labels sharing one vertex
rank2_deficit_k2,4,6,4;4,8,6901,5031,202849920,1/5,n^(2)*(n)_6/((n)_4*(n)_4),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,4,5,4;4,8,12739,8819,355582080,1/4,n^(3)*(n)_5/((n)_4*(n)_4),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,4,13,4;4;4;4,16,4981411,3840165,154835452800,1/12,n^(3)*(n)_13/((n)_4*(n)_4*(n)_4*(n)_4),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,4,12,4;4;4;4,16,2275927,1750563,70582700160,1/11,n^(4)*(n)_12/((n)_4*(n)_4*(n)_4*(n)_4),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,5,5,5,5,1,1,1,,n^(0)*(n)_5/((n)_5),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,5,6,5,5,6,5,5,1/5,n^(-1)*(n)_6/((n)_5),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,5,9,5;5,10,64961,42784,1725050880,1/8,n^(1)*(n)_9/((n)_5*(n)_5),two length-L labels sharing one vertex
rank2_deficit_k2,5,8,5;5,10,15593,6040,223211520,1/7,n^(2)*(n)_8/((n)_5*(n)_5),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,5,7,5;5,10,36153,31401,1266088320,1/6,n^(3)*(n)_7/((n)_5*(n)_5),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,5,17,5;5;5;5,20,354356033,238700224,9624393031680,1/16,n^(3)*(n)_17/((n)_5*(n)_5*(n)_5*(n)_5),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,5,16,5;5;5;5,20,147060273,118733376,4787329720320,1/15,n^(4)*(n)_16/((n)_5*(n)_5*(n)_5*(n)_5),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,6,6,6,6,1,1,1,,n^(0)*(n)_6/((n)_6),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,6,7,6,6,7,6,6,1/6,n^(-1)*(n)_7/((n)_6),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,6,11,6;6,12,384171,340375,13723920000,1/10,n^(1)*(n)_11/((n)_6*(n)_6),two length-L labels sharing one vertex
rank2_deficit_k2,6,10,6;6,12,446521,365375,14731920000,1/9,n^(2)*(n)_10/((n)_6*(n)_6),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,6,9,6;6,12,365403,275281,11099329920,1/8,n^(3)*(n)_9/((n)_6*(n)_6),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,6,21,6;6;6;6,24,17523777171,11047046375,445416909840000,1/20,n^(3)*(n)_21/((n)_6*(n)_6*(n)_6*(n)_6),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,6,20,6;6;6;6,24,7745970751,7238035375,291837586320000,1/19,n^(4)*(n)_20/((n)_6*(n)_6*(n)_6*(n)_6),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,7,7,7,7,1,1,1,,n^(0)*(n)_7/((n)_7),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,7,8,7,7,8,7,7,1/7,n^(-1)*(n)_8/((n)_7),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,7,13,7;7,14,3281731,2579634,104010842880,1/12,n^(1)*(n)_13/((n)_7*(n)_7),two length-L labels sharing one vertex
rank2_deficit_k2,7,12,7;7,14,526927,232494,8479054080,1/11,n^(2)*(n)_12/((n)_7*(n)_7),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,7,11,7;7,14,1342621,1227761,49503323520,1/10,n^(3)*(n)_11/((n)_7*(n)_7),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,7,25,7;7;7;7,28,1707800436433,1447151287320,58349139904742400,1/24,n^(3)*(n)_25/((n)_7*(n)_7*(n)_7*(n)_7),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,7,24,7;7;7;7,28,151042674361,86177767608,3474687589954560,1/23,n^(4)*(n)_24/((n)_7*(n)_7*(n)_7*(n)_7),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,8,8,8,8,1,1,1,,n^(0)*(n)_8/((n)_8),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,8,9,8,8,9,8,8,1/8,n^(-1)*(n)_9/((n)_8),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,8,15,8;8,16,5364577,3301375,133111440000,1/14,n^(1)*(n)_15/((n)_8*(n)_8),two length-L labels sharing one vertex
rank2_deficit_k2,8,14,8;8,16,10119229,9141391,368580885120,1/13,n^(2)*(n)_14/((n)_8*(n)_8),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,8,13,8;8,16,7265765,5936139,239345124480,1/12,n^(3)*(n)_13/((n)_8*(n)_8),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,8,29,8;8;8;8,32,56445377633541,52396435406357,2112624275584314240,1/28,n^(3)*(n)_29/((n)_8*(n)_8*(n)_8*(n)_8),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,8,28,8;8;8;8,32,14949770524389,13467784556205,543021073306185600,1/27,n^(4)*(n)_28/((n)_8*(n)_8*(n)_8*(n)_8),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,9,9,9,9,1,1,1,,n^(0)*(n)_9/((n)_9),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,9,10,9,9,10,9,9,1/9,n^(-1)*(n)_10/((n)_9),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,9,17,9;9,18,78776321,71915264,2899623444480,1/16,n^(1)*(n)_17/((n)_9*(n)_9),two length-L labels sharing one vertex
rank2_deficit_k2,9,16,9;9,18,32884209,25997056,1048201297920,1/15,n^(2)*(n)_16/((n)_9*(n)_9),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,9,15,9;9,18,12891427,11356081,457877185920,1/14,n^(3)*(n)_15/((n)_9*(n)_9),two length-L labels with fixed vertex deficit k=3
