regime,lambda,n,genus,alpha_W,alpha_R,epsilon,density_F_prime,weyl_subtraction_delta_exact,weyl_subtraction_delta_bulk_approx,rigidity_displacement_delta,mean_spacing_proxy,weyl_over_spacing_ratio,rigidity_over_spacing_ratio,edge_linearization_valid,notes
edge,0.25,10000,2,0.006,0.004,0.1,0,5.47420661865,inf,0.419530949719,inf,inf,inf,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
edge,0.25,1000000,2,0.006,0.004,0.1,0,5.14316674463,inf,0.411873646919,inf,inf,inf,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
edge,0.25,100000000,2,0.006,0.004,0.1,0,4.83396575147,inf,0.404356105647,inf,inf,inf,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
edge,0.25,10000000000,2,0.006,0.004,0.1,0,4.54513549623,inf,0.396975774967,inf,inf,inf,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
edge,0.25,1000000000000,2,0.006,0.004,0.1,0,4.27530577255,inf,0.389730150502,inf,inf,inf,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
near_edge,0.250001,10000,2,0.006,0.004,0.1,0.00157079115908,5.47420562346,262.208399273,0.419531956592,0.0318310933385,171.976675927,13.1799417673,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
near_edge,0.250001,1000000,2,0.006,0.004,0.1,0.00157079115908,5.14316574942,255.062492444,0.411874635415,0.000318310933385,16157.6785778,1293.93807192,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
near_edge,0.250001,100000000,2,0.006,0.004,0.1,0.00157079115908,4.83396475624,248.111331415,0.404357076101,3.18310933385e-06,1518629.82048,127032.10405,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
near_edge,0.250001,10000000000,2,0.006,0.004,0.1,0.00157079115908,4.54513450097,241.349608821,0.396976727708,3.18310933385e-08,142789141.819,12471350.6849,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
near_edge,0.250001,1000000000000,2,0.006,0.004,0.1,0.00157079115908,4.27530477726,234.77216194,0.389731085854,3.18310933385e-10,13431221893,1224372288.16,no,"Constants are normalized to one endpoint/rigidity constant; compare exponents and regimes, not theorem constants."
