regime,Lambda,density_F_prime,Delta_exponent,mean_exponent,endpoint_threshold_exponent,variance_model,variance_exponent,chebyshev_pass,beats_endpoint,useful_new_input,parameters
edge,0.25,0,0,1,0.004,poisson_global_V_n,1,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0,1,0.004,poisson_window_V_nDelta,1,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0,1,0.004,mild_gain_beta_0p25_theta_1,0.75,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0,1,0.004,strong_gain_beta_0p75_theta_1,0.25,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0,1,0.004,delta_squared_gain_beta_0p25_theta_2,0.75,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0,1,0.004,pessimistic_global_trace_proxy,1.988,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.002,0.997,0.004,poisson_global_V_n,1,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.002,0.997,0.004,poisson_window_V_nDelta,0.998,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.002,0.997,0.004,mild_gain_beta_0p25_theta_1,0.748,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.002,0.997,0.004,strong_gain_beta_0p75_theta_1,0.248,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.002,0.997,0.004,delta_squared_gain_beta_0p25_theta_2,0.746,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.002,0.997,0.004,pessimistic_global_trace_proxy,1.988,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.004,0.994,0.004,poisson_global_V_n,1,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.004,0.994,0.004,poisson_window_V_nDelta,0.996,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.004,0.994,0.004,mild_gain_beta_0p25_theta_1,0.746,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.004,0.994,0.004,strong_gain_beta_0p75_theta_1,0.246,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.004,0.994,0.004,delta_squared_gain_beta_0p25_theta_2,0.742,true,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.004,0.994,0.004,pessimistic_global_trace_proxy,1.988,false,false,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.006,0.991,0.004,poisson_global_V_n,1,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.006,0.991,0.004,poisson_window_V_nDelta,0.994,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.006,0.991,0.004,mild_gain_beta_0p25_theta_1,0.744,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.006,0.991,0.004,strong_gain_beta_0p75_theta_1,0.244,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.006,0.991,0.004,delta_squared_gain_beta_0p25_theta_2,0.738,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.006,0.991,0.004,pessimistic_global_trace_proxy,1.988,false,true,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.008,0.988,0.004,poisson_global_V_n,1,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.008,0.988,0.004,poisson_window_V_nDelta,0.992,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.008,0.988,0.004,mild_gain_beta_0p25_theta_1,0.742,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.008,0.988,0.004,strong_gain_beta_0p75_theta_1,0.242,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.008,0.988,0.004,delta_squared_gain_beta_0p25_theta_2,0.734,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.008,0.988,0.004,pessimistic_global_trace_proxy,1.988,false,true,false,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.01,0.985,0.004,poisson_global_V_n,1,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
edge,0.25,0,0.01,0.985,0.004,poisson_window_V_nDelta,0.99,true,true,true,alpha_W=0.006; epsilon=0.1; genus=2; constants suppressed
