gamma1_proxy,gamma2_proxy,primitive_exponent_k1,primitive_exponent_k2,length_bin_1,length_bin_2,support_argument_1,support_argument_2,transform_model,support_q,support_valid,geodesic_weight_proxy,primitive_power_multiplicity_proxy,transform_weight_1,transform_weight_2,diagonal_subtraction_status,quotient_control_tag,quotient_identifier_proxy,rank_proxy,cyclic_flag,C_constraints_proxy,V_vertices_proxy,d_C_minus_V,family_growth_proxy,Q_numerator_type,polynomial_variation_proxy,weighted_total_variation_proxy,coverage_by_M4_M12,exact_or_proxy,notes
primitive_length_1,primitive_length_1,1,1,1,1,1,1,compact_support,12.0,True,0.9206735942077923,1.0,1.0,1.0,diagonal_separated,identity/diagonal,identity/diagonal|L1_1|k1_1,rank_zero_diagonal,True,1,1,0,1.0,Q_gamma1^1_gamma2^1,0.0,0.0,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,deterministic/diagonal separated; not a new numerator saving
primitive_length_1,primitive_length_1,1,1,1,1,1,1,paley_wiener_scaled,12.0,True,0.9206735942077923,1.0,0.9930796124903161,0.9930796124903161,diagonal_separated,identity/diagonal,identity/diagonal|L1_1|k1_1,rank_zero_diagonal,True,1,1,0,1.0,Q_gamma1^1_gamma2^1,0.0,0.0,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,deterministic/diagonal separated; not a new numerator saving
primitive_length_1,primitive_length_1,1,1,1,1,1,1,optimistic_decay,12.0,True,0.9206735942077923,1.0,0.8294898178730103,0.8294898178730103,diagonal_separated,identity/diagonal,identity/diagonal|L1_1|k1_1,rank_zero_diagonal,True,1,1,0,1.0,Q_gamma1^1_gamma2^1,0.0,0.0,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,deterministic/diagonal separated; not a new numerator saving
primitive_length_1,primitive_length_1,1,2,1,1,1,2,compact_support,12.0,True,0.40823536465803556,0.5,1.0,1.0,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_2,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^2,1.4,0.2857647552606249,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,2,1,1,1,2,paley_wiener_scaled,12.0,True,0.40823536465803556,0.5,0.9930796124903161,0.9726044771163483,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_2,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^2,1.4,0.27601265498946836,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,2,1,1,1,2,optimistic_decay,12.0,True,0.40823536465803556,0.5,0.8294898178730103,0.6785631183147701,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_2,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^2,1.4,0.1608458923282176,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,3,1,1,1,3,compact_support,12.0,True,0.22531504105099825,0.3333333333333333,1.0,1.0,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_3,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^3,1.4,0.10514701915713251,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,3,1,1,1,3,paley_wiener_scaled,12.0,True,0.22531504105099825,0.3333333333333333,0.9930796124903161,0.9394130628134758,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_3,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^3,1.4,0.09809291177074546,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,3,1,1,1,3,optimistic_decay,12.0,True,0.22531504105099825,0.3333333333333333,0.8294898178730103,0.54744132061185,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_3,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^3,1.4,0.0477469460980928,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,4,1,1,1,4,compact_support,12.0,True,0.1322793363636873,0.25,1.0,1.0,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_4,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^4,1.4,0.04629776772729055,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,4,1,1,1,4,paley_wiener_scaled,12.0,True,0.1322793363636873,0.25,0.9930796124903161,0.8948393168143698,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_4,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^4,1.4,0.04114235767408163,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,1,4,1,1,1,4,optimistic_decay,12.0,True,0.1322793363636873,0.25,0.8294898178730103,0.43556505618107433,non_diagonal_remainder,cyclic,cyclic|L1_1|k1_4,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^1_gamma2^4,1.4,0.016727234360477395,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,1,1,1,2,1,compact_support,12.0,True,0.40823536465803556,0.5,1.0,1.0,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_1,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^1,1.4,0.2857647552606249,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,1,1,1,2,1,paley_wiener_scaled,12.0,True,0.40823536465803556,0.5,0.9726044771163483,0.9930796124903161,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_1,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^1,1.4,0.27601265498946836,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,1,1,1,2,1,optimistic_decay,12.0,True,0.40823536465803556,0.5,0.6785631183147701,0.8294898178730103,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_1,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^1,1.4,0.1608458923282176,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,2,1,1,2,2,compact_support,12.0,True,0.18101541524157763,0.25,1.0,1.0,diagonal_separated,identity/diagonal,identity/diagonal|L1_1|k2_2,rank_zero_diagonal,True,1,1,0,1.0,Q_gamma1^2_gamma2^2,0.0,0.0,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,deterministic/diagonal separated; not a new numerator saving
primitive_length_1,primitive_length_1,2,2,1,1,2,2,paley_wiener_scaled,12.0,True,0.18101541524157763,0.25,0.9726044771163483,0.9726044771163483,diagonal_separated,identity/diagonal,identity/diagonal|L1_1|k2_2,rank_zero_diagonal,True,1,1,0,1.0,Q_gamma1^2_gamma2^2,0.0,0.0,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,deterministic/diagonal separated; not a new numerator saving
primitive_length_1,primitive_length_1,2,2,1,1,2,2,optimistic_decay,12.0,True,0.18101541524157763,0.25,0.6785631183147701,0.6785631183147701,diagonal_separated,identity/diagonal,identity/diagonal|L1_1|k2_2,rank_zero_diagonal,True,1,1,0,1.0,Q_gamma1^2_gamma2^2,0.0,0.0,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,deterministic/diagonal separated; not a new numerator saving
primitive_length_1,primitive_length_1,2,3,1,1,2,3,compact_support,12.0,True,0.09990681662325883,0.16666666666666666,1.0,1.0,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_3,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^3,1.4,0.023311590545427058,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,3,1,1,2,3,paley_wiener_scaled,12.0,True,0.09990681662325883,0.16666666666666666,0.9726044771163483,0.9394130628134758,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_3,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^3,1.4,0.02129927229140704,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,3,1,1,2,3,optimistic_decay,12.0,True,0.09990681662325883,0.16666666666666666,0.6785631183147701,0.54744132061185,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_3,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^3,1.4,0.008659637888239731,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,4,1,1,2,4,compact_support,12.0,True,0.058653906723173596,0.125,1.0,1.0,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_4,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^4,1.4,0.01026443367655538,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,4,1,1,2,4,paley_wiener_scaled,12.0,True,0.058653906723173596,0.125,0.9726044771163483,0.8948393168143698,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_4,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^4,1.4,0.00893339042538308,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
primitive_length_1,primitive_length_1,2,4,1,1,2,4,optimistic_decay,12.0,True,0.058653906723173596,0.125,0.6785631183147701,0.43556505618107433,non_diagonal_remainder,cyclic,cyclic|L1_1|k2_4,rank_one_cyclic,True,2,1,1,1.0,Q_gamma1^2_gamma2^4,1.4,0.0030337394172994343,partial_M4_M12,paper_indices_exact; weights_and_quotient_fields_proxy,cyclic skeleton analogous to earlier toy rows; surface law still not exact
