transform_model,quotient_control_tag,d_C_minus_V,rows,total_weighted_tv_proxy,total_family_growth_proxy,mean_transform_product,M4_certified_rows,unknown_surface_group_rows
compact_support,cyclic,1,164,36.157287856352134,642.7945639057968,1.0,0,0
compact_support,cyclic,2,68,56.32748279639675,705.1058798572006,1.0,0,0
compact_support,cyclic,3,36,74.89579054903993,609.3987919494837,1.0,0,0
compact_support,cyclic,4,12,87.60307277784605,367.7611390687676,1.0,0,0
compact_support,cyclic,5,6,289.1989962535809,1600.8119747096794,1.0,0,0
compact_support,cyclic,6,2,4.318183810755164,113.06659648872035,1.0,0,0
compact_support,identity/diagonal,0,23,0.0,23.0,1.0,0,0
compact_support,rank_two_noncyclic,1,186,175782.47504256625,3365918.2962386743,1.0,0,0
compact_support,unknown_surface_group,2,32,443315.3534565269,2981542.035798397,1.0,0,32
optimistic_decay,cyclic,1,164,7.37991045151124,642.7945639057968,0.1617539426858515,0,0
optimistic_decay,cyclic,2,68,6.055750031629474,705.1058798572006,0.07624378512406424,0,0
optimistic_decay,cyclic,3,36,6.1910647909120655,609.3987919494837,0.037856899127196794,0,0
optimistic_decay,cyclic,4,12,5.531099714355985,367.7611390687676,0.031130551083754232,0,0
optimistic_decay,cyclic,5,6,7.918462105063437,1600.8119747096794,0.021078179804625067,0,0
optimistic_decay,cyclic,6,2,0.04845280244481774,113.06659648872035,0.011220643809589086,0,0
optimistic_decay,identity/diagonal,0,23,0.0,23.0,0.1416767392093552,0,0
optimistic_decay,rank_two_noncyclic,1,186,5484.864062131658,3365918.2962386743,0.05381350370102166,0,0
optimistic_decay,unknown_surface_group,2,32,10681.208313640393,2981542.035798397,0.02277586575320757,0,32
paley_wiener_scaled,cyclic,1,164,25.134190141496116,642.7945639057968,0.6571106525008377,0,0
paley_wiener_scaled,cyclic,2,68,33.74291372544583,705.1058798572006,0.5235110669244425,0,0
paley_wiener_scaled,cyclic,3,36,43.66889468484518,609.3987919494837,0.3950580284816618,0,0
paley_wiener_scaled,cyclic,4,12,49.19586401545437,367.7611390687676,0.3932610476268932,0,0
paley_wiener_scaled,cyclic,5,6,119.48451701533119,1600.8119747096794,0.3629620494411681,0,0
paley_wiener_scaled,cyclic,6,2,1.2371803755053699,113.06659648872035,0.2865047968601901,0,0
paley_wiener_scaled,identity/diagonal,0,23,0.0,23.0,0.559359131114064,0,0
paley_wiener_scaled,rank_two_noncyclic,1,186,71787.02990619822,3365918.2962386743,0.4588059369104378,0,0
paley_wiener_scaled,unknown_surface_group,2,32,172504.30348577068,2981542.035798397,0.33845236923404126,0,32
