transform_model,compatibility,growth_model,rows,m22_support_endpoint_rows,compact_route_obstructed_rows,conditional_decay_rows,contrast_success_rows,contrast_insufficient_rows,dominant_verdict_on_m22_rows
compact_support_only,compatible,geodesic_after_selberg,80,33,33,0,0,0,compact_route_obstructed
compact_support_only,compatible,quotient_family_proxy,80,33,33,0,0,0,compact_route_obstructed
compact_support_only,compatible,reduced_word_family,80,33,33,0,0,0,compact_route_obstructed
noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,80,33,0,0,0,33,contrast_insufficient
noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,80,33,0,0,0,33,contrast_insufficient
noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,80,33,0,0,0,33,contrast_insufficient
smooth_schwartz_scaled,compatible,geodesic_after_selberg,80,33,33,0,0,0,compact_route_obstructed
smooth_schwartz_scaled,compatible,quotient_family_proxy,80,33,33,0,0,0,compact_route_obstructed
smooth_schwartz_scaled,compatible,reduced_word_family,80,33,33,0,0,0,compact_route_obstructed
vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,80,33,0,0,0,0,conditional_not_count_positive
vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,80,33,0,0,0,0,conditional_not_count_positive
vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,80,33,0,0,0,0,conditional_not_count_positive
