d,eta,q_delta_exponent_eta_minus_d,support_valid_eta_ge_d,endpoint_beating_d_gt_alpha_w,transform_model,compatibility,growth_model,growth_rate_per_t,t_endpoint_n_eta,u_endpoint_t_delta,transform_envelope_endpoint,log10_transform_envelope_endpoint,net_log10_endpoint_after_growth,exponential_damping_exponent_if_any,m22_support_and_endpoint_conditions,success_row,verdict,note
0.004,0.004,0,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,1.11686324778,1,1,0,0.242523772776,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,compact_support_only,compatible,reduced_word_family,0.72,1.11686324778,1,1,0,0.349234232797,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,1.11686324778,1,1,0,0.460795168274,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,1.11686324778,1,0.00390625,-2.40823996531,-2.16571619254,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,1.11686324778,1,0.00390625,-2.40823996531,-2.05900573251,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,1.11686324778,1,0.00390625,-2.40823996531,-1.94744479704,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,1.11686324778,1,0.0009765625,-3.01029995664,-2.76777618386,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,1.11686324778,1,0.0009765625,-3.01029995664,-2.66106572384,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,1.11686324778,1,0.0009765625,-3.01029995664,-2.54950478837,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,1.11686324778,1,0.817883490561,-0.0873085581993,0.155215214577,0.004,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,1.11686324778,1,0.817883490561,-0.0873085581993,0.261925674598,0.004,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.004,0,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,1.11686324778,1,0.817883490561,-0.0873085581993,0.373486610075,0.004,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,1.18032063565,1.05681750921,1,0,0.25630336947,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,compact_support_only,compatible,reduced_word_family,0.72,1.18032063565,1.05681750921,1,0,0.369076852037,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,1.18032063565,1.05681750921,1,0,0.486976401993,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,1.18032063565,1.05681750921,0.00312200730138,-2.5055660856,-2.24926271613,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,1.18032063565,1.05681750921,0.00312200730138,-2.5055660856,-2.13648923356,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,1.18032063565,1.05681750921,0.00312200730138,-2.5055660856,-2.0185896836,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,1.18032063565,1.05681750921,0.000824218565948,-3.08395760699,-2.82765423752,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,1.18032063565,1.05681750921,0.000824218565948,-3.08395760699,-2.71488075496,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,1.18032063565,1.05681750921,0.000824218565948,-3.08395760699,-2.596981205,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,1.18032063565,1.05681750921,0.808594507488,-0.0922692130092,0.164034156461,0.006,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,1.18032063565,1.05681750921,0.808594507488,-0.0922692130092,0.276807639028,0.006,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.006,0.002,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,1.18032063565,1.05681750921,0.808594507488,-0.0922692130092,0.394707188984,0.006,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,1.24738351424,1.11686324778,1,0,0.270865888526,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,compact_support_only,compatible,reduced_word_family,0.72,1.24738351424,1.11686324778,1,0,0.390046879478,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,1.24738351424,1.11686324778,1,0,0.5146451882,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,1.24738351424,1.11686324778,0.0024800336679,-2.60554242333,-2.33467653481,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,1.24738351424,1.11686324778,0.0024800336679,-2.60554242333,-2.21549554385,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,1.24738351424,1.11686324778,0.0024800336679,-2.60554242333,-2.09089723513,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,1.24738351424,1.11686324778,0.000690354199147,-3.16092802917,-2.89006214064,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,1.24738351424,1.11686324778,0.000690354199147,-3.16092802917,-2.77088114969,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,1.24738351424,1.11686324778,0.000690354199147,-3.16092802917,-2.64628284097,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,1.24738351424,1.11686324778,0.798892382469,-0.0975117198695,0.173354168657,0.008,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
