regime,architecture,Delta_exponent_d,eta,kappa,Lambda0,support_requirement_eta_min,support_requirement_met,q_exponent,loss_exponent,mean_exponent,variance_exponent_beta_zero,required_beta,chebyshev_pass_beta_zero,beats_endpoint,feasibility_class,notes
bulk,trace,0,0,3,1,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0,3,1,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0,3,4,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0,3,4,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0,3,25,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0,3,25,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0,5,1,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0,5,1,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0,5,4,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0,5,4,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0,5,25,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0,5,25,0,true,0,0,1,1,-1,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0.002,3,1,0,true,0.002,0.012,1,1.012,-0.988,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0.002,3,1,0,true,0.002,0.024,1,1.024,-0.976,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0.002,3,4,0,true,0.002,0.012,1,1.012,-0.988,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0.002,3,4,0,true,0.002,0.024,1,1.024,-0.976,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0.002,3,25,0,true,0.002,0.012,1,1.012,-0.988,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0.002,3,25,0,true,0.002,0.024,1,1.024,-0.976,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0.002,5,1,0,true,0.002,0.02,1,1.02,-0.98,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,pretrace,0,0.002,5,1,0,true,0.002,0.04,1,1.04,-0.96,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
bulk,trace,0,0.002,5,4,0,true,0.002,0.02,1,1.02,-0.98,true,false,outside_current_architecture,fixed Lambda0 exponent model: R <= C Lambda0^(-1/2) q implies q_exponent=eta
