alpha_label,energy_label,classification,envelope_at_n_1e8,radius_at_n_1e8,density_at_n_1e8,decision
theorem1_representative,edge_delta_n_alpha,edge_endpoint_equivalent,60464238.264791556,0.4268107421402643,0.15210809644337234,preserve_as_bookkeeping_corollary
theorem1_representative,near_edge_fixed,rigidity_scale_cluster_bound,36162806.79920822,0.4268107421402643,0.15210809644337234,preserve_as_bookkeeping_corollary
theorem1_representative,bulk_fixed,tautological_or_endpoint_only,383831789.0564663,1.9192563900121689,0.4999948025437013,preserve_as_bookkeeping_corollary
theorem1_representative,high_energy,high_energy_loss_dominated,2254395007.284142,11.271974561755105,0.5,preserve_as_bookkeeping_corollary
edge_weakened_representative,edge_delta_n_alpha,edge_endpoint_equivalent,63820311.98659654,0.44282827314689877,0.15210809644337234,preserve_as_bookkeeping_corollary
edge_weakened_representative,near_edge_fixed,rigidity_scale_cluster_bound,37716775.434596404,0.44282827314689877,0.15210809644337234,preserve_as_bookkeeping_corollary
edge_weakened_representative,bulk_fixed,tautological_or_endpoint_only,398233928.8042954,1.9912830418779235,0.4999948025437013,preserve_as_bookkeeping_corollary
edge_weakened_representative,high_energy,high_energy_loss_dominated,2338998880.498024,11.694993910198713,0.5,preserve_as_bookkeeping_corollary
bounded_loss_hypothetical,edge_delta_n_alpha,hypothetical_comparison_only,682212.5942277662,0.011973892130394322,0.15210809644337234,preserve_as_bookkeeping_corollary
bounded_loss_hypothetical,near_edge_fixed,hypothetical_comparison_only,654338.6792322814,0.011973892130394322,0.15210809644337234,preserve_as_bookkeeping_corollary
bounded_loss_hypothetical,bulk_fixed,hypothetical_comparison_only,10768582.227487938,0.05384346436393911,0.4999948025437013,preserve_as_bookkeeping_corollary
bounded_loss_hypothetical,high_energy,hypothetical_comparison_only,63245556.838598475,0.3162277660168379,0.5,preserve_as_bookkeeping_corollary
