n,alpha_label,lambda_model,alpha_kind,alpha,lambda_power,energy_label,lambda_growth_exponent,lambda,p,n_decay_exponent_fixed_lambda,lp_bound_unit_constant,classification
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,2,0.0,1.0,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,3,0.006666666666666668,0.9549925860214359,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,4,0.01,0.933254300796991,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,6,0.013333333333333336,0.9120108393559097,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,8,0.015,0.9015711376059569,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,12,0.016666666666666666,0.8912509381337455,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,16,0.0175,0.8861352236594998,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,32,0.01875,0.8785166564072717,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,infinity,0.02,0.8709635899560806,direct_theorem2_corollary
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,4.0,2,0.0,1.0,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,4.0,3,0.006666666666666668,1.909985172042872,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,4.0,4,0.01,2.6396417786602493,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,4.0,6,0.013333333333333336,3.6480433574236395,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,4.0,8,0.015,4.2886192460884045,standard_interpolation
1000,direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,4.0,12,0.016666666666666666,5.041676656745949,standard_interpolation
