alpha_label,alpha0,energy_label,lambda_growth_exponent_b,model,source_kind,lambda_power,mass_bound_n_exponent,lambda_power_gap_vs_m28,high_energy_n_gap_vs_m28,claimable_corollary,claimed_improvement_over_m28,classification
representative_alpha0,0.04,fixed_energy,0.0,m28_linf_derived_fixed_patch,proved_from_final_linf,3.0,-0.04,0.0,0.0,False,False,m28_deterministic_mass_bound
representative_alpha0,0.04,fixed_energy,0.0,pretrace_fixed_cutoff_local_mass,extracted_from_4_9,1.0,-0.04,2.0,0.0,True,True,standalone_smoothed_kernel_mass_corollary
representative_alpha0,0.04,fixed_energy,0.0,hypothetical_no_sobolev_loss_reference,comparison_only,1.0,-0.04,2.0,0.0,False,False,comparison_only
representative_alpha0,0.04,mild_growth,0.05,m28_linf_derived_fixed_patch,proved_from_final_linf,3.0,0.11000000000000001,0.0,0.0,False,False,m28_deterministic_mass_bound
representative_alpha0,0.04,mild_growth,0.05,pretrace_fixed_cutoff_local_mass,extracted_from_4_9,1.0,0.010000000000000002,2.0,0.1,True,True,standalone_smoothed_kernel_mass_corollary
representative_alpha0,0.04,mild_growth,0.05,hypothetical_no_sobolev_loss_reference,comparison_only,1.0,0.010000000000000002,2.0,0.1,False,False,comparison_only
representative_alpha0,0.04,high_growth,0.2,m28_linf_derived_fixed_patch,proved_from_final_linf,3.0,0.56,0.0,0.0,False,False,m28_deterministic_mass_bound
representative_alpha0,0.04,high_growth,0.2,pretrace_fixed_cutoff_local_mass,extracted_from_4_9,1.0,0.16,2.0,0.4,True,True,standalone_smoothed_kernel_mass_corollary
representative_alpha0,0.04,high_growth,0.2,hypothetical_no_sobolev_loss_reference,comparison_only,1.0,0.16,2.0,0.4,False,False,comparison_only
small_alpha0_stress,0.012,fixed_energy,0.0,m28_linf_derived_fixed_patch,proved_from_final_linf,3.0,-0.012,0.0,0.0,False,False,m28_deterministic_mass_bound
small_alpha0_stress,0.012,fixed_energy,0.0,pretrace_fixed_cutoff_local_mass,extracted_from_4_9,1.0,-0.012,2.0,0.0,True,True,standalone_smoothed_kernel_mass_corollary
small_alpha0_stress,0.012,fixed_energy,0.0,hypothetical_no_sobolev_loss_reference,comparison_only,1.0,-0.012,2.0,0.0,False,False,comparison_only
small_alpha0_stress,0.012,mild_growth,0.05,m28_linf_derived_fixed_patch,proved_from_final_linf,3.0,0.138,0.0,0.0,False,False,m28_deterministic_mass_bound
small_alpha0_stress,0.012,mild_growth,0.05,pretrace_fixed_cutoff_local_mass,extracted_from_4_9,1.0,0.038000000000000006,2.0,0.1,True,True,standalone_smoothed_kernel_mass_corollary
small_alpha0_stress,0.012,mild_growth,0.05,hypothetical_no_sobolev_loss_reference,comparison_only,1.0,0.038000000000000006,2.0,0.1,False,False,comparison_only
small_alpha0_stress,0.012,high_growth,0.2,m28_linf_derived_fixed_patch,proved_from_final_linf,3.0,0.5880000000000001,0.0,0.0,False,False,m28_deterministic_mass_bound
small_alpha0_stress,0.012,high_growth,0.2,pretrace_fixed_cutoff_local_mass,extracted_from_4_9,1.0,0.188,2.0,0.4000000000000001,True,True,standalone_smoothed_kernel_mass_corollary
small_alpha0_stress,0.012,high_growth,0.2,hypothetical_no_sobolev_loss_reference,comparison_only,1.0,0.188,2.0,0.4000000000000001,False,False,comparison_only
