n,trial,k,normalized_trace,tree_moment,centered_trace,seed
80,0,1,0.04999999999999992,0,0.04999999999999992,20260516
80,0,2,4.149999999999999,4,0.14999999999999858,20260516
80,0,3,0.8749999999999997,0,0.8749999999999997,20260516
80,0,4,31.049999999999994,28,3.0499999999999936,20260516
80,0,5,14.05,0,14.05,20260516
80,0,6,281.7249999999999,232,49.72499999999991,20260516
80,0,7,220.1999999999999,0,220.1999999999999,20260516
80,0,8,2885.4499999999985,2092,793.4499999999985,20260516
80,0,9,3463.174999999998,0,3463.174999999998,20260516
80,0,10,32570.149999999976,19864,12706.149999999976,20260516
80,1,1,0.0999999999999998,0,0.0999999999999998,20260516
80,1,2,4.249999999999998,4,0.24999999999999822,20260516
80,1,3,1.5249999999999948,0,1.5249999999999948,20260516
80,1,4,31.74999999999998,28,3.7499999999999787,20260516
80,1,5,21.599999999999902,0,21.599999999999902,20260516
80,1,6,287.2249999999997,232,55.22499999999968,20260516
80,1,7,308.0999999999981,0,308.0999999999981,20260516
80,1,8,2933.1499999999933,2092,841.1499999999933,20260516
80,1,9,4482.849999999965,0,4482.849999999965,20260516
80,1,10,32987.74999999987,19864,13123.749999999869,20260516
80,2,1,0.10000000000000002,0,0.10000000000000002,20260516
80,2,2,4.3,4,0.2999999999999998,20260516
80,2,3,1.3750000000000036,0,1.3750000000000036,20260516
80,2,4,32.60000000000001,28,4.6000000000000085,20260516
80,2,5,18.475000000000072,0,18.475000000000072,20260516
80,2,6,299.425,232,67.42500000000001,20260516
80,2,7,262.42500000000126,0,262.42500000000126,20260516
80,2,8,3095.6000000000013,2092,1003.6000000000013,20260516
80,2,9,3875.650000000022,0,3875.650000000022,20260516
80,2,10,35087.175000000025,19864,15223.175000000025,20260516
80,3,1,0.07499999999999997,0,0.07499999999999997,20260516
80,3,2,4.2250000000000005,4,0.22500000000000053,20260516
80,3,3,1.0499999999999978,0,1.0499999999999978,20260516
80,3,4,31.92500000000001,28,3.9250000000000114,20260516
80,3,5,14.44999999999996,0,14.44999999999996,20260516
80,3,6,295.7500000000001,232,63.750000000000114,20260516
80,3,7,208.67499999999936,0,208.67499999999936,20260516
80,3,8,3105.525000000001,2092,1013.525000000001,20260516
80,3,9,3145.4249999999906,0,3145.4249999999906,20260516
80,3,10,35791.85000000002,19864,15927.85000000002,20260516
80,4,1,0.05,0,0.05,20260516
80,4,2,4.3,4,0.2999999999999998,20260516
80,4,3,0.8749999999999997,0,0.8749999999999997,20260516
80,4,4,32.999999999999986,28,4.999999999999986,20260516
80,4,5,13.674999999999994,0,13.674999999999994,20260516
80,4,6,308.8749999999998,232,76.87499999999977,20260516
80,4,7,210.9249999999999,0,210.9249999999999,20260516
80,4,8,3247.1999999999966,2092,1155.1999999999966,20260516
80,4,9,3283.8499999999976,0,3283.8499999999976,20260516
80,4,10,37173.92499999997,19864,17309.924999999967,20260516
80,5,1,3.3306690738754695e-17,0,3.3306690738754695e-17,20260516
80,5,2,4.1,4,0.09999999999999964,20260516
80,5,3,0.30000000000000016,0,0.30000000000000016,20260516
80,5,4,30.3,28,2.3000000000000007,20260516
80,5,5,7.625000000000003,0,7.625000000000003,20260516
80,5,6,276.05000000000007,232,44.05000000000007,20260516
80,5,7,148.74999999999986,0,148.74999999999986,20260516
80,5,8,2862.500000000001,2092,770.5000000000009,20260516
80,5,9,2649.2249999999976,0,2649.2249999999976,20260516
80,5,10,32741.975000000013,19864,12877.975000000013,20260516
80,6,1,-2.2204460492503132e-17,0,-2.2204460492503132e-17,20260516
80,6,2,4.250000000000001,4,0.2500000000000009,20260516
80,6,3,0.37499999999999895,0,0.37499999999999895,20260516
80,6,4,32.15000000000001,28,4.150000000000013,20260516
80,6,5,8.499999999999975,0,8.499999999999975,20260516
80,6,6,295.1750000000001,232,63.175000000000125,20260516
80,6,7,154.17499999999967,0,154.17499999999967,20260516
80,6,8,3052.7500000000023,2092,960.7500000000023,20260516
80,6,9,2654.474999999996,0,2654.474999999996,20260516
80,6,10,34623.75000000002,19864,14759.750000000022,20260516
80,7,1,0.024999999999999932,0,0.024999999999999932,20260516
80,7,2,4.125,4,0.125,20260516
80,7,3,0.47499999999999964,0,0.47499999999999964,20260516
80,7,4,30.524999999999995,28,2.524999999999995,20260516
80,7,5,8.89999999999998,0,8.89999999999998,20260516
80,7,6,277.7249999999998,232,45.724999999999795,20260516
80,7,7,159.44999999999948,0,159.44999999999948,20260516
80,7,8,2874.324999999997,2092,782.3249999999971,20260516
80,7,9,2757.1749999999874,0,2757.1749999999874,20260516
80,7,10,32827.74999999995,19864,12963.749999999949,20260516
80,8,1,0.0999999999999998,0,0.0999999999999998,20260516
80,8,2,4.199999999999998,4,0.1999999999999984,20260516
80,8,3,1.1499999999999961,0,1.1499999999999961,20260516
80,8,4,31.799999999999983,28,3.799999999999983,20260516
80,8,5,14.849999999999957,0,14.849999999999957,20260516
80,8,6,292.6499999999998,232,60.64999999999981,20260516
80,8,7,215.17499999999973,0,215.17499999999973,20260516
80,8,8,3033.5999999999985,2092,941.5999999999985,20260516
80,8,9,3302.8000000000015,0,3302.8000000000015,20260516
80,8,10,34469.950000000004,19864,14605.950000000004,20260516
80,9,1,0.025000000000000112,0,0.025000000000000112,20260516
80,9,2,4.225000000000001,4,0.22500000000000142,20260516
80,9,3,0.6250000000000018,0,0.6250000000000018,20260516
80,9,4,32.02500000000001,28,4.025000000000013,20260516
80,9,5,11.400000000000043,0,11.400000000000043,20260516
80,9,6,295.8250000000002,232,63.825000000000216,20260516
80,9,7,192.8750000000008,0,192.8750000000008,20260516
80,9,8,3074.6250000000036,2092,982.6250000000036,20260516
80,9,9,3170.4250000000147,0,3170.4250000000147,20260516
80,9,10,34930.60000000007,19864,15066.600000000071,20260516
80,10,1,0.0750000000000001,0,0.0750000000000001,20260516
80,10,2,4.225,4,0.22499999999999964,20260516
80,10,3,0.9750000000000005,0,0.9750000000000005,20260516
80,10,4,32.52499999999999,28,4.5249999999999915,20260516
80,10,5,14.825000000000014,0,14.825000000000014,20260516
80,10,6,306.3249999999998,232,74.32499999999982,20260516
80,10,7,228.80000000000024,0,228.80000000000024,20260516
80,10,8,3246.324999999996,2092,1154.3249999999962,20260516
80,10,9,3556.2000000000044,0,3556.2000000000044,20260516
80,10,10,37480.724999999955,19864,17616.724999999955,20260516
80,11,1,0.10000000000000006,0,0.10000000000000006,20260516
80,11,2,4.15,4,0.15000000000000036,20260516
80,11,3,1.7500000000000007,0,1.7500000000000007,20260516
80,11,4,31.15,28,3.1499999999999986,20260516
80,11,5,25.475,0,25.475,20260516
80,11,6,289.00000000000006,232,57.00000000000006,20260516
80,11,7,364.1000000000001,0,364.1000000000001,20260516
80,11,8,3046.3500000000013,2092,954.3500000000013,20260516
80,11,9,5226.475000000003,0,5226.475000000003,20260516
80,11,10,35245.77500000002,19864,15381.775000000023,20260516
80,12,1,0.04999999999999993,0,0.04999999999999993,20260516
80,12,2,4.4,4,0.40000000000000036,20260516
80,12,3,0.95,0,0.95,20260516
80,12,4,34.5,28,6.5,20260516
80,12,5,15.174999999999992,0,15.174999999999992,20260516
80,12,6,328.85,232,96.85000000000002,20260516
80,12,7,235.42499999999973,0,235.42499999999973,20260516
80,12,8,3516.7,2092,1424.6999999999998,20260516
80,12,9,3634.9249999999943,0,3634.9249999999943,20260516
80,12,10,40838.27499999999,19864,20974.274999999987,20260516
80,13,1,0.024999999999999932,0,0.024999999999999932,20260516
80,13,2,4.125,4,0.125,20260516
80,13,3,0.6249999999999997,0,0.6249999999999997,20260516
80,13,4,30.525000000000013,28,2.525000000000013,20260516
80,13,5,11.024999999999995,0,11.024999999999995,20260516
80,13,6,275.02500000000026,232,43.02500000000026,20260516
80,13,7,180.45000000000027,0,180.45000000000027,20260516
80,13,8,2811.125000000006,2092,719.1250000000059,20260516
80,13,9,2918.65000000001,0,2918.65000000001,20260516
80,13,10,31790.125000000116,19864,11926.125000000116,20260516
80,14,1,0.050000000000000135,0,0.050000000000000135,20260516
80,14,2,4.300000000000001,4,0.3000000000000007,20260516
80,14,3,0.9500000000000022,0,0.9500000000000022,20260516
80,14,4,32.30000000000001,28,4.300000000000011,20260516
80,14,5,14.675000000000045,0,14.675000000000045,20260516
80,14,6,294.2500000000002,232,62.25000000000023,20260516
80,14,7,224.225000000001,0,224.225000000001,20260516
80,14,8,3024.5000000000045,2092,932.5000000000045,20260516
80,14,9,3464.8250000000176,0,3464.8250000000176,20260516
80,14,10,34167.92500000008,19864,14303.925000000083,20260516
80,15,1,0.1250000000000001,0,0.1250000000000001,20260516
80,15,2,4.225,4,0.22499999999999964,20260516
80,15,3,1.400000000000007,0,1.400000000000007,20260516
80,15,4,32.025000000000006,28,4.025000000000006,20260516
80,15,5,18.500000000000135,0,18.500000000000135,20260516
80,15,6,294.25000000000017,232,62.25000000000017,20260516
80,15,7,265.6000000000024,0,265.6000000000024,20260516
80,15,8,3048.225000000005,2092,956.2250000000049,20260516
80,15,9,3953.97500000004,0,3953.97500000004,20260516
80,15,10,34667.35000000011,19864,14803.350000000108,20260516
80,16,1,1.1102230246251566e-17,0,1.1102230246251566e-17,20260516
80,16,2,4.3500000000000005,4,0.35000000000000053,20260516
80,16,3,0.37500000000000056,0,0.37500000000000056,20260516
80,16,4,33.75000000000001,28,5.750000000000007,20260516
80,16,5,7.875000000000003,0,7.875000000000003,20260516
80,16,6,315.8250000000001,232,83.8250000000001,20260516
80,16,7,145.775,0,145.775,20260516
80,16,8,3307.5500000000015,2092,1215.5500000000015,20260516
80,16,9,2579.999999999999,0,2579.999999999999,20260516
80,16,10,37699.72500000003,19864,17835.725000000028,20260516
80,17,1,0.07499999999999994,0,0.07499999999999994,20260516
80,17,2,4.225,4,0.22499999999999964,20260516
80,17,3,1.1249999999999973,0,1.1249999999999973,20260516
80,17,4,31.725,28,3.7250000000000014,20260516
80,17,5,16.199999999999953,0,16.199999999999953,20260516
80,17,6,289.6749999999999,232,57.6749999999999,20260516
80,17,7,239.29999999999927,0,239.29999999999927,20260516
80,17,8,2980.324999999998,2092,888.324999999998,20260516
80,17,9,3631.7249999999863,0,3631.7249999999863,20260516
80,17,10,33682.09999999996,19864,13818.099999999962,20260516
80,18,1,0.049999999999999954,0,0.049999999999999954,20260516
80,18,2,4.2,4,0.20000000000000018,20260516
80,18,3,0.5750000000000002,0,0.5750000000000002,20260516
80,18,4,31.199999999999996,28,3.1999999999999957,20260516
80,18,5,9.549999999999997,0,9.549999999999997,20260516
80,18,6,281.77499999999986,232,49.774999999999864,20260516
80,18,7,164.72499999999997,0,164.72499999999997,20260516
80,18,8,2885.7999999999984,2092,793.7999999999984,20260516
80,18,9,2794.8500000000004,0,2794.8500000000004,20260516
80,18,10,32666.449999999975,19864,12802.449999999975,20260516
80,19,1,-2.2204460492503132e-17,0,-2.2204460492503132e-17,20260516
80,19,2,4.050000000000002,4,0.0500000000000016,20260516
80,19,3,0.29999999999999877,0,0.29999999999999877,20260516
80,19,4,30.25000000000002,28,2.2500000000000213,20260516
80,19,5,8.249999999999973,0,8.249999999999973,20260516
80,19,6,278.10000000000036,232,46.100000000000364,20260516
80,19,7,163.79999999999947,0,163.79999999999947,20260516
80,19,8,2894.8500000000045,2092,802.8500000000045,20260516
80,19,9,2903.6999999999925,0,2903.6999999999925,20260516
80,19,10,33120.80000000006,19864,13256.800000000061,20260516
80,20,1,0.0749999999999999,0,0.0749999999999999,20260516
80,20,2,4.225,4,0.22499999999999964,20260516
80,20,3,0.8999999999999984,0,0.8999999999999984,20260516
80,20,4,31.725000000000012,28,3.725000000000012,20260516
80,20,5,13.94999999999998,0,13.94999999999998,20260516
80,20,6,290.95000000000016,232,58.95000000000016,20260516
80,20,7,220.74999999999977,0,220.74999999999977,20260516
80,20,8,3010.9250000000015,2092,918.9250000000015,20260516
80,20,9,3480.974999999997,0,3480.974999999997,20260516
80,20,10,34158.35000000002,19864,14294.35000000002,20260516
80,21,1,0.024999999999999977,0,0.024999999999999977,20260516
80,21,2,4.275,4,0.27500000000000036,20260516
80,21,3,0.6999999999999991,0,0.6999999999999991,20260516
80,21,4,32.17500000000001,28,4.175000000000011,20260516
80,21,5,12.274999999999997,0,12.274999999999997,20260516
80,21,6,296.8500000000002,232,64.8500000000002,20260516
80,21,7,200.57500000000007,0,200.57500000000007,20260516
80,21,8,3087.3750000000023,2092,995.3750000000023,20260516
80,21,9,3231.4750000000013,0,3231.4750000000013,20260516
80,21,10,35106.52500000002,19864,15242.525000000023,20260516
80,22,1,0.0249999999999999,0,0.0249999999999999,20260516
80,22,2,4.325,4,0.3250000000000002,20260516
80,22,3,0.6249999999999982,0,0.6249999999999982,20260516
80,22,4,33.225,28,5.225000000000001,20260516
80,22,5,11.274999999999961,0,11.274999999999961,20260516
80,22,6,309.7249999999999,232,77.72499999999991,20260516
80,22,7,190.9499999999992,0,190.9499999999992,20260516
80,22,8,3247.224999999998,2092,1155.224999999998,20260516
80,22,9,3144.099999999985,0,3144.099999999985,20260516
80,22,10,37189.57499999995,19864,17325.574999999953,20260516
80,23,1,0.04999999999999997,0,0.04999999999999997,20260516
80,23,2,4.199999999999999,4,0.1999999999999993,20260516
80,23,3,0.49999999999999717,0,0.49999999999999717,20260516
80,23,4,31.399999999999988,28,3.399999999999988,20260516
80,23,5,8.424999999999958,0,8.424999999999958,20260516
80,23,6,285.5999999999999,232,53.59999999999991,20260516
80,23,7,151.0749999999995,0,151.0749999999995,20260516
80,23,8,2929.799999999999,2092,837.7999999999988,20260516
80,23,9,2641.3249999999957,0,2641.3249999999957,20260516
80,23,10,33023.825,19864,13159.824999999997,20260516
140,0,1,0.02857142857142857,0,0.02857142857142857,20260516
140,0,2,4.114285714285714,4,0.11428571428571388,20260516
140,0,3,0.5428571428571453,0,0.5428571428571453,20260516
140,0,4,29.885714285714272,28,1.885714285714272,20260516
140,0,5,8.600000000000026,0,8.600000000000026,20260516
140,0,6,261.5142857142855,232,29.514285714285506,20260516
140,0,7,133.92857142857173,0,133.92857142857173,20260516
140,0,8,2557.885714285712,2092,465.88571428571186,20260516
140,0,9,2088.414285714287,0,2088.414285714287,20260516
140,0,10,27263.971428571396,19864,7399.971428571396,20260516
140,1,1,0.05714285714285714,0,0.05714285714285714,20260516
140,1,2,4.142857142857143,4,0.14285714285714324,20260516
140,1,3,0.7428571428571412,0,0.7428571428571412,20260516
140,1,4,30.48571428571428,28,2.4857142857142804,20260516
140,1,5,9.914285714285663,0,9.914285714285663,20260516
140,1,6,271.2285714285713,232,39.228571428571286,20260516
140,1,7,142.25714285714213,0,142.25714285714213,20260516
140,1,8,2693.114285714282,2092,601.1142857142818,20260516
140,1,9,2135.671428571417,0,2135.671428571417,20260516
140,1,10,29029.57142857137,19864,9165.57142857137,20260516
140,2,1,0.014285714285714388,0,0.014285714285714388,20260516
140,2,2,4.128571428571429,4,0.128571428571429,20260516
140,2,3,0.2714285714285731,0,0.2714285714285731,20260516
140,2,4,30.3,28,2.3000000000000007,20260516
140,2,5,4.585714285714299,0,4.585714285714299,20260516
140,2,6,268.8142857142857,232,36.81428571428569,20260516
140,2,7,80.61428571428571,0,80.61428571428571,20260516
140,2,8,2663.4428571428557,2092,571.4428571428557,20260516
140,2,9,1407.999999999995,0,1407.999999999995,20260516
140,2,10,28670.55714285711,19864,8806.55714285711,20260516
140,3,1,0.07142857142857142,0,0.07142857142857142,20260516
140,3,2,4.128571428571429,4,0.128571428571429,20260516
140,3,3,0.8000000000000008,0,0.8000000000000008,20260516
140,3,4,30.471428571428557,28,2.4714285714285573,20260516
140,3,5,10.714285714285714,0,10.714285714285714,20260516
140,3,6,272.0285714285713,232,40.0285714285713,20260516
140,3,7,153.8714285714283,0,153.8714285714283,20260516
140,3,8,2711.728571428568,2092,619.7285714285681,20260516
140,3,9,2289.7571428571364,0,2289.7571428571364,20260516
140,3,10,29352.771428571363,19864,9488.771428571363,20260516
140,4,1,-1.0150610510858574e-16,0,-1.0150610510858574e-16,20260516
140,4,2,4.057142857142859,4,0.057142857142858716,20260516
140,4,3,0.17142857142856818,0,0.17142857142856818,20260516
140,4,4,29.485714285714298,28,1.4857142857142982,20260516
140,4,5,4.142857142857085,0,4.142857142857085,20260516
140,4,6,260.42857142857156,232,28.42857142857156,20260516
140,4,7,81.09999999999923,0,81.09999999999923,20260516
140,4,8,2576.114285714287,2092,484.1142857142868,20260516
140,4,9,1458.8142857142775,0,1458.8142857142775,20260516
140,4,10,27767.771428571443,19864,7903.771428571443,20260516
140,5,1,0.05714285714285714,0,0.05714285714285714,20260516
140,5,2,4.171428571428573,4,0.1714285714285726,20260516
140,5,3,0.8285714285714262,0,0.8285714285714262,20260516
140,5,4,31.028571428571443,28,3.0285714285714427,20260516
140,5,5,11.414285714285676,0,11.414285714285676,20260516
140,5,6,278.3714285714287,232,46.37142857142868,20260516
140,5,7,162.85714285714243,0,162.85714285714243,20260516
140,5,8,2779.9428571428593,2092,687.9428571428593,20260516
140,5,9,2388.6571428571374,0,2388.6571428571374,20260516
140,5,10,30048.242857142883,19864,10184.242857142883,20260516
140,6,1,0.0,0,0.0,20260516
140,6,2,4.171428571428573,4,0.1714285714285726,20260516
140,6,3,0.042857142857142046,0,0.042857142857142046,20260516
