k,n,mean_normalized_trace,tree_moment,mean_centered_trace,variance_centered_trace,std_centered_trace,trials,loglog_variance_slope_for_k,reference_slope_n_minus_1,reference_slope_n_minus_2,variance_status
1,80,0.05208333333333331,0,0.05208333333333331,0.001354166666666666,0.03679900360969935,24,-1.7414142643940198,-1.0,-2.0,compatible_with_n_minus_2_or_better
1,140,0.026190476190476198,0,0.026190476190476198,0.00043774031351671074,0.020922244466517227,24,-1.7414142643940198,-1.0,-2.0,compatible_with_n_minus_2_or_better
1,220,0.021969696969696997,0,0.021969696969696997,0.00023655527608096687,0.015380353574640827,24,-1.7414142643940198,-1.0,-2.0,compatible_with_n_minus_2_or_better
1,320,0.01510416666666668,0,0.01510416666666668,0.00011520606884057894,0.010733409003693977,24,-1.7414142643940198,-1.0,-2.0,compatible_with_n_minus_2_or_better
2,80,4.225,4,0.22499999999999998,0.00679347826086957,0.0824225591744734,24,-1.7651776247385014,-1.0,-2.0,compatible_with_n_minus_2_or_better
2,140,4.121428571428571,4,0.12142857142857184,0.002697426796805691,0.05193675766550788,24,-1.7651776247385014,-1.0,-2.0,compatible_with_n_minus_2_or_better
2,220,4.083333333333333,4,0.08333333333333337,0.0009534075937237948,0.030877299003050685,24,-1.7651776247385014,-1.0,-2.0,compatible_with_n_minus_2_or_better
2,320,4.052604166666668,4,0.05260416666666712,0.0006450973731884358,0.025398767158829497,24,-1.7651776247385014,-1.0,-2.0,compatible_with_n_minus_2_or_better
3,80,0.848958333333333,0,0.848958333333333,0.1590477807971017,0.39880794976667866,24,-1.9357489158992287,-1.0,-2.0,compatible_with_n_minus_2_or_better
3,140,0.4476190476190475,0,0.4476190476190475,0.06902691511387136,0.262729737779855,24,-1.9357489158992287,-1.0,-2.0,compatible_with_n_minus_2_or_better
3,220,0.34356060606060607,0,0.34356060606060607,0.02804871840939014,0.1674775161309426,24,-1.9357489158992287,-1.0,-2.0,compatible_with_n_minus_2_or_better
