k,pair_class,representative_w1,representative_w2,reduced_pair_types,word_pair_multiplicity,max_distinct_basepoint_exponent_all_pairs,max_same_basepoint_exponent_all_pairs,distinct_basepoint_partial_injection_failures,same_basepoint_partial_injection_failures,distinct_basepoint_vertices,distinct_basepoint_constraints,distinct_basepoint_exponent,distinct_basepoint_partial_injection,same_basepoint_vertices,same_basepoint_constraints,same_basepoint_exponent,same_basepoint_partial_injection,covariance_order_before_normalization,normalized_variance_order_after_n_minus_2,positive_power_obstruction
2,cyclic_or_inverse_conjugate,AB,BA,16,16,0,-1,0,0,4,4,0,True,3,4,-1,True,O(1),O(n^-2),False
2,generic_disjoint_generators,AA,BB,8,8,0,-1,0,0,4,4,0,True,3,4,-1,True,O(1),O(n^-2),False
2,generic_shared_generator,AA,AB,96,96,0,-1,0,96,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
2,identity_identity,id,id,1,16,2,1,0,0,2,0,2,True,1,0,1,True,O(n^-2),O(n^-4),False
2,identity_nontrivial,id,AA,24,96,1,0,0,0,3,2,1,True,2,2,0,True,O(n^-2),O(n^-4),False
2,inverse_reduced_word,AA,aa,12,12,0,-1,0,12,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
2,same_reduced_word,AA,AA,12,12,0,-1,0,12,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
4,cyclic_or_inverse_conjugate,AAAB,AABA,464,2048,0,-1,0,320,8,8,0,True,7,8,-1,False,O(1),O(n^-2),False
4,generic_disjoint_generators,AA,BB,32,968,0,-1,0,0,4,4,0,True,3,4,-1,True,O(1),O(n^-2),False
4,generic_shared_generator,AA,AAAB,13616,45872,0,-1,5136,12256,6,6,0,True,5,6,-1,False,O(1),O(n^-2),False
4,identity_identity,id,id,1,784,2,1,0,0,2,0,2,True,1,0,1,True,O(n^-2),O(n^-4),False
4,identity_nontrivial,id,AA,240,12768,1,0,48,48,3,2,1,True,2,2,0,True,O(n^-2),O(n^-4),False
4,inverse_reduced_word,AA,aa,120,1308,0,-1,24,120,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
4,same_reduced_word,AA,AA,120,1308,0,-1,24,120,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
4,shared_power_relation,AA,AAAA,48,480,0,-1,0,48,6,6,0,True,5,6,-1,False,O(1),O(n^-2),False
6,cyclic_or_inverse_conjugate,AAAAAB,AAAABA,7536,272304,0,-1,0,5840,12,12,0,True,11,12,-1,False,O(1),O(n^-2),False
6,generic_disjoint_generators,AA,BB,72,103968,0,-1,0,0,4,4,0,True,3,4,-1,True,O(1),O(n^-2),False
6,generic_shared_generator,AA,AAAAAB,1182528,14191248,0,-1,506352,1070032,8,8,0,True,7,8,-1,False,O(1),O(n^-2),False
6,identity_identity,id,id,1,53824,2,1,0,0,2,0,2,True,1,0,1,True,O(n^-2),O(n^-4),False
6,identity_nontrivial,id,AA,2184,1792896,1,0,528,528,3,2,1,True,2,2,0,True,O(n^-2),O(n^-4),False
6,inverse_reduced_word,AA,aa,1092,141528,0,-1,264,1092,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
6,same_reduced_word,AA,AA,1092,141528,0,-1,264,1092,4,4,0,True,3,4,-1,False,O(1),O(n^-2),False
6,shared_power_relation,AA,AAAA,144,79920,0,-1,0,144,6,6,0,True,5,6,-1,False,O(1),O(n^-2),False
