len_u,len_v,relation_class,basepoint_mode,representative_u,representative_v,base_vertices,base_c_a,base_c_b,base_exponent,base_partial_injection,exhaustive_quotient_check,quotient_templates_checked,partial_injection_failure_templates,max_admissible_quotient_exponent,proof_bound,passes_exponent_bound
0,0,identity,same,id,id,0,0,0,-999,True,True,1,0,-999,-999,True
0,0,identity,distinct,id,id,0,0,0,-999,True,True,1,0,-999,-999,True
0,1,identity,same,id,a,0,0,0,-999,True,True,1,0,-999,-999,True
0,1,identity,distinct,id,a,0,0,0,-999,True,True,1,0,-999,-999,True
0,2,identity,same,id,aa,0,0,0,-999,True,True,1,0,-999,-999,True
0,2,identity,distinct,id,aa,0,0,0,-999,True,True,1,0,-999,-999,True
0,3,identity,same,id,aaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,3,identity,distinct,id,aaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,4,identity,same,id,aaaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,4,identity,distinct,id,aaaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,5,identity,same,id,aaaaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,5,identity,distinct,id,aaaaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,6,identity,same,id,aaaaaa,0,0,0,-999,True,True,1,0,-999,-999,True
0,6,identity,distinct,id,aaaaaa,0,0,0,-999,True,True,1,0,-999,-999,True
1,0,identity,same,a,id,0,0,0,-999,True,True,1,0,-999,-999,True
1,0,identity,distinct,a,id,0,0,0,-999,True,True,1,0,-999,-999,True
1,1,generic,same,a,b,1,1,1,-1,True,True,1,0,-1,0,True
1,1,generic,distinct,a,b,2,1,1,0,True,True,2,1,0,0,True
1,1,inverse,same,a,a,1,1,0,0,True,True,1,0,0,0,True
1,1,inverse,distinct,a,a,2,2,0,0,True,True,2,1,0,0,True
1,2,generic,same,a,ab,2,2,1,-1,False,True,2,1,-1,0,True
1,2,generic,distinct,a,ab,3,2,1,0,True,True,5,3,0,0,True
1,2,shared_power,same,a,aa,2,3,0,-1,False,True,2,1,0,0,True
1,2,shared_power,distinct,a,aa,3,3,0,0,True,True,5,3,0,0,True
1,3,generic,same,a,aab,3,3,1,-1,False,True,5,4,-1,0,True
1,3,generic,distinct,a,aab,4,3,1,0,True,True,15,12,0,0,True
1,3,shared_power,same,a,aaa,3,4,0,-1,False,True,5,4,0,0,True
1,3,shared_power,distinct,a,aaa,4,4,0,0,True,True,15,13,0,0,True
1,4,generic,same,a,aaab,4,4,1,-1,False,True,15,14,-1,0,True
1,4,generic,distinct,a,aaab,5,4,1,0,True,True,52,48,0,0,True
1,4,shared_power,same,a,aaaa,4,5,0,-1,False,True,15,14,0,0,True
1,4,shared_power,distinct,a,aaaa,5,5,0,0,True,True,52,49,0,0,True
1,5,generic,same,a,aaaab,5,5,1,-1,False,True,52,51,-1,0,True
1,5,generic,distinct,a,aaaab,6,5,1,0,True,True,203,198,0,0,True
1,5,shared_power,same,a,aaaaa,5,6,0,-1,False,True,52,51,0,0,True
1,5,shared_power,distinct,a,aaaaa,6,6,0,0,True,True,203,201,0,0,True
1,6,generic,same,a,aaaaab,6,6,1,-1,False,True,203,202,-1,0,True
1,6,generic,distinct,a,aaaaab,7,6,1,0,True,True,877,871,0,0,True
1,6,shared_power,same,a,aaaaaa,6,7,0,-1,False,True,203,202,0,0,True
1,6,shared_power,distinct,a,aaaaaa,7,7,0,0,True,True,877,873,0,0,True
2,0,identity,same,aa,id,0,0,0,-999,True,True,1,0,-999,-999,True
2,0,identity,distinct,aa,id,0,0,0,-999,True,True,1,0,-999,-999,True
2,1,generic,same,aa,b,2,2,1,-1,True,True,2,0,-1,0,True
2,1,generic,distinct,aa,b,3,2,1,0,True,True,5,2,0,0,True
2,1,shared_power,same,aa,a,2,3,0,-1,False,True,2,1,0,0,True
2,1,shared_power,distinct,aa,a,3,3,0,0,True,True,5,3,0,0,True
2,2,cyclic_conjugate,same,ab,AB,3,2,2,-1,True,True,5,2,-1,0,True
2,2,cyclic_conjugate,distinct,ab,AB,4,2,2,0,True,True,15,9,0,0,True
2,2,generic,same,aa,ab,3,3,1,-1,False,True,5,3,-1,0,True
2,2,generic,distinct,aa,ab,4,3,1,0,True,True,15,10,0,0,True
2,2,inverse,same,aa,aa,3,4,0,-1,False,True,5,3,0,0,True
2,2,inverse,distinct,aa,aa,4,4,0,0,True,True,15,10,0,0,True
2,3,generic,same,aa,aab,4,4,1,-1,False,True,15,13,-1,0,True
2,3,generic,distinct,aa,aab,5,4,1,0,True,True,52,45,0,0,True
2,3,shared_power,same,aa,aaa,4,5,0,-1,False,True,15,14,0,0,True
2,3,shared_power,distinct,aa,aaa,5,5,0,0,True,True,52,48,0,0,True
