len_u,len_v,relation_class,reduced_pair_count,max_same_basepoint_exponent,max_distinct_basepoint_exponent,representative_same_basepoint_base_exponent,representative_distinct_basepoint_base_exponent,max_proof_exponent_bound,partial_injection_failures_in_base_templates,positive_exponent_obstruction,representative_u,representative_v,expectation_order_bound,covariance_order_bound,proof_status,audit_scope
0,0,identity,1,-999,-999,-999,-999,-999,0,False,id,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
0,1,identity,4,-999,-999,-999,-999,-999,0,False,id,a,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
0,2,identity,12,-999,-999,-999,-999,-999,0,False,id,aa,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
0,3,identity,36,-999,-999,-999,-999,-999,0,False,id,aaa,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
0,4,identity,108,-999,-999,-999,-999,-999,0,False,id,aaaa,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
0,5,identity,324,-999,-999,-999,-999,-999,0,False,id,aaaaa,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
0,6,identity,972,-999,-999,-999,-999,-999,0,False,id,aaaaaa,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
1,0,identity,4,-999,-999,-999,-999,-999,0,False,a,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
1,1,generic,8,0,0,-1,0,0,0,False,a,b,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,1,inverse,8,0,0,0,0,0,0,False,a,a,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,2,generic,40,0,0,-1,0,0,1,False,a,ab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,2,shared_power,8,0,0,-1,0,0,1,False,a,aa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,3,generic,136,0,0,-1,0,0,1,False,a,aab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,3,shared_power,8,0,0,-1,0,0,1,False,a,aaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,4,generic,424,0,0,-1,0,0,1,False,a,aaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,4,shared_power,8,0,0,-1,0,0,1,False,a,aaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,5,generic,1288,0,0,-1,0,0,1,False,a,aaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,5,shared_power,8,0,0,-1,0,0,1,False,a,aaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,6,generic,3880,0,0,-1,0,0,1,False,a,aaaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
1,6,shared_power,8,0,0,-1,0,0,1,False,a,aaaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,0,identity,12,-999,-999,-999,-999,-999,0,False,aa,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
2,1,generic,40,0,0,-1,0,0,0,False,aa,b,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,1,shared_power,8,0,0,-1,0,0,1,False,aa,a,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
