window_label,n,alpha_label,alpha_kind,alpha_W,alpha_R,epsilon,a,b,Delta,width_kind,regime,F_b_minus_F_a,main_term_proxy,endpoint_error_proxy,relative_error_proxy,main_term_n_exponent,endpoint_error_n_exponent,relative_error_n_exponent,fixed_relative_constant_proxy,density_at_a,statement,classification,decision
edge_fixed,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,4231.1877911608635,8077.625139192162,1.9090679822972345,1.0,0.994,-0.006,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,4308.371056451501,8136.684485086761,1.8885756074567006,1.0,0.994,-0.006,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,4999.964200128537,21640.479656150754,4.3281269205076365,1.0,0.994,-0.006,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,19999.935526395904,25350.304931924795,1.2675193326732217,1.0,0.994,-0.006,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,5000.000052083635,119451.42470237012,23.890284691615452,1.0,0.994,-0.006,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,4.1,0.1,shrinking,outside_m34_scope,0.04999952057949142,999.9904115898283,20560.37924741599,20.56057639065579,0.75,0.994,0.244,21.728777129170002,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,10000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.25,0.35,0.1,shrinking,outside_m34_scope,0.027989398611588376,559.7879722317675,5311.7475272444635,9.488856121841172,0.625,0.994,0.369,10.027989291970965,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,4231.1877911608635,5386.215121983459,1.272979453484787,1.0,0.95,-0.05,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,4308.371056451501,5425.596293611306,1.259314999223856,1.0,0.95,-0.05,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,4999.964200128537,14430.018323750995,2.8860243286101994,1.0,0.95,-0.05,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,19999.935526395904,16903.75493023692,0.8451904711356371,1.0,0.95,-0.05,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,5000.000052083635,79651.01858375165,15.930203550809749,1.0,0.95,-0.05,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,4.1,0.1,shrinking,outside_m34_scope,0.04999952057949142,999.9904115898283,13709.800059776253,13.709931516223056,0.75,0.95,0.2,21.728777129170002,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,10000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.25,0.35,0.1,shrinking,outside_m34_scope,0.027989398611588376,559.7879722317675,3541.909207520326,6.32723349413781,0.625,0.95,0.325,10.027989291970965,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,4231.1877911608635,1352.9560682101976,0.3197579816798919,1.0,0.8,-0.2,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,4308.371056451501,1362.8481712770918,0.3163256259546904,1.0,0.8,-0.2,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,4999.964200128537,3624.6567233864766,0.724936535204251,1.0,0.8,-0.2,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,19999.935526395904,4246.031265082532,0.21230224764867978,1.0,0.8,-0.2,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,5000.000052083635,20007.43128364433,4.001486215046477,1.0,0.8,-0.2,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,4.1,0.1,shrinking,outside_m34_scope,0.04999952057949142,999.9904115898283,3443.7460748861226,3.4437790952526286,0.75,0.8,0.04999999999999999,21.728777129170002,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,10000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.25,0.35,0.1,shrinking,outside_m34_scope,0.027989398611588376,559.7879722317675,889.6873680009163,1.5893291962917728,0.625,0.8,0.175,10.027989291970965,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,423118.7791160863,785748.7428860198,1.8570405797811276,1.0,0.994,-0.006,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,430837.1056451502,791493.7243617252,1.8371066790464008,1.0,0.994,-0.006,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,499996.4200128537,2105071.6506722537,4.210173446078149,1.0,0.994,-0.006,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,1999993.5526395903,2465943.874442935,1.2329759119415078,1.0,0.994,-0.006,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,500000.0052083635,11619604.175543372,23.239208109010256,1.0,0.994,-0.006,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,4.031622776601684,0.03162277660168379,shrinking,outside_m34_scope,0.015811228246520592,31622.456493041183,1981590.6278670495,62.66403207173728,0.75,0.994,0.244,68.07981012189697,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,1000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.25,0.2816227766016838,0.03162277660168379,shrinking,outside_m34_scope,0.005551098280475624,11102.196560951248,458476.70769354847,41.29603589492435,0.625,0.994,0.369,44.865071550055916,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
