kappa,alpha_W,d,eta,mechanism,support_valid,endpoint_beating,required_beta,candidate_beta,conditional_success_if_new_surface_input_proved,paper_proved_success,failure_reason
5.0,0.006,0.02,0.02,existing_markov_interpolation,True,True,-0.76,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.02,0.02,coefficient_variation_target,True,True,-0.76,0.04,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.02,direct_small_x_target,True,True,-0.76,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.02,stronger_surface_lemma33_target,True,True,-0.76,0.31,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.05,existing_markov_interpolation,True,True,-0.45999999999999996,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.02,0.05,coefficient_variation_target,True,True,-0.45999999999999996,0.1,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.05,direct_small_x_target,True,True,-0.45999999999999996,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.05,stronger_surface_lemma33_target,True,True,-0.45999999999999996,0.4,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.08,existing_markov_interpolation,True,True,-0.15999999999999992,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.02,0.08,coefficient_variation_target,True,True,-0.15999999999999992,0.16,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.08,direct_small_x_target,True,True,-0.15999999999999992,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.08,stronger_surface_lemma33_target,True,True,-0.15999999999999992,0.49,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.12,existing_markov_interpolation,True,True,0.24,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.02,0.12,coefficient_variation_target,True,True,0.24,0.24,False,False,candidate_saving_too_small
5.0,0.006,0.02,0.12,direct_small_x_target,True,True,0.24,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.12,stronger_surface_lemma33_target,True,True,0.24,0.61,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.02,0.18,existing_markov_interpolation,True,True,0.8399999999999999,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.02,0.18,coefficient_variation_target,True,True,0.8399999999999999,0.36,False,False,candidate_saving_too_small
5.0,0.006,0.02,0.18,direct_small_x_target,True,True,0.8399999999999999,0.35,False,False,candidate_saving_too_small
