kappa,eta,mechanism,classification,effective_A,sigma,q_loss_exponent,markov_q_2kappa_reproduced,variance_exponent,candidate_beta,proved_exponent_improvement
3.0,0.02,existing_markov_interpolation,paper_proved_baseline,6.0,0.0,0.12,True,1.12,0.0,False
3.0,0.02,coefficient_variation_target,conditional_surface_theorem_target,4.0,0.0,0.08,False,1.08,0.04,False
3.0,0.02,direct_small_x_target,conditional_surface_theorem_target,6.0,0.35,0.12,False,0.7700000000000001,0.35,False
3.0,0.02,signed_cancellation_target,conditional_surface_theorem_target,5.0,0.25,0.1,False,0.8500000000000001,0.27,False
3.0,0.02,stronger_surface_lemma33_target,conditional_stronger_input,3.0,0.25,0.06,False,0.81,0.31,False
3.0,0.02,blocked_by_missing_surface_input,toy_only_insufficient,4.0,0.0,0.08,False,1.08,0.04,False
3.0,0.05,existing_markov_interpolation,paper_proved_baseline,6.0,0.0,0.30000000000000004,True,1.3,0.0,False
3.0,0.05,coefficient_variation_target,conditional_surface_theorem_target,4.0,0.0,0.2,False,1.2,0.1,False
3.0,0.05,direct_small_x_target,conditional_surface_theorem_target,6.0,0.35,0.30000000000000004,False,0.9500000000000001,0.35,False
3.0,0.05,signed_cancellation_target,conditional_surface_theorem_target,5.0,0.25,0.25,False,1.0,0.3,False
3.0,0.05,stronger_surface_lemma33_target,conditional_stronger_input,3.0,0.25,0.15000000000000002,False,0.8999999999999999,0.4,False
3.0,0.05,blocked_by_missing_surface_input,toy_only_insufficient,4.0,0.0,0.2,False,1.2,0.1,False
3.0,0.08,existing_markov_interpolation,paper_proved_baseline,6.0,0.0,0.48,True,1.48,0.0,False
3.0,0.08,coefficient_variation_target,conditional_surface_theorem_target,4.0,0.0,0.32,False,1.32,0.16,False
3.0,0.08,direct_small_x_target,conditional_surface_theorem_target,6.0,0.35,0.48,False,1.13,0.35,False
3.0,0.08,signed_cancellation_target,conditional_surface_theorem_target,5.0,0.25,0.4,False,1.15,0.33,False
3.0,0.08,stronger_surface_lemma33_target,conditional_stronger_input,3.0,0.25,0.24,False,0.99,0.49,False
3.0,0.08,blocked_by_missing_surface_input,toy_only_insufficient,4.0,0.0,0.32,False,1.32,0.16,False
3.0,0.12,existing_markov_interpolation,paper_proved_baseline,6.0,0.0,0.72,True,1.72,0.0,False
3.0,0.12,coefficient_variation_target,conditional_surface_theorem_target,4.0,0.0,0.48,False,1.48,0.24,False
3.0,0.12,direct_small_x_target,conditional_surface_theorem_target,6.0,0.35,0.72,False,1.37,0.35,False
3.0,0.12,signed_cancellation_target,conditional_surface_theorem_target,5.0,0.25,0.6,False,1.35,0.37,False
3.0,0.12,stronger_surface_lemma33_target,conditional_stronger_input,3.0,0.25,0.36,False,1.1099999999999999,0.61,False
3.0,0.12,blocked_by_missing_surface_input,toy_only_insufficient,4.0,0.0,0.48,False,1.48,0.24,False
3.0,0.18,existing_markov_interpolation,paper_proved_baseline,6.0,0.0,1.08,True,2.08,0.0,False
3.0,0.18,coefficient_variation_target,conditional_surface_theorem_target,4.0,0.0,0.72,False,1.72,0.36,False
3.0,0.18,direct_small_x_target,conditional_surface_theorem_target,6.0,0.35,1.08,False,1.73,0.35,False
3.0,0.18,signed_cancellation_target,conditional_surface_theorem_target,5.0,0.25,0.8999999999999999,False,1.65,0.43,False
3.0,0.18,stronger_surface_lemma33_target,conditional_stronger_input,3.0,0.25,0.54,False,1.29,0.79,False
3.0,0.18,blocked_by_missing_surface_input,toy_only_insufficient,4.0,0.0,0.72,False,1.72,0.36,False
5.0,0.02,existing_markov_interpolation,paper_proved_baseline,10.0,0.0,0.2,True,1.2,0.0,False
5.0,0.02,coefficient_variation_target,conditional_surface_theorem_target,8.0,0.0,0.16,False,1.16,0.04,False
5.0,0.02,direct_small_x_target,conditional_surface_theorem_target,10.0,0.35,0.2,False,0.85,0.35,False
5.0,0.02,signed_cancellation_target,conditional_surface_theorem_target,9.0,0.25,0.18,False,0.9299999999999999,0.27,False
5.0,0.02,stronger_surface_lemma33_target,conditional_stronger_input,7.0,0.25,0.14,False,0.8900000000000001,0.31,False
5.0,0.02,blocked_by_missing_surface_input,toy_only_insufficient,8.0,0.0,0.16,False,1.16,0.04,False
5.0,0.05,existing_markov_interpolation,paper_proved_baseline,10.0,0.0,0.5,True,1.5,0.0,False
5.0,0.05,coefficient_variation_target,conditional_surface_theorem_target,8.0,0.0,0.4,False,1.4,0.1,False
5.0,0.05,direct_small_x_target,conditional_surface_theorem_target,10.0,0.35,0.5,False,1.15,0.35,False
