kappa,eta,A,A_offset_from_markov,sigma,denominator_loss_D,raw_beta_before_denominator,net_beta_after_denominator,saving_survives_denominator,near_zero_denominator_obstruction,paper_denominator_safe_regime
5.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,False,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.0,0.25,0.0,-0.25,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.0,0.5,0.0,-0.5,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.0,1.0,0.0,-1.0,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.0,2.0,0.0,-2.0,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.15,0.0,0.15,0.15,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.15,0.25,0.15,-0.1,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.15,0.5,0.15,-0.35,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.15,1.0,0.15,-0.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.15,2.0,0.15,-1.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.35,0.0,0.35,0.35,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.35,0.25,0.35,0.09999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.35,0.5,0.35,-0.15000000000000002,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.35,1.0,0.35,-0.65,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.35,2.0,0.35,-1.65,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.6,0.0,0.6,0.6,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
