grouping,classification,kappa,eta,A,A_offset,sigma,D,Lambda0_power,beta,markov_variance_exponent,grouped_variance_exponent,denominator_safe_regime,saving_survives_denominator,theorem_ready_spc_g,coefficient_variation_equivalent,near_zero_denominator_obstruction
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,0.0,20,0.0,1.12,1.12,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,0.25,20,-0.25,1.12,1.37,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,0.5,20,-0.5,1.12,1.62,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,1.0,20,-1.0,1.12,2.12,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,0.0,20,0.0,1.3,1.3,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,0.25,20,-0.25,1.3,1.55,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,0.5,20,-0.5,1.3,1.8,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,1.0,20,-1.0,1.3,2.3,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,0.0,20,0.0,1.48,1.48,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,0.25,20,-0.25,1.48,1.73,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,0.5,20,-0.5,1.48,1.98,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,1.0,20,-1.0,1.48,2.48,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,0.0,20,0.0,1.72,1.72,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,0.25,20,-0.25,1.72,1.97,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,0.5,20,-0.5,1.72,2.2199999999999998,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,1.0,20,-1.0,1.72,2.7199999999999998,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.18,6.0,0.0,0.0,0.0,20,0.0,2.08,2.08,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.18,6.0,0.0,0.0,0.25,20,-0.25,2.08,2.33,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.18,6.0,0.0,0.0,0.5,20,-0.5,2.08,2.58,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.18,6.0,0.0,0.0,1.0,20,-1.0,2.08,3.08,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.02,10.0,0.0,0.0,0.0,20,0.0,1.2,1.2,True,False,False,False,False
markov_baseline,paper_proved_baseline,5.0,0.02,10.0,0.0,0.0,0.25,20,-0.25,1.2,1.45,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.02,10.0,0.0,0.0,0.5,20,-0.5,1.2,1.7,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.02,10.0,0.0,0.0,1.0,20,-1.0,1.2,2.2,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.05,10.0,0.0,0.0,0.0,20,0.0,1.5,1.5,True,False,False,False,False
markov_baseline,paper_proved_baseline,5.0,0.05,10.0,0.0,0.0,0.25,20,-0.25,1.5,1.75,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.05,10.0,0.0,0.0,0.5,20,-0.5,1.5,2.0,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.05,10.0,0.0,0.0,1.0,20,-1.0,1.5,2.5,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.08,10.0,0.0,0.0,0.0,20,0.0,1.8,1.8,True,False,False,False,False
markov_baseline,paper_proved_baseline,5.0,0.08,10.0,0.0,0.0,0.25,20,-0.25,1.8,2.05,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.08,10.0,0.0,0.0,0.5,20,-0.5,1.8,2.3,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.08,10.0,0.0,0.0,1.0,20,-1.0,1.8,2.8,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.12,10.0,0.0,0.0,0.0,20,0.0,2.2,2.2,True,False,False,False,False
markov_baseline,paper_proved_baseline,5.0,0.12,10.0,0.0,0.0,0.25,20,-0.25,2.2,2.45,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.12,10.0,0.0,0.0,0.5,20,-0.5,2.2,2.7,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.12,10.0,0.0,0.0,1.0,20,-1.0,2.2,3.2,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.18,10.0,0.0,0.0,0.0,20,0.0,2.8,2.8,True,False,False,False,False
markov_baseline,paper_proved_baseline,5.0,0.18,10.0,0.0,0.0,0.25,20,-0.25,2.8,3.05,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.18,10.0,0.0,0.0,0.5,20,-0.5,2.8,3.3,False,False,False,False,True
markov_baseline,paper_proved_baseline,5.0,0.18,10.0,0.0,0.0,1.0,20,-1.0,2.8,3.8,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.02,16.0,0.0,0.0,0.0,20,0.0,1.32,1.32,True,False,False,False,False
markov_baseline,paper_proved_baseline,8.0,0.02,16.0,0.0,0.0,0.25,20,-0.25,1.32,1.57,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.02,16.0,0.0,0.0,0.5,20,-0.5,1.32,1.82,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.02,16.0,0.0,0.0,1.0,20,-1.0,1.32,2.3200000000000003,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.05,16.0,0.0,0.0,0.0,20,0.0,1.8,1.8,True,False,False,False,False
markov_baseline,paper_proved_baseline,8.0,0.05,16.0,0.0,0.0,0.25,20,-0.25,1.8,2.05,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.05,16.0,0.0,0.0,0.5,20,-0.5,1.8,2.3,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.05,16.0,0.0,0.0,1.0,20,-1.0,1.8,2.8,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.08,16.0,0.0,0.0,0.0,20,0.0,2.2800000000000002,2.2800000000000002,True,False,False,False,False
markov_baseline,paper_proved_baseline,8.0,0.08,16.0,0.0,0.0,0.25,20,-0.25,2.2800000000000002,2.5300000000000002,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.08,16.0,0.0,0.0,0.5,20,-0.5,2.2800000000000002,2.7800000000000002,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.08,16.0,0.0,0.0,1.0,20,-1.0,2.2800000000000002,3.2800000000000002,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.12,16.0,0.0,0.0,0.0,20,0.0,2.92,2.92,True,False,False,False,False
markov_baseline,paper_proved_baseline,8.0,0.12,16.0,0.0,0.0,0.25,20,-0.25,2.92,3.17,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.12,16.0,0.0,0.0,0.5,20,-0.5,2.92,3.42,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.12,16.0,0.0,0.0,1.0,20,-1.0,2.92,3.92,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.18,16.0,0.0,0.0,0.0,20,0.0,3.88,3.88,True,False,False,False,False
markov_baseline,paper_proved_baseline,8.0,0.18,16.0,0.0,0.0,0.25,20,-0.25,3.88,4.13,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.18,16.0,0.0,0.0,0.5,20,-0.5,3.88,4.38,False,False,False,False,True
markov_baseline,paper_proved_baseline,8.0,0.18,16.0,0.0,0.0,1.0,20,-1.0,3.88,4.88,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.02,4.5,1.5,0.3,0.0,20,0.32999999999999996,1.12,0.7900000000000001,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.02,4.5,1.5,0.3,0.25,20,0.07999999999999996,1.12,1.04,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.02,4.5,1.5,0.3,0.5,20,-0.17000000000000004,1.12,1.29,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.02,4.5,1.5,0.3,1.0,20,-0.67,1.12,1.79,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.05,4.5,1.5,0.3,0.0,20,0.375,1.3,0.925,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.05,4.5,1.5,0.3,0.25,20,0.125,1.3,1.175,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.05,4.5,1.5,0.3,0.5,20,-0.125,1.3,1.425,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.05,4.5,1.5,0.3,1.0,20,-0.625,1.3,1.925,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.08,4.5,1.5,0.3,0.0,20,0.42,1.48,1.06,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.08,4.5,1.5,0.3,0.25,20,0.16999999999999998,1.48,1.31,False,True,False,False,False
