family,L,V,constraint_counts,log_coeff_order,log_coefficient,abs_log_coefficient,nearest_singularity_scale,mechanism_note
single_label_cycle_profile,1,1,1,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,1,1,1,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,1,1,1,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,1,1,1,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,1,2,1,1,-1,1,1,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,1,2,1,2,-1/2,1/2,1,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,1,2,1,3,-1/3,1/3,1,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,1,2,1,4,-1/4,1/4,1,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,1,1,1;1,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,1,1,1;1,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,1,1,1;1,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,1,1,1;1,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,2,2,2,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,2,2,2,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,2,2,2,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,2,2,2,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,2,3,2,1,-2,2,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,2,3,2,2,-2,2,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,2,3,2,3,-8/3,8/3,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,2,3,2,4,-4,4,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,2,3,2;2,1,-1,1,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,2,3,2;2,2,-3/2,3/2,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,2,3,2;2,3,-7/3,7/3,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,2,3,2;2,4,-15/4,15/4,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,2,1,2;2,1,2,2,1,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,2,1,2;2,2,1,1,1,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,2,1,2;2,3,2/3,2/3,1,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,2,1,2;2,4,1/2,1/2,1,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,2,4,2;2;2;2,1,-2,2,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,2,4,2;2;2;2,2,-5,5,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,2,4,2;2;2;2,3,-32/3,32/3,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,2,4,2;2;2;2,4,-47/2,47/2,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,3,3,3,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,3,3,3,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,3,3,3,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,3,3,3,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,3,4,3,1,-3,3,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,3,4,3,2,-9/2,9/2,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,3,4,3,3,-9,9,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,3,4,3,4,-81/4,81/4,1/3,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,3,5,3;3,1,-4,4,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
